Date,AOS
1983-09-30,1.083333
1983-10-03,1.083333
1983-10-04,1.069444
1983-10-05,0.9444440000000001
1983-10-06,0.9652780000000001
1983-10-07,0.9513889999999999
1983-10-10,1.027778
1983-10-11,1.0
1983-10-12,0.9444440000000001
1983-10-13,0.9513889999999999
1983-10-14,0.9444440000000001
1983-10-17,0.9444440000000001
1983-10-18,0.9305559999999999
1983-10-19,0.9444440000000001
1983-10-20,0.9305559999999999
1983-10-21,0.9236110000000001
1983-10-24,0.8402780000000001
1983-10-25,0.833333
1983-10-26,0.763889
1983-10-27,0.763889
1983-10-28,0.8472219999999999
1983-10-31,0.8472219999999999
1983-11-01,0.8472219999999999
1983-11-02,0.854167
1983-11-03,0.8402780000000001
1983-11-04,0.8125
1983-11-07,0.798611
1983-11-08,0.805556
1983-11-09,0.805556
1983-11-10,0.8472219999999999
1983-11-11,0.875
1983-11-14,0.9375
1983-11-15,0.9722219999999999
1983-11-16,1.006944
1983-11-17,1.020833
1983-11-18,1.020833
1983-11-21,1.048611
1983-11-22,1.041667
1983-11-23,1.020833
1983-11-25,0.9861110000000001
1983-11-28,0.9652780000000001
1983-11-29,0.9513889999999999
1983-11-30,0.9444440000000001
1983-12-01,0.9305559999999999
1983-12-02,0.8888889999999999
1983-12-05,0.916667
1983-12-06,0.916667
1983-12-07,0.916667
1983-12-08,0.916667
1983-12-09,0.916667
1983-12-12,0.979167
1983-12-13,0.9930559999999999
1983-12-14,0.9444440000000001
1983-12-15,0.9513889999999999
1983-12-16,0.9305559999999999
1983-12-19,0.9305559999999999
1983-12-20,0.9652780000000001
1983-12-21,0.9444440000000001
1983-12-22,0.9305559999999999
1983-12-23,0.9513889999999999
1983-12-27,0.958333
1983-12-28,0.958333
1983-12-29,0.9444440000000001
1983-12-30,0.9722219999999999
1984-01-03,0.9652780000000001
1984-01-04,0.9513889999999999
1984-01-05,0.9444440000000001
1984-01-06,0.9305559999999999
1984-01-09,0.895833
1984-01-10,0.9375
1984-01-11,0.958333
1984-01-12,0.958333
1984-01-13,0.9444440000000001
1984-01-16,0.9513889999999999
1984-01-17,0.9513889999999999
1984-01-18,1.0
1984-01-19,1.006944
1984-01-20,0.9930559999999999
1984-01-23,1.0
1984-01-24,0.9930559999999999
1984-01-25,0.9861110000000001
1984-01-26,0.9930559999999999
1984-01-27,0.9722219999999999
1984-01-30,0.9652780000000001
1984-01-31,0.9375
1984-02-01,0.9305559999999999
1984-02-02,0.9375
1984-02-03,0.9513889999999999
1984-02-06,0.9305559999999999
1984-02-07,0.8888889999999999
1984-02-08,0.8888889999999999
1984-02-09,0.875
1984-02-10,0.8819440000000001
