Date,AON
1980-06-02,2.6851849999999997
1980-06-03,2.722222
1980-06-04,2.722222
1980-06-05,2.740741
1980-06-06,2.703704
1980-06-09,2.722222
1980-06-10,2.796296
1980-06-11,2.907408
1980-06-12,2.9629630000000002
1980-06-13,3.0
1980-06-16,3.018518
1980-06-17,3.0
1980-06-18,2.981482
1980-06-19,2.944444
1980-06-20,2.9629630000000002
1980-06-23,2.981482
1980-06-24,2.981482
1980-06-25,2.944444
1980-06-26,2.87037
1980-06-27,2.87037
1980-06-30,2.833333
1980-07-01,2.925926
1980-07-02,2.907408
1980-07-03,3.0
1980-07-07,3.018518
1980-07-08,2.9629630000000002
1980-07-09,3.0
1980-07-10,2.907408
1980-07-11,2.87037
1980-07-14,2.944444
1980-07-15,2.907408
1980-07-16,2.9629630000000002
1980-07-17,2.944444
1980-07-18,2.981482
1980-07-21,2.9629630000000002
1980-07-22,2.944444
1980-07-23,2.925926
1980-07-24,2.907408
1980-07-25,2.925926
1980-07-28,2.907408
1980-07-29,2.925926
1980-07-30,2.944444
1980-07-31,2.907408
1980-08-01,2.87037
1980-08-04,2.925926
1980-08-05,2.907408
1980-08-06,2.888889
1980-08-07,2.888889
1980-08-08,2.944444
1980-08-11,2.925926
1980-08-12,2.925926
1980-08-13,2.9629630000000002
1980-08-14,2.944444
1980-08-15,3.0
1980-08-18,2.981482
1980-08-19,2.981482
1980-08-20,2.944444
1980-08-21,2.9629630000000002
1980-08-22,2.9629630000000002
1980-08-25,2.944444
1980-08-26,2.925926
1980-08-27,2.944444
1980-08-28,2.907408
1980-08-29,2.851852
1980-09-02,2.87037
1980-09-03,2.888889
1980-09-04,2.87037
1980-09-05,2.851852
1980-09-08,2.87037
1980-09-09,2.888889
1980-09-10,2.888889
1980-09-11,2.907408
1980-09-12,2.907408
1980-09-15,2.888889
1980-09-16,2.907408
1980-09-17,2.888889
1980-09-18,2.87037
1980-09-19,2.833333
1980-09-22,2.888889
1980-09-23,2.851852
1980-09-24,2.833333
1980-09-25,2.888889
1980-09-26,2.907408
1980-09-29,2.777778
1980-09-30,2.833333
1980-10-01,2.796296
1980-10-02,2.796296
1980-10-03,2.888889
1980-10-06,2.796296
1980-10-07,2.87037
1980-10-08,2.833333
1980-10-09,2.87037
1980-10-10,2.851852
1980-10-13,2.888889
1980-10-14,2.925926
1980-10-15,2.888889
1980-10-16,2.851852
1980-10-17,2.8148150000000003
1980-10-20,2.888889
1980-10-21,2.87037
1980-10-22,2.87037
1980-10-23,2.777778
1980-10-24,2.777778
1980-10-27,2.777778
1980-10-28,2.759259
1980-10-29,2.759259
1980-10-30,2.740741
1980-10-31,2.722222
1980-11-03,2.722222
1980-11-05,2.740741
1980-11-06,2.574074
1980-11-07,2.666667
1980-11-10,2.592592
1980-11-11,2.62963
1980-11-12,2.703704
1980-11-13,2.703704
1980-11-14,2.6851849999999997
1980-11-17,2.648148
1980-11-18,2.592592
1980-11-19,2.611111
1980-11-20,2.648148
1980-11-21,2.592592
1980-11-24,2.592592
1980-11-25,2.648148
1980-11-26,2.611111
1980-11-28,2.611111
1980-12-01,2.592592
1980-12-02,2.62963
1980-12-03,2.611111
1980-12-04,2.611111
1980-12-05,2.592592
1980-12-08,2.574074
1980-12-09,2.611111
1980-12-10,2.574074
1980-12-11,2.5
1980-12-12,2.518518
1980-12-15,2.5370369999999998
1980-12-16,2.555556
1980-12-17,2.555556
1980-12-18,2.555556
1980-12-19,2.518518
1980-12-22,2.62963
1980-12-23,2.62963
1980-12-24,2.611111
1980-12-26,2.666667
1980-12-29,2.611111
1980-12-30,2.62963
1980-12-31,2.611111
1981-01-02,2.611111
1981-01-05,2.648148
1981-01-06,2.722222
1981-01-07,2.6851849999999997
1981-01-08,2.722222
1981-01-09,2.648148
1981-01-12,2.648148
1981-01-13,2.648148
1981-01-14,2.6851849999999997
