Date,RL
1997-06-12,31.5
1997-06-13,32.375
1997-06-16,30.875
1997-06-17,29.75
1997-06-18,28.375
1997-06-19,29.375
1997-06-20,29.5
1997-06-23,28.25
1997-06-24,28.875
1997-06-25,28.6875
1997-06-26,28.25
1997-06-27,27.25
1997-06-30,27.375
1997-07-01,26.9375
1997-07-02,27.8125
1997-07-03,28.0625
1997-07-07,27.125
1997-07-08,27.6875
1997-07-09,26.625
1997-07-10,25.5
1997-07-11,25.9375
1997-07-14,25.6875
1997-07-15,25.4375
1997-07-16,23.8125
1997-07-17,26.0625
1997-07-18,25.875
1997-07-21,25.3125
1997-07-22,25.625
1997-07-23,25.0
1997-07-24,24.625
1997-07-25,24.625
1997-07-28,25.25
1997-07-29,26.6875
1997-07-30,27.75
1997-07-31,26.8125
1997-08-01,26.625
1997-08-04,27.625
1997-08-05,27.0625
1997-08-06,26.5
1997-08-07,25.75
1997-08-08,25.25
1997-08-11,24.75
1997-08-12,24.3125
1997-08-13,24.375
1997-08-14,24.0
1997-08-15,23.0625
1997-08-18,23.5
1997-08-19,24.25
1997-08-20,25.625
1997-08-21,24.75
1997-08-22,24.5
1997-08-25,24.3125
1997-08-26,24.6875
1997-08-27,24.5
1997-08-28,25.3125
1997-08-29,26.25
1997-09-02,26.25
1997-09-03,26.0625
1997-09-04,25.75
1997-09-05,25.875
1997-09-08,25.375
1997-09-09,24.875
1997-09-10,24.25
1997-09-11,24.25
1997-09-12,24.4375
1997-09-15,25.1875
1997-09-16,25.5
1997-09-17,26.4375
1997-09-18,26.0625
1997-09-19,26.625
1997-09-22,27.625
1997-09-23,27.3125
1997-09-24,26.125
1997-09-25,25.3125
1997-09-26,26.125
1997-09-29,26.25
1997-09-30,26.1875
1997-10-01,27.0
1997-10-02,26.625
1997-10-03,26.5
1997-10-06,26.625
1997-10-07,26.1875
1997-10-08,25.4375
1997-10-09,26.0
1997-10-10,26.0
1997-10-13,26.25
1997-10-14,26.0625
1997-10-15,25.6875
1997-10-16,25.125
1997-10-17,24.8125
1997-10-20,24.6875
1997-10-21,25.4375
1997-10-22,25.9375
1997-10-23,26.125
1997-10-24,26.875
1997-10-27,24.5
1997-10-28,25.5
1997-10-29,25.25
1997-10-30,25.125
1997-10-31,26.0
1997-11-03,27.25
1997-11-04,28.0
1997-11-05,28.1875
1997-11-06,27.5625
1997-11-07,26.8125
1997-11-10,26.375
1997-11-11,25.875
1997-11-12,25.5
1997-11-13,27.125
1997-11-14,27.5625
1997-11-17,27.5
1997-11-18,27.625
1997-11-19,28.375
1997-11-20,28.75
1997-11-21,28.3125
1997-11-24,27.375
1997-11-25,27.375
1997-11-26,27.25
1997-11-28,27.0
1997-12-01,28.0
1997-12-02,27.5625
1997-12-03,27.125
1997-12-04,27.25
1997-12-05,27.5625
1997-12-08,28.25
1997-12-09,27.5
1997-12-10,27.1875
1997-12-11,26.1875
1997-12-12,26.0
1997-12-15,26.5
1997-12-16,25.0625
1997-12-17,24.875
1997-12-18,24.5
1997-12-19,24.0
1997-12-22,23.4375
1997-12-23,22.3125
1997-12-24,22.8125
1997-12-26,22.625
1997-12-29,21.9375
1997-12-30,23.1875
1997-12-31,24.25
1998-01-02,24.0
1998-01-05,24.625
1998-01-06,24.375
1998-01-07,24.125
1998-01-08,24.125
1998-01-09,23.4375
1998-01-12,23.0
1998-01-13,23.25
1998-01-14,24.75
1998-01-15,24.625
1998-01-16,25.0625
1998-01-20,25.875
1998-01-21,26.25
1998-01-22,26.125
1998-01-23,25.125
1998-01-26,25.8125
1998-01-27,25.375
1998-01-28,25.1875
1998-01-29,25.375
1998-01-30,25.75
1998-02-02,27.625
1998-02-03,26.8125
1998-02-04,27.0625
1998-02-05,26.875
1998-02-06,26.875
1998-02-09,27.125
1998-02-10,27.0625
1998-02-11,27.125
1998-02-12,27.8125
1998-02-13,27.5
1998-02-17,27.375
1998-02-18,27.0
1998-02-19,27.625
1998-02-20,28.4375
1998-02-23,28.0
1998-02-24,28.125
1998-02-25,28.4375
1998-02-26,28.5625
1998-02-27,28.25
1998-03-02,28.0
1998-03-03,27.875
1998-03-04,28.0
1998-03-05,27.75
1998-03-06,28.0
1998-03-09,28.3125
1998-03-10,29.4375
1998-03-11,29.125
1998-03-12,29.875
1998-03-13,29.625
1998-03-16,30.4375
1998-03-17,29.375
1998-03-18,29.25
1998-03-19,30.25
1998-03-20,29.875
1998-03-23,30.1875
1998-03-24,30.8125
1998-03-25,30.25
1998-03-26,30.1875
1998-03-27,29.875
1998-03-30,29.9375
1998-03-31,30.0625
1998-04-01,29.9375
1998-04-02,29.375
1998-04-03,29.5
1998-04-06,29.6875
1998-04-07,29.5
1998-04-08,29.25
1998-04-09,29.125
1998-04-13,29.125
1998-04-14,28.5
1998-04-15,27.9375
1998-04-16,27.9375
1998-04-17,27.9375
1998-04-20,27.8125
1998-04-21,28.0
1998-04-22,28.8125
1998-04-23,28.5
1998-04-24,28.0625
1998-04-27,27.5625
1998-04-28,27.875
1998-04-29,27.5
1998-04-30,28.125
1998-05-01,27.75
1998-05-04,27.8125
1998-05-05,27.5
1998-05-06,27.5
1998-05-07,28.5
1998-05-08,29.5
1998-05-11,29.875
1998-05-12,30.0
1998-05-13,29.4375
1998-05-14,29.125
1998-05-15,29.75
1998-05-18,30.9375
1998-05-19,30.875
1998-05-20,31.0
1998-05-21,30.75
1998-05-22,30.625
1998-05-26,29.875
1998-05-27,29.75
1998-05-28,30.1875
1998-05-29,30.5
1998-06-01,29.75
1998-06-02,29.125
1998-06-03,28.75
1998-06-04,28.5
1998-06-05,28.3125
1998-06-08,28.4375
1998-06-09,29.25
1998-06-10,28.5
1998-06-11,28.25
1998-06-12,28.5
1998-06-15,27.5
1998-06-16,27.3125
1998-06-17,27.5625
1998-06-18,26.9375
1998-06-19,27.375
1998-06-22,27.25
1998-06-23,28.0625
1998-06-24,29.1875
1998-06-25,28.25
1998-06-26,28.875
1998-06-29,28.375
1998-06-30,28.0
1998-07-01,27.75
1998-07-02,27.375
1998-07-06,26.375
1998-07-07,27.75
1998-07-08,28.625
1998-07-09,28.3125
1998-07-10,28.0
1998-07-13,27.625
1998-07-14,28.9375
1998-07-15,29.6875
1998-07-16,29.0625
1998-07-17,29.0
1998-07-20,28.9375
1998-07-21,29.3125
1998-07-22,28.25
1998-07-23,27.0
1998-07-24,27.0625
1998-07-27,26.75
1998-07-28,26.6875
1998-07-29,26.25
1998-07-30,28.0
1998-07-31,27.125
1998-08-03,27.25
1998-08-04,26.3125
1998-08-05,26.75
1998-08-06,26.5625
1998-08-07,27.4375
1998-08-10,26.625
1998-08-11,27.0
1998-08-12,27.5
1998-08-13,26.9375
1998-08-14,27.0
1998-08-17,26.0625
1998-08-18,26.375
1998-08-19,25.8125
1998-08-20,25.4375
1998-08-21,24.9375
1998-08-24,24.5
1998-08-25,25.0
1998-08-26,24.625
1998-08-27,23.3125
1998-08-28,22.8125
1998-08-31,21.9375
1998-09-01,22.875
1998-09-02,23.1875
1998-09-03,21.375
1998-09-04,20.5
1998-09-08,20.9375
1998-09-09,21.0
1998-09-10,20.125
1998-09-11,21.1875
1998-09-14,23.375
1998-09-15,23.25
1998-09-16,23.0
1998-09-17,21.8125
1998-09-18,22.75
1998-09-21,21.875
1998-09-22,20.5
1998-09-23,20.625
1998-09-24,20.8125
1998-09-25,20.75
1998-09-28,20.8125
1998-09-29,20.75
1998-09-30,19.9375
1998-10-01,19.25
1998-10-02,20.75
1998-10-05,19.6875
1998-10-06,19.625
1998-10-07,18.875
1998-10-08,17.5
1998-10-09,19.0
1998-10-12,20.5625
1998-10-13,21.4375
1998-10-14,21.375
1998-10-15,23.25
1998-10-16,24.0
1998-10-19,23.8125
1998-10-20,22.6875
1998-10-21,22.5625
1998-10-22,22.1875
1998-10-23,21.375
1998-10-26,21.5
1998-10-27,22.125
1998-10-28,22.0
1998-10-29,21.5
1998-10-30,20.8125
1998-11-02,23.75
1998-11-03,22.0
1998-11-04,23.875
1998-11-05,20.125
1998-11-06,19.875
1998-11-09,19.5
1998-11-10,18.8125
1998-11-11,18.75
1998-11-12,18.75
1998-11-13,19.0
