Date,LIN
1992-06-17,7.9375
1992-06-18,7.8125
1992-06-19,7.875
1992-06-22,7.625
1992-06-23,7.6875
1992-06-24,7.5625
1992-06-25,7.6875
1992-06-26,7.75
1992-06-29,7.8125
1992-06-30,8.0625
1992-07-01,7.875
1992-07-02,8.0625
1992-07-06,7.75
1992-07-07,7.3125
1992-07-08,6.9375
1992-07-09,7.3125
1992-07-10,7.125
1992-07-13,7.1875
1992-07-14,7.25
1992-07-15,7.3125
1992-07-16,7.1875
1992-07-17,7.3125
1992-07-20,7.125
1992-07-21,7.125
1992-07-22,7.375
1992-07-23,7.3125
1992-07-24,7.4375
1992-07-27,7.5
1992-07-28,7.5
1992-07-29,7.375
1992-07-30,7.5
1992-07-31,7.5625
1992-08-03,7.6875
1992-08-04,7.75
1992-08-05,7.75
1992-08-06,7.625
1992-08-07,7.5
1992-08-10,7.4375
1992-08-11,7.25
1992-08-12,7.25
1992-08-13,7.5
1992-08-14,7.875
1992-08-17,7.9375
1992-08-18,8.0
1992-08-19,7.9375
1992-08-20,8.0625
1992-08-21,8.25
1992-08-24,8.0625
1992-08-25,8.125
1992-08-26,8.1875
1992-08-27,8.125
1992-08-28,8.0625
1992-08-31,8.0625
1992-09-01,8.0
1992-09-02,7.875
1992-09-03,7.8125
1992-09-04,7.6875
1992-09-08,7.6875
1992-09-09,7.9375
1992-09-10,7.9375
1992-09-11,7.9375
1992-09-14,8.25
1992-09-15,8.0625
1992-09-16,8.125
1992-09-17,8.125
1992-09-18,8.1875
1992-09-21,8.125
1992-09-22,8.0625
1992-09-23,7.9375
1992-09-24,8.125
1992-09-25,8.125
1992-09-28,8.1875
1992-09-29,8.0625
1992-09-30,8.0
1992-10-01,7.875
1992-10-02,7.875
1992-10-05,7.8125
1992-10-06,7.75
1992-10-07,7.9375
1992-10-08,8.0
1992-10-09,7.625
1992-10-12,7.5625
1992-10-13,7.6875
1992-10-14,7.6875
1992-10-15,7.5625
1992-10-16,7.625
1992-10-19,7.875
1992-10-20,7.875
1992-10-21,7.875
1992-10-22,7.75
1992-10-23,7.75
1992-10-26,7.8125
1992-10-27,7.9375
1992-10-28,8.0
1992-10-29,7.8125
1992-10-30,7.875
1992-11-02,7.9375
1992-11-03,7.9375
1992-11-04,7.9375
1992-11-05,8.0625
1992-11-06,8.125
1992-11-09,8.25
1992-11-10,8.375
1992-11-11,8.5
1992-11-12,8.3125
1992-11-13,8.375
1992-11-16,8.125
1992-11-17,8.0625
1992-11-18,8.25
1992-11-19,8.25
1992-11-20,8.25
1992-11-23,8.0
1992-11-24,8.125
1992-11-25,8.3125
1992-11-27,8.375
1992-11-30,8.25
1992-12-01,8.1875
1992-12-02,8.3125
1992-12-03,8.25
1992-12-04,8.375
1992-12-07,8.375
1992-12-08,8.3125
1992-12-09,8.25
1992-12-10,8.4375
1992-12-11,8.3125
1992-12-14,8.125
1992-12-15,8.0
1992-12-16,8.125
1992-12-17,8.375
1992-12-18,8.3125
1992-12-21,8.25
1992-12-22,8.25
1992-12-23,8.25
1992-12-24,8.25
1992-12-28,8.125
1992-12-29,8.125
1992-12-30,8.25
1992-12-31,8.375
1993-01-04,8.1875
1993-01-05,8.25
1993-01-06,8.4375
1993-01-07,8.5625
1993-01-08,8.4375
1993-01-11,8.625
1993-01-12,8.5625
1993-01-13,8.5
1993-01-14,8.5625
1993-01-15,8.375
1993-01-18,8.375
1993-01-19,8.625
1993-01-20,8.625
1993-01-21,8.625
1993-01-22,8.375
1993-01-25,8.5625
1993-01-26,8.5625
1993-01-27,8.4375
1993-01-28,8.375
1993-01-29,8.3125
1993-02-01,8.4375
1993-02-02,8.5
1993-02-03,8.5
1993-02-04,8.5625
1993-02-05,8.5625
1993-02-08,8.875
1993-02-09,8.75
1993-02-10,8.9375
1993-02-11,8.8125
1993-02-12,8.875
1993-02-16,8.5625
1993-02-17,8.4375
1993-02-18,8.25
1993-02-19,8.4375
1993-02-22,8.375
1993-02-23,8.375
1993-02-24,8.375
1993-02-25,8.4375
1993-02-26,8.5625
1993-03-01,8.375
1993-03-02,8.5
1993-03-03,8.4375
1993-03-04,8.5
1993-03-05,8.5
1993-03-08,8.8125
1993-03-09,8.5625
1993-03-10,8.6875
1993-03-11,8.625
1993-03-12,8.5
1993-03-15,8.625
1993-03-16,8.5
1993-03-17,8.75
1993-03-18,8.6875
1993-03-19,8.6875
1993-03-22,8.75
1993-03-23,8.9375
1993-03-24,8.8125
1993-03-25,8.8125
1993-03-26,8.9375
1993-03-29,9.0625
1993-03-30,9.0
1993-03-31,8.8125
1993-04-01,8.5625
1993-04-02,8.375
1993-04-05,8.5
1993-04-06,8.3125
1993-04-07,8.375
1993-04-08,8.375
1993-04-12,8.75
1993-04-13,8.8125
1993-04-14,8.6875
1993-04-15,8.8125
1993-04-16,8.875
1993-04-19,9.125
1993-04-20,8.9375
1993-04-21,8.9375
1993-04-22,9.0
1993-04-23,8.9375
1993-04-26,7.6875
1993-04-27,7.375
1993-04-28,7.5
1993-04-29,7.5625
1993-04-30,7.8125
1993-05-03,7.875
1993-05-04,7.625
1993-05-05,7.625
1993-05-06,7.5625
1993-05-07,7.5
1993-05-10,7.375
1993-05-11,7.375
1993-05-12,7.5
1993-05-13,7.3125
1993-05-14,7.1875
1993-05-17,7.1875
1993-05-18,7.375
1993-05-19,7.6875
1993-05-20,7.6875
1993-05-21,7.8125
1993-05-24,7.8125
1993-05-25,7.6875
1993-05-26,7.875
1993-05-27,8.0
1993-05-28,7.8125
1993-06-01,7.875
1993-06-02,7.8125
1993-06-03,7.5
1993-06-04,7.4375
1993-06-07,7.375
1993-06-08,7.3125
1993-06-09,7.4375
1993-06-10,7.25
1993-06-11,7.3125
1993-06-14,7.375
1993-06-15,7.5625
1993-06-16,7.625
1993-06-17,7.75
1993-06-18,7.625
1993-06-21,7.8125
1993-06-22,7.8125
