Date,HBAN
1980-03-17,1.8277349999999999
1980-03-18,1.789657
1980-03-19,1.8086959999999999
1980-03-20,1.8086959999999999
1980-03-21,1.8086959999999999
1980-03-24,1.8086959999999999
1980-03-25,1.789657
1980-03-26,1.789657
1980-03-27,1.7325409999999999
1980-03-28,1.7325409999999999
1980-03-31,1.92293
1980-04-01,2.132358
1980-04-02,2.09428
1980-04-03,2.037163
1980-04-07,1.884852
1980-04-08,1.8658130000000002
1980-04-09,1.884852
1980-04-10,1.884852
1980-04-11,1.884852
1980-04-14,1.8277349999999999
1980-04-15,1.8086959999999999
1980-04-16,1.8086959999999999
1980-04-17,1.789657
1980-04-18,1.789657
1980-04-21,1.789657
1980-04-22,1.789657
1980-04-23,1.789657
1980-04-24,1.75158
1980-04-25,1.75158
1980-04-28,1.75158
1980-04-29,1.75158
1980-04-30,1.75158
1980-05-01,1.75158
1980-05-02,1.75158
1980-05-05,1.770619
1980-05-06,1.770619
1980-05-07,1.770619
1980-05-08,1.770619
1980-05-09,1.789657
1980-05-12,1.8086959999999999
1980-05-13,1.8467740000000001
1980-05-14,1.8467740000000001
1980-05-15,1.8658130000000002
1980-05-16,1.8658130000000002
1980-05-19,1.8658130000000002
1980-05-20,1.8658130000000002
1980-05-21,1.8658130000000002
1980-05-22,1.8658130000000002
1980-05-23,1.8658130000000002
1980-05-27,1.884852
1980-05-28,1.903891
1980-05-29,1.92293
1980-05-30,1.961008
1980-06-02,1.961008
1980-06-03,1.961008
1980-06-04,1.961008
1980-06-05,1.9990860000000001
1980-06-06,2.0181240000000003
1980-06-09,2.0181240000000003
1980-06-10,2.0181240000000003
1980-06-11,2.037163
1980-06-12,2.075241
1980-06-13,2.09428
1980-06-16,2.09428
1980-06-17,2.09428
1980-06-18,2.09428
1980-06-19,2.09428
1980-06-20,2.09428
1980-06-23,2.1133189999999997
1980-06-24,2.1133189999999997
1980-06-25,2.170436
1980-06-26,2.227552
1980-06-27,2.3037080000000003
1980-06-30,2.360825
1980-07-01,2.360825
1980-07-02,2.379864
1980-07-03,2.379864
1980-07-07,2.379864
1980-07-08,2.379864
1980-07-09,2.379864
1980-07-10,2.379864
1980-07-11,2.379864
1980-07-14,2.379864
1980-07-15,2.379864
1980-07-16,2.379864
1980-07-17,2.379864
1980-07-18,2.379864
1980-07-21,2.379864
1980-07-22,2.379864
1980-07-23,2.379864
1980-07-24,2.379864
1980-07-25,2.398903
1980-07-28,2.417942
1980-07-29,2.417942
1980-07-30,2.417942
1980-07-31,2.417942
1980-08-01,2.417942
1980-08-04,2.417942
1980-08-05,2.417942
1980-08-06,2.417942
1980-08-07,2.417942
1980-08-08,2.417942
1980-08-11,2.417942
1980-08-12,2.379864
1980-08-13,2.341786
1980-08-14,2.3037080000000003
1980-08-15,2.284669
1980-08-18,2.284669
1980-08-19,2.208513
1980-08-20,2.208513
1980-08-21,2.208513
1980-08-22,2.227552
1980-08-25,2.26563
1980-08-26,2.284669
1980-08-27,2.360825
1980-08-28,2.379864
1980-08-29,2.43698
1980-09-02,2.417942
1980-09-03,2.475058
1980-09-04,2.5131360000000003
1980-09-05,2.5131360000000003
1980-09-08,2.5131360000000003
1980-09-09,2.5131360000000003
1980-09-10,2.5131360000000003
1980-09-11,2.5131360000000003
1980-09-12,2.5131360000000003
1980-09-15,2.5131360000000003
1980-09-16,2.5131360000000003
1980-09-17,2.5131360000000003
1980-09-18,2.5131360000000003
1980-09-19,2.5131360000000003
1980-09-22,2.5131360000000003
1980-09-23,2.5131360000000003
1980-09-24,2.5131360000000003
1980-09-25,2.5131360000000003
1980-09-26,2.5131360000000003
1980-09-29,2.341786
1980-09-30,2.341786
1980-10-01,2.284669
1980-10-02,2.208513
1980-10-03,2.208513
1980-10-06,2.208513
1980-10-07,2.208513
1980-10-08,2.208513
1980-10-09,2.189475
1980-10-10,2.189475
1980-10-13,2.170436
1980-10-14,2.170436
1980-10-15,2.170436
1980-10-16,2.170436
1980-10-17,2.170436
1980-10-20,2.170436
1980-10-21,2.170436
1980-10-22,2.170436
1980-10-23,2.170436
1980-10-24,2.170436
1980-10-27,2.170436
1980-10-28,2.1513970000000002
1980-10-29,2.132358
1980-10-30,2.132358
1980-10-31,2.132358
1980-11-03,2.1133189999999997
1980-11-05,2.1513970000000002
1980-11-06,2.1513970000000002
1980-11-07,2.132358
1980-11-10,2.132358
1980-11-11,2.132358
