Date,NOK
1994-01-03,4.61718
1994-01-04,4.63282
1994-01-05,4.64844
1994-01-06,4.71876
1994-01-07,
1994-01-10,5.015619999999999
1994-01-11,4.9375
1994-01-12,4.953119999999999
1994-01-13,5.00782
1994-01-14,
1994-01-17,4.96094
1994-01-18,5.02344
1994-01-19,5.05468
1994-01-20,5.08594
1994-01-21,
1994-01-24,4.9375
1994-01-25,4.90624
1994-01-26,4.8125
1994-01-27,4.71876
1994-01-28,
1994-01-31,4.57032
1994-02-01,4.74218
1994-02-02,4.88282
1994-02-03,4.96094
1994-02-04,
1994-02-07,4.859380000000001
1994-02-08,4.703119999999999
1994-02-09,4.8125
1994-02-10,4.8125
1994-02-11,
1994-02-14,4.96876
1994-02-15,4.94532
1994-02-16,4.90624
1994-02-17,4.59376
1994-02-18,
1994-02-22,4.609380000000001
1994-02-23,4.6875
1994-02-24,4.640619999999999
1994-02-25,
1994-02-28,4.703119999999999
1994-03-01,4.65624
1994-03-02,4.71876
1994-03-03,4.78124
1994-03-04,
1994-03-07,4.75
1994-03-08,4.703119999999999
1994-03-09,4.734380000000001
1994-03-10,4.78906
1994-03-11,
1994-03-14,4.875
1994-03-15,4.921880000000001
1994-03-16,4.86718
1994-03-17,4.859380000000001
1994-03-18,
1994-03-21,4.6875
1994-03-22,4.625
1994-03-23,4.578119999999999
1994-03-24,4.63282
1994-03-25,
1994-03-28,4.5625
1994-03-29,4.46876
1994-03-30,4.44532
1994-03-31,4.59376
1994-04-04,4.765619999999999
1994-04-05,4.78906
1994-04-06,4.8125
1994-04-07,4.8125
1994-04-08,
1994-04-11,4.65624
1994-04-12,4.69532
1994-04-13,4.765619999999999
1994-04-14,
1994-04-15,
1994-04-18,4.75782
1994-04-19,4.61718
1994-04-20,4.625
1994-04-21,4.734380000000001
1994-04-22,
1994-04-25,
1994-04-26,
1994-04-28,
1994-04-29,
1994-05-02,
1994-05-03,
1994-05-04,
1994-05-05,
1994-05-06,
1994-05-09,
1994-05-10,
1994-05-11,
1994-05-12,
1994-05-13,
1994-05-16,
1994-05-17,
1994-05-18,
1994-05-19,
1994-05-20,
1994-05-23,
1994-05-24,
1994-05-25,
1994-05-26,
1994-05-27,
1994-05-31,
1994-06-01,
1994-06-02,
1994-06-03,
1994-06-06,
1994-06-07,
1994-06-08,
1994-06-09,
1994-06-10,
1994-06-13,
1994-06-14,
1994-06-15,
1994-06-16,
1994-06-17,
1994-06-20,
1994-06-21,
1994-06-22,
1994-06-23,
1994-06-24,
1994-06-27,
1994-06-28,
1994-06-29,
1994-06-30,
1994-07-01,1.316406
1994-07-05,1.3671879999999998
1994-07-06,1.4140629999999998
1994-07-07,1.433594
1994-07-08,1.441406
1994-07-11,1.4765629999999998
1994-07-12,1.527344
1994-07-13,1.5390629999999998
1994-07-14,1.503906
1994-07-15,1.46875
1994-07-18,1.5078129999999998
1994-07-19,1.4765629999999998
1994-07-20,1.46875
1994-07-21,1.484375
1994-07-22,1.496094
1994-07-25,1.496094
1994-07-26,1.515625
1994-07-27,1.535156
1994-07-28,1.511719
1994-07-29,1.535156
1994-08-01,1.5546879999999998
1994-08-02,1.5390629999999998
1994-08-03,1.550781
1994-08-04,1.53125
1994-08-05,1.53125
