Date,FSP
2005-06-02,20.9
2005-06-03,20.5
2005-06-06,19.75
2005-06-07,19.75
2005-06-08,18.799999
2005-06-09,18.5
2005-06-10,18.25
2005-06-13,18.200001
2005-06-14,18.959999
2005-06-15,19.15
2005-06-16,19.809998999999998
2005-06-17,19.5
2005-06-20,19.98
2005-06-21,19.85
2005-06-22,19.75
2005-06-23,20.25
2005-06-24,20.200001
2005-06-27,19.799999
2005-06-28,20.25
2005-06-29,20.25
2005-06-30,20.25
2005-07-01,20.25
2005-07-05,20.299999
2005-07-06,20.25
2005-07-07,20.0
2005-07-08,20.0
2005-07-11,19.950001
2005-07-12,19.99
2005-07-13,19.549999
2005-07-14,19.299999
2005-07-15,19.4
2005-07-18,19.35
2005-07-19,19.5
2005-07-20,19.299999
2005-07-21,19.15
2005-07-22,19.200001
2005-07-25,19.0
2005-07-26,19.15
2005-07-27,19.01
2005-07-28,19.1
2005-07-29,19.0
2005-08-01,18.9
2005-08-02,18.950001
2005-08-03,18.790001
2005-08-04,18.49
2005-08-05,18.299999
2005-08-08,17.99
2005-08-09,17.799999
2005-08-10,17.790001
2005-08-11,17.799999
2005-08-12,17.75
2005-08-15,17.5
2005-08-16,17.299999
2005-08-17,17.450001
2005-08-18,17.25
2005-08-19,17.280001000000002
2005-08-22,17.51
2005-08-23,17.4
2005-08-24,17.4
2005-08-25,17.389999
2005-08-26,17.75
2005-08-29,17.4
2005-08-30,17.530001000000002
2005-08-31,17.5
2005-09-01,17.35
2005-09-02,17.4
2005-09-06,17.4
2005-09-07,17.4
2005-09-08,17.15
2005-09-09,16.950001
2005-09-12,16.85
2005-09-13,16.700001
2005-09-14,16.200001
2005-09-15,16.450001
2005-09-16,16.549999
2005-09-19,16.440001000000002
2005-09-20,16.15
2005-09-21,16.1
2005-09-22,16.1
2005-09-23,16.200001
2005-09-26,16.200001
2005-09-27,16.370001000000002
2005-09-28,16.389999
2005-09-29,16.299999
2005-09-30,16.379998999999998
2005-10-03,16.35
2005-10-04,16.209999
2005-10-05,16.25
2005-10-06,16.24
2005-10-07,16.0
2005-10-10,16.049999
2005-10-11,16.0
2005-10-12,15.9
2005-10-13,15.92
2005-10-14,15.99
2005-10-17,15.87
2005-10-18,16.1
2005-10-19,16.200001
2005-10-20,16.030001000000002
2005-10-21,16.33
2005-10-24,16.0
2005-10-25,16.200001
2005-10-26,16.43
2005-10-27,16.34
2005-10-28,16.299999
2005-10-31,16.85
2005-11-01,16.690001000000002
2005-11-02,16.620001000000002
2005-11-03,16.75
2005-11-04,16.85
2005-11-07,16.85
2005-11-08,16.68
2005-11-09,16.790001
2005-11-10,16.889999
2005-11-11,17.6
2005-11-14,17.5
2005-11-15,17.469998999999998
2005-11-16,17.6
2005-11-17,18.049999
2005-11-18,18.299999
2005-11-21,18.67
2005-11-22,18.870001000000002
2005-11-23,18.889999
2005-11-25,19.15
2005-11-28,19.0
2005-11-29,19.309998999999998
2005-11-30,20.700001
2005-12-01,20.48
2005-12-02,20.33
2005-12-05,20.1
2005-12-06,20.0
2005-12-07,20.030001000000002
2005-12-08,20.0
2005-12-09,20.049999
2005-12-12,20.73
2005-12-13,20.799999
2005-12-14,20.99
2005-12-15,20.950001
2005-12-16,20.9
2005-12-19,20.85
2005-12-20,21.01
2005-12-21,20.780001000000002
2005-12-22,20.9
2005-12-23,20.799999
2005-12-27,20.93
2005-12-28,20.9
2005-12-29,20.99
2005-12-30,20.950001
2006-01-03,20.75
2006-01-04,20.5
2006-01-05,20.42
2006-01-06,20.6
2006-01-09,20.65
2006-01-10,20.75
2006-01-11,20.65
2006-01-12,20.790001
2006-01-13,20.48
2006-01-17,20.459999
2006-01-18,20.450001
2006-01-19,20.4
2006-01-20,20.35
