Date,RHHBY
2003-08-20,10.04375
2003-08-21,9.9375
2003-08-22,9.9
2003-08-25,9.85
2003-08-26,9.80625
2003-08-27,9.6875
2003-08-28,9.625
2003-08-29,9.625
2003-09-02,9.53125
2003-09-03,9.6125
2003-09-04,9.78125
2003-09-05,10.0125
2003-09-08,10.10625
2003-09-09,10.0625
2003-09-10,10.0875
2003-09-11,10.2125
2003-09-12,10.2125
2003-09-15,10.35625
2003-09-16,10.425
2003-09-17,10.45
2003-09-18,10.4625
2003-09-19,10.55625
2003-09-22,10.4
2003-09-23,10.425
2003-09-24,10.425
2003-09-25,10.525
2003-09-26,10.325
2003-09-29,10.3625
2003-09-30,10.4
2003-10-01,10.39375
2003-10-02,10.275
2003-10-03,10.34375
2003-10-06,10.41875
2003-10-07,10.46875
2003-10-08,10.54375
2003-10-09,10.53125
2003-10-10,10.4875
2003-10-13,10.525
2003-10-14,10.5
2003-10-15,10.3625
2003-10-16,10.375
2003-10-17,10.34375
2003-10-20,10.38375
2003-10-21,10.57
2003-10-22,10.5
2003-10-23,10.375
2003-10-24,10.41875
2003-10-27,10.39375
2003-10-28,10.2875
2003-10-29,10.33125
2003-10-30,10.5
2003-10-31,10.375
2003-11-03,10.30625
2003-11-04,10.125
2003-11-05,10.1625
2003-11-06,10.2
2003-11-07,10.33125
2003-11-10,10.125
2003-11-11,10.375
2003-11-12,10.65625
2003-11-13,11.0625
2003-11-14,11.225
2003-11-17,11.08125
2003-11-18,11.375
2003-11-19,11.18125
2003-11-20,11.23125
2003-11-21,11.3125
2003-11-24,11.3125
2003-11-25,11.2875
2003-11-26,11.28125
2003-11-28,11.3125
2003-12-01,11.35625
2003-12-02,11.375
2003-12-03,11.4525
2003-12-04,11.46875
2003-12-05,11.6625
2003-12-08,11.71875
2003-12-09,11.69375
2003-12-10,11.6875
2003-12-11,11.7625
2003-12-12,11.9375
2003-12-15,11.96875
2003-12-16,12.0
2003-12-17,12.0625
2003-12-18,12.43125
2003-12-19,12.325
2003-12-22,12.4
2003-12-23,12.375
2003-12-24,12.4875
2003-12-26,12.4375
2003-12-29,12.55625
2003-12-30,12.53125
2003-12-31,12.625
2004-01-02,12.58125
2004-01-05,12.7
2004-01-06,12.675
2004-01-07,12.45
2004-01-08,12.4375
2004-01-09,12.35
2004-01-12,12.2125
2004-01-13,12.06875
2004-01-14,12.30625
2004-01-15,12.1375
2004-01-16,12.09375
2004-01-20,12.3375
2004-01-21,12.73125
2004-01-22,12.86875
2004-01-23,12.5625
2004-01-26,12.78125
2004-01-27,13.0
2004-01-28,12.9375
2004-01-29,12.9
2004-01-30,12.71875
2004-02-02,13.0
2004-02-03,13.01875
2004-02-04,12.96875
2004-02-05,12.95625
2004-02-06,12.9375
2004-02-09,13.0625
2004-02-10,13.15625
2004-02-11,13.15
2004-02-12,13.025
2004-02-13,12.875
2004-02-17,13.0625
2004-02-18,12.875
2004-02-19,12.78125
2004-02-20,12.5625
2004-02-23,12.68125
2004-02-24,12.6875
2004-02-25,12.375
2004-02-26,12.875
2004-02-27,12.95
2004-03-01,13.0875
2004-03-02,13.00625
2004-03-03,12.8125
2004-03-04,12.85
2004-03-05,13.04375
2004-03-08,12.93125
2004-03-09,12.9
2004-03-10,12.875
2004-03-11,12.70625
2004-03-12,12.53125
2004-03-15,12.4
2004-03-16,12.3375
2004-03-17,12.4125
2004-03-18,12.475
2004-03-19,12.2375
2004-03-22,12.15625
2004-03-23,12.03125
2004-03-24,12.14375
2004-03-25,12.0625
2004-03-26,11.99375
2004-03-29,11.9975
2004-03-30,11.96875
2004-03-31,12.15
2004-04-01,12.5575
2004-04-02,12.42875
2004-04-05,12.45
2004-04-06,12.34375
2004-04-07,12.475
2004-04-08,12.7375
2004-04-12,12.78125
2004-04-13,12.4
2004-04-14,12.5375
2004-04-15,12.78125
2004-04-16,12.89375
2004-04-19,13.075
2004-04-20,12.65625
2004-04-21,12.8125
2004-04-22,12.66375
2004-04-23,12.7625
2004-04-26,13.40625
2004-04-27,13.4125
2004-04-28,13.1125
2004-04-29,13.1875
2004-04-30,13.21875
2004-05-03,13.0125
2004-05-04,13.2125
2004-05-05,13.45625
2004-05-06,13.3125
2004-05-07,13.21
2004-05-10,12.9
2004-05-11,12.8625
2004-05-12,12.7375
2004-05-13,12.875
2004-05-14,13.0
2004-05-17,12.91875
2004-05-18,13.0
2004-05-19,13.23125
2004-05-20,13.1625
2004-05-21,13.125
2004-05-24,13.16
2004-05-25,13.09375
2004-05-26,13.0375
2004-05-27,13.4375
2004-05-28,13.16875
2004-06-01,13.0125
2004-06-02,13.1125
2004-06-03,13.09375
2004-06-04,13.25
2004-06-07,13.23125
2004-06-08,13.15625
2004-06-09,12.84375
2004-06-10,12.63125
2004-06-14,12.55625
2004-06-15,12.725
2004-06-16,12.825
2004-06-17,12.88125
2004-06-18,12.9375
2004-06-21,12.99375
2004-06-22,12.875
2004-06-23,12.7625
2004-06-24,12.70625
2004-06-25,12.6875
2004-06-28,12.53125
2004-06-29,12.3775
2004-06-30,12.37625
2004-07-01,12.4875
2004-07-02,12.8875
2004-07-06,12.7375
2004-07-07,12.8125
2004-07-08,13.0625
2004-07-09,12.85875
2004-07-12,12.7625
2004-07-13,12.625
2004-07-14,12.75625
2004-07-15,12.4125
2004-07-16,12.5625
2004-07-19,12.5375
2004-07-20,12.8625
2004-07-21,12.64375
2004-07-22,12.70625
2004-07-23,12.4125
2004-07-26,12.34375
2004-07-27,12.25
2004-07-28,12.34375
2004-07-29,12.37
2004-07-30,12.34375
2004-08-02,12.325
2004-08-03,12.3625
2004-08-04,12.31875
2004-08-05,12.2375
2004-08-06,12.19375
2004-08-09,12.125
2004-08-10,12.24375
2004-08-11,12.125
2004-08-12,12.1875
2004-08-13,12.03125
2004-08-16,12.0375
2004-08-17,12.0375
2004-08-18,12.1325
2004-08-19,12.09375
2004-08-20,12.0
2004-08-23,11.8875
2004-08-24,11.8
2004-08-25,11.88125
2004-08-26,12.09375
2004-08-27,12.1125
2004-08-30,12.075
2004-08-31,12.1375
2004-09-01,12.35625
2004-09-02,12.24375
2004-09-03,12.075
2004-09-07,12.30625
2004-09-08,12.25625
2004-09-09,12.16875
2004-09-10,12.3875
2004-09-13,12.55625
2004-09-14,12.6125
2004-09-15,12.50625
2004-09-16,12.50625
2004-09-17,12.4375
2004-09-20,12.7125
2004-09-21,13.0
2004-09-22,13.1
2004-09-23,13.0375
2004-09-24,12.84375
2004-09-27,12.81375
2004-09-28,12.95625
2004-09-29,12.96875
2004-09-30,12.95
2004-10-01,13.09375
2004-10-04,13.0625
2004-10-05,13.12125
