Date,MCY
1985-11-20,4.8125
1985-11-21,4.90625
1985-11-22,5.0
1985-11-25,4.9375
1985-11-26,4.9375
1985-11-27,4.875
1985-11-29,4.875
1985-12-02,4.6875
1985-12-03,4.71875
1985-12-04,4.65625
1985-12-05,4.71875
1985-12-06,4.59375
1985-12-09,4.53125
1985-12-10,4.46875
1985-12-11,4.53125
1985-12-12,4.65625
1985-12-13,4.71875
1985-12-16,4.8125
1985-12-17,4.78125
1985-12-18,4.8125
1985-12-19,4.8125
1985-12-20,4.84375
1985-12-23,4.875
1985-12-24,4.875
1985-12-26,4.875
1985-12-27,4.875
1985-12-30,4.96875
1985-12-31,4.9375
1986-01-02,4.9375
1986-01-03,4.9375
1986-01-06,5.09375
1986-01-07,5.25
1986-01-08,5.1875
1986-01-09,5.0625
1986-01-10,5.125
1986-01-13,5.125
1986-01-14,5.125
1986-01-15,5.21875
1986-01-16,5.28125
1986-01-17,5.21875
1986-01-20,5.125
1986-01-21,5.125
1986-01-22,5.0625
1986-01-23,5.0625
1986-01-24,5.0
1986-01-27,5.09375
1986-01-28,5.5
1986-01-29,5.75
1986-01-30,5.75
1986-01-31,6.125
1986-02-03,6.21875
1986-02-04,6.1875
1986-02-05,6.15625
1986-02-06,6.125
1986-02-07,6.09375
1986-02-10,6.0625
1986-02-11,6.03125
1986-02-12,6.125
1986-02-13,6.25
1986-02-14,6.0625
1986-02-18,6.0
1986-02-19,5.84375
1986-02-20,5.875
1986-02-21,6.0
1986-02-24,6.15625
1986-02-25,6.0
1986-02-26,5.90625
1986-02-27,5.90625
1986-02-28,5.96875
1986-03-03,5.9375
1986-03-04,5.8125
1986-03-05,5.65625
1986-03-06,5.75
1986-03-07,5.78125
1986-03-10,5.8125
1986-03-11,5.78125
1986-03-12,5.84375
1986-03-13,5.8125
1986-03-14,5.84375
1986-03-17,5.875
1986-03-18,5.875
1986-03-19,5.84375
1986-03-20,5.71875
1986-03-21,5.6875
1986-03-24,5.53125
1986-03-25,5.4375
1986-03-26,5.59375
1986-03-27,5.59375
1986-03-31,5.59375
1986-04-01,5.625
1986-04-02,5.59375
1986-04-03,5.46875
1986-04-04,5.34375
1986-04-07,5.1875
1986-04-08,5.1875
1986-04-09,5.3125
1986-04-10,5.3125
1986-04-11,5.28125
1986-04-14,5.46875
1986-04-15,5.8125
1986-04-16,5.90625
1986-04-17,5.8125
1986-04-18,5.875
1986-04-21,5.8125
1986-04-22,5.875
1986-04-23,5.71875
1986-04-24,5.71875
1986-04-25,5.75
1986-04-28,5.78125
1986-04-29,5.5625
1986-04-30,5.375
1986-05-01,5.21875
1986-05-02,5.125
1986-05-05,5.28125
1986-05-06,5.34375
1986-05-07,5.3125
1986-05-08,5.25
1986-05-09,5.21875
1986-05-12,5.1875
1986-05-13,5.0
1986-05-14,4.9375
1986-05-15,4.90625
1986-05-16,4.71875
1986-05-19,4.78125
1986-05-20,4.90625
1986-05-21,4.9375
1986-05-22,5.3125
1986-05-23,5.25
1986-05-27,5.25
1986-05-28,5.28125
1986-05-29,5.25
1986-05-30,5.53125
1986-06-02,5.5625
1986-06-03,5.15625
1986-06-04,5.1875
1986-06-05,5.15625
1986-06-06,4.9375
1986-06-09,4.90625
1986-06-10,4.875
1986-06-11,4.8125
1986-06-12,4.84375
1986-06-13,5.15625
1986-06-16,5.3125
1986-06-17,5.3125
1986-06-18,5.3125
1986-06-19,5.1875
1986-06-20,5.15625
1986-06-23,5.21875
1986-06-24,5.1875
1986-06-25,5.21875
1986-06-26,5.1875
1986-06-27,5.1875
1986-06-30,5.1875
1986-07-01,5.1875
1986-07-02,5.1875
1986-07-03,5.25
1986-07-07,5.125
1986-07-08,4.96875
1986-07-09,5.03125
1986-07-10,5.03125
1986-07-11,5.03125
1986-07-14,5.0
1986-07-15,4.875
1986-07-16,4.8125
1986-07-17,4.6875
1986-07-18,4.75
1986-07-21,4.71875
1986-07-22,4.84375
1986-07-23,4.875
1986-07-24,4.78125
1986-07-25,4.71875
1986-07-28,4.9375
1986-07-29,5.09375
1986-07-30,5.15625
1986-07-31,5.15625
1986-08-01,5.15625
1986-08-04,5.03125
1986-08-05,5.0625
1986-08-06,5.0
1986-08-07,5.0
1986-08-08,5.125
1986-08-11,5.34375
1986-08-12,5.59375
1986-08-13,5.65625
1986-08-14,5.65625
1986-08-15,5.71875
1986-08-18,5.6875
1986-08-19,5.65625
1986-08-20,6.0
1986-08-21,6.0625
1986-08-22,6.0625
1986-08-25,6.125
1986-08-26,6.125
1986-08-27,6.0625
1986-08-28,6.125
1986-08-29,6.125
1986-09-02,6.09375
1986-09-03,5.875
1986-09-04,6.03125
1986-09-05,6.0625
1986-09-08,5.96875
1986-09-09,5.875
1986-09-10,5.6875
1986-09-11,5.40625
1986-09-12,5.375
1986-09-15,5.28125
1986-09-16,5.125
1986-09-17,5.0625
1986-09-18,5.03125
1986-09-19,5.0625
1986-09-22,5.03125
1986-09-23,5.09375
1986-09-24,4.96875
1986-09-25,4.9375
1986-09-26,4.90625
1986-09-29,4.84375
1986-09-30,4.84375
1986-10-01,4.75
1986-10-02,4.8125
1986-10-03,4.9375
1986-10-06,4.9375
1986-10-07,4.96875
1986-10-08,5.21875
1986-10-09,5.21875
1986-10-10,5.28125
1986-10-13,5.34375
1986-10-14,5.46875
1986-10-15,5.4375
1986-10-16,5.4375
1986-10-17,5.4375
1986-10-20,5.25
1986-10-21,5.21875
1986-10-22,5.40625
1986-10-23,5.4375
1986-10-24,5.375
1986-10-27,5.4375
1986-10-28,5.40625
1986-10-29,5.5
1986-10-30,4.59375
1986-10-31,4.5625
1986-11-03,4.5625
1986-11-04,4.53125
1986-11-05,4.53125
1986-11-06,4.375
1986-11-07,4.34375
1986-11-10,4.3125
1986-11-11,4.34375
1986-11-12,4.3125
1986-11-13,4.21875
1986-11-14,4.09375
1986-11-17,3.9375
1986-11-18,4.0
1986-11-19,3.90625
1986-11-20,3.96875
1986-11-21,4.3125
1986-11-24,4.3125
1986-11-25,4.3125
1986-11-26,4.53125
1986-11-28,4.5625
1986-12-01,4.5625
1986-12-02,4.5
1986-12-03,4.875
1986-12-04,4.96875
1986-12-05,4.8125
1986-12-08,4.5
1986-12-09,4.5
1986-12-10,4.5625
1986-12-11,4.46875
1986-12-12,4.4375
1986-12-15,4.4375
1986-12-16,4.53125
1986-12-17,4.4375
1986-12-18,4.5
1986-12-19,4.4375
1986-12-22,4.4375
1986-12-23,4.40625
1986-12-24,4.34375
1986-12-26,4.40625
1986-12-29,4.34375
1986-12-30,4.40625
1986-12-31,4.34375
1987-01-02,4.53125
1987-01-05,4.6875
1987-01-06,4.6875
1987-01-07,5.0
1987-01-08,5.0
1987-01-09,4.8125
1987-01-12,4.875
1987-01-13,5.0
1987-01-14,5.15625
1987-01-15,5.15625
1987-01-16,4.90625
1987-01-19,5.0
1987-01-20,4.9375
1987-01-21,4.96875
1987-01-22,4.9375
1987-01-23,4.9375
1987-01-26,4.78125
1987-01-27,4.84375
1987-01-28,4.6875
1987-01-29,4.6875
1987-01-30,4.65625
1987-02-02,4.59375
1987-02-03,4.625
1987-02-04,4.59375
1987-02-05,5.1875
1987-02-06,5.4375
1987-02-09,5.5625
1987-02-10,5.53125
1987-02-11,5.5625
1987-02-12,5.875
1987-02-13,5.96875
1987-02-17,6.1875
1987-02-18,6.21875
1987-02-19,6.0625
1987-02-20,6.125
1987-02-23,6.0
1987-02-24,6.0625
1987-02-25,6.0
1987-02-26,6.0
1987-02-27,6.0
1987-03-02,6.0
1987-03-03,6.0
1987-03-04,6.125
1987-03-05,6.09375
1987-03-06,6.0
1987-03-09,5.65625
1987-03-10,5.65625
1987-03-11,5.59375
1987-03-12,5.625
1987-03-13,5.6875
1987-03-16,5.6875
1987-03-17,5.65625
1987-03-18,5.65625
1987-03-19,5.65625
1987-03-20,5.71875
1987-03-23,5.65625
1987-03-24,5.6875
1987-03-25,5.71875
1987-03-26,5.71875
1987-03-27,5.71875
1987-03-30,5.625
1987-03-31,5.46875
1987-04-01,5.5
1987-04-02,5.4375
1987-04-03,5.5625
1987-04-06,5.5625
1987-04-07,5.53125
1987-04-08,5.625
1987-04-09,5.625
1987-04-10,5.59375
1987-04-13,5.1875
1987-04-14,4.96875
1987-04-15,4.9375
1987-04-16,5.25
1987-04-20,5.25
1987-04-21,5.25
1987-04-22,5.21875
1987-04-23,5.125
1987-04-24,5.0
1987-04-27,4.875
1987-04-28,5.0
1987-04-29,5.1875
1987-04-30,5.125
1987-05-01,5.0625
1987-05-04,5.0625
1987-05-05,5.1875
1987-05-06,5.15625
1987-05-07,4.5
1987-05-08,4.5625
1987-05-11,4.5625
1987-05-12,4.4375
1987-05-13,4.375
1987-05-14,4.375
1987-05-15,4.09375
1987-05-18,4.0625
1987-05-19,4.09375
1987-05-20,4.0
1987-05-21,4.09375
1987-05-22,4.125
1987-05-26,4.1875
1987-05-27,4.15625
1987-05-28,4.25
1987-05-29,4.21875
1987-06-01,4.28125
1987-06-02,4.28125
1987-06-03,4.375
1987-06-04,4.34375
1987-06-05,4.375
1987-06-08,4.3125
1987-06-09,4.34375
1987-06-10,4.4375
1987-06-11,4.46875
1987-06-12,4.53125
1987-06-15,4.59375
1987-06-16,4.59375
1987-06-17,4.5
1987-06-18,4.5
1987-06-19,4.40625
1987-06-22,4.40625
1987-06-23,4.40625
1987-06-24,4.21875
1987-06-25,4.21875
1987-06-26,4.25
1987-06-29,4.1875
1987-06-30,4.125
1987-07-01,4.1875
1987-07-02,4.15625
