Date,SAM
1995-11-21,28.0
1995-11-22,29.375
1995-11-24,32.5
1995-11-27,30.25
1995-11-28,29.25
1995-11-29,28.375
1995-11-30,25.625
1995-12-01,27.75
1995-12-04,27.0
1995-12-05,26.125
1995-12-06,25.25
1995-12-07,24.75
1995-12-08,25.625
1995-12-11,26.375
1995-12-12,26.125
1995-12-13,26.5
1995-12-14,25.625
1995-12-15,24.75
1995-12-18,23.875
1995-12-19,23.875
1995-12-20,23.5
1995-12-21,23.75
1995-12-22,22.625
1995-12-26,22.625
1995-12-27,23.375
1995-12-28,23.25
1995-12-29,23.75
1996-01-02,24.0
1996-01-03,24.75
1996-01-04,24.0
1996-01-05,24.0
1996-01-08,24.125
1996-01-09,24.125
1996-01-10,23.5
1996-01-11,23.75
1996-01-12,23.25
1996-01-15,22.125
1996-01-16,22.125
1996-01-17,21.875
1996-01-18,22.0
1996-01-19,22.25
1996-01-22,22.5
1996-01-23,21.625
1996-01-24,21.5
1996-01-25,21.25
1996-01-26,21.5
1996-01-29,21.125
1996-01-30,21.25
1996-01-31,21.25
1996-02-01,21.25
1996-02-02,21.125
1996-02-05,21.125
1996-02-06,21.0
1996-02-07,20.5
1996-02-08,18.75
1996-02-09,18.375
1996-02-12,21.125
1996-02-13,22.375
1996-02-14,22.25
1996-02-15,20.75
1996-02-16,21.375
1996-02-20,21.125
1996-02-21,22.0
1996-02-22,21.25
1996-02-23,21.375
1996-02-26,22.25
1996-02-27,23.0
1996-02-28,22.5
1996-02-29,21.875
1996-03-01,21.375
1996-03-04,21.25
1996-03-05,21.125
1996-03-06,20.625
1996-03-07,21.0
1996-03-08,20.125
1996-03-11,19.5
1996-03-12,19.0
1996-03-13,19.0
1996-03-14,19.0
1996-03-15,18.875
1996-03-18,19.75
1996-03-19,19.875
1996-03-20,20.125
1996-03-21,20.75
1996-03-22,20.5
1996-03-25,20.125
1996-03-26,19.75
1996-03-27,19.125
1996-03-28,19.5
1996-03-29,20.125
1996-04-01,20.75
1996-04-02,20.625
1996-04-03,20.25
1996-04-04,20.375
1996-04-08,19.75
1996-04-09,19.25
1996-04-10,19.125
1996-04-11,19.0
1996-04-12,18.75
1996-04-15,19.0
1996-04-16,19.25
1996-04-17,19.0
1996-04-18,19.375
1996-04-19,19.125
1996-04-22,19.25
1996-04-23,20.375
1996-04-24,20.125
1996-04-25,19.0
1996-04-26,18.875
1996-04-29,19.125
1996-04-30,18.875
1996-05-01,19.125
1996-05-02,18.75
1996-05-03,18.875
1996-05-06,19.0
1996-05-07,18.625
1996-05-08,19.0
1996-05-09,19.0
1996-05-10,18.875
1996-05-13,18.875
1996-05-14,19.0
1996-05-15,18.5
1996-05-16,18.875
1996-05-17,18.625
1996-05-20,18.375
1996-05-21,18.875
1996-05-22,18.625
1996-05-23,18.5
1996-05-24,18.75
1996-05-28,18.5
1996-05-29,18.5
1996-05-30,19.0
1996-05-31,18.75
1996-06-03,18.875
1996-06-04,18.625
1996-06-05,18.875
1996-06-06,19.125
1996-06-07,18.375
1996-06-10,18.375
1996-06-11,18.25
1996-06-12,18.25
1996-06-13,19.375
1996-06-14,20.125
1996-06-17,20.0
1996-06-18,19.875
1996-06-19,20.0
1996-06-20,20.375
1996-06-21,20.375
1996-06-24,21.25
1996-06-25,22.0
1996-06-26,22.5
1996-06-27,22.5
1996-06-28,24.0
1996-07-01,22.875
1996-07-02,23.25
1996-07-03,23.75
1996-07-05,22.875
1996-07-08,22.375
1996-07-09,22.375
1996-07-10,22.5
1996-07-11,21.875
1996-07-12,21.625
1996-07-15,20.75
1996-07-16,19.75
1996-07-17,20.5
1996-07-18,21.625
1996-07-19,21.125
1996-07-22,21.0
1996-07-23,20.75
1996-07-24,22.5
1996-07-25,22.5
1996-07-26,22.625
1996-07-29,22.5
1996-07-30,22.125
1996-07-31,22.25
1996-08-01,22.5
1996-08-02,22.75
1996-08-05,23.0
1996-08-06,22.375
1996-08-07,22.25
1996-08-08,21.375
1996-08-09,21.625
1996-08-12,21.625
1996-08-13,21.875
1996-08-14,21.5
1996-08-15,21.75
1996-08-16,21.75
1996-08-19,21.375
1996-08-20,21.125
1996-08-21,20.75
1996-08-22,20.875
1996-08-23,21.0
1996-08-26,20.875
1996-08-27,21.0
1996-08-28,21.25
1996-08-29,21.0
1996-08-30,20.875
1996-09-03,20.625
1996-09-04,20.625
1996-09-05,20.375
1996-09-06,20.625
1996-09-09,21.0
1996-09-10,21.0
1996-09-11,21.0
1996-09-12,20.125
1996-09-13,20.125
1996-09-16,19.75
1996-09-17,19.5
1996-09-18,19.0
1996-09-19,19.0
1996-09-20,19.375
1996-09-23,19.25
1996-09-24,19.375
1996-09-25,19.125
1996-09-26,19.0
1996-09-27,19.0
1996-09-30,19.375
1996-10-01,19.875
1996-10-02,19.75
1996-10-03,19.875
1996-10-04,20.125
1996-10-07,19.375
1996-10-08,20.375
1996-10-09,20.0
1996-10-10,19.875
1996-10-11,19.75
1996-10-14,19.75
1996-10-15,19.125
1996-10-16,18.5
1996-10-17,17.375
1996-10-18,16.375
1996-10-21,16.375
1996-10-22,16.0
1996-10-23,12.5
1996-10-24,12.75
1996-10-25,12.625
1996-10-28,12.75
1996-10-29,12.5
1996-10-30,12.5
1996-10-31,12.25
1996-11-01,12.125
1996-11-04,12.125
1996-11-05,12.0
1996-11-06,11.75
1996-11-07,11.75
1996-11-08,11.875
1996-11-11,11.875
1996-11-12,11.625
1996-11-13,11.75
1996-11-14,11.75
1996-11-15,11.625
1996-11-18,11.625
1996-11-19,11.75
1996-11-20,12.125
1996-11-21,12.0
1996-11-22,11.75
1996-11-25,11.5
1996-11-26,11.5
1996-11-27,11.5
1996-11-29,11.375
1996-12-02,11.5
1996-12-03,11.375
1996-12-04,11.5
1996-12-05,11.5
1996-12-06,11.5
1996-12-09,11.625
1996-12-10,11.625
1996-12-11,11.625
1996-12-12,11.25
1996-12-13,11.375
1996-12-16,11.375
1996-12-17,11.375
1996-12-18,11.125
1996-12-19,11.0
1996-12-20,10.375
1996-12-23,10.125
1996-12-24,10.0
1996-12-26,10.0
1996-12-27,10.25
1996-12-30,9.875
1996-12-31,10.25
1997-01-02,10.625
1997-01-03,10.875
1997-01-06,10.5
1997-01-07,10.625
1997-01-08,10.25
1997-01-09,10.375
1997-01-10,10.125
1997-01-13,10.0
1997-01-14,10.0
1997-01-15,10.0
1997-01-16,9.875
1997-01-17,9.75
1997-01-20,9.625
1997-01-21,9.0
1997-01-22,9.25
1997-01-23,9.75
1997-01-24,10.125
1997-01-27,9.875
1997-01-28,10.25
1997-01-29,10.25
1997-01-30,10.375
1997-01-31,10.375
1997-02-03,10.125
1997-02-04,10.375
1997-02-05,10.5
1997-02-06,10.375
1997-02-07,10.375
1997-02-10,10.25
1997-02-11,10.125
1997-02-12,10.125
1997-02-13,10.0
1997-02-14,9.875
1997-02-18,9.5
1997-02-19,9.5
1997-02-20,9.375
1997-02-21,9.625
1997-02-24,9.625
1997-02-25,9.875
1997-02-26,9.875
1997-02-27,9.375
1997-02-28,9.25
1997-03-03,9.125
1997-03-04,8.875
1997-03-05,8.875
1997-03-06,8.875
1997-03-07,9.125
1997-03-10,9.0
1997-03-11,8.875
1997-03-12,8.75
1997-03-13,8.625
1997-03-14,8.625
1997-03-17,8.0
1997-03-18,8.25
1997-03-19,8.375
1997-03-20,8.625
1997-03-21,8.375
1997-03-24,8.5
1997-03-25,8.375
1997-03-26,8.5
1997-03-27,8.25
1997-03-31,8.5
1997-04-01,8.625
1997-04-02,8.75
1997-04-03,9.375
1997-04-04,9.375
1997-04-07,9.75
1997-04-08,9.875
1997-04-09,10.0
1997-04-10,10.0
1997-04-11,9.625
1997-04-14,9.625
1997-04-15,9.875
1997-04-16,9.875
1997-04-17,9.875
1997-04-18,9.75
1997-04-21,9.875
1997-04-22,9.75
1997-04-23,9.875
1997-04-24,9.875
1997-04-25,9.375
1997-04-28,8.75
1997-04-29,8.75
1997-04-30,9.125
1997-05-01,9.25
1997-05-02,9.5
1997-05-05,9.25
1997-05-06,8.875
1997-05-07,8.75
1997-05-08,8.75
1997-05-09,8.75
1997-05-12,8.75
1997-05-13,8.75
1997-05-14,8.875
1997-05-15,9.0
1997-05-16,8.875
1997-05-19,8.75
1997-05-20,8.875
1997-05-21,8.875
1997-05-22,8.75
1997-05-23,9.125
1997-05-27,8.875
1997-05-28,9.0
1997-05-29,9.0
1997-05-30,9.0
1997-06-02,9.125
1997-06-03,9.625
1997-06-04,9.25
1997-06-05,9.375
1997-06-06,9.5
1997-06-09,9.5
1997-06-10,9.25
1997-06-11,10.0
1997-06-12,9.875
1997-06-13,9.875
1997-06-16,10.0
1997-06-17,10.375
1997-06-18,10.375
1997-06-19,10.5
1997-06-20,10.25
1997-06-23,10.0
1997-06-24,10.125
1997-06-25,10.0625
1997-06-26,10.125
1997-06-27,10.0
1997-06-30,9.875
1997-07-01,9.5
1997-07-02,9.4375
1997-07-03,9.375
1997-07-07,9.25
1997-07-08,9.375
1997-07-09,9.0625
1997-07-10,9.1875
1997-07-11,9.375
1997-07-14,9.375
1997-07-15,9.25
1997-07-16,9.0
1997-07-17,9.125
1997-07-18,9.125
1997-07-21,9.125
1997-07-22,9.125
1997-07-23,9.75
1997-07-24,9.5625
1997-07-25,9.375
1997-07-28,9.6875
1997-07-29,9.6875
1997-07-30,9.625
1997-07-31,9.375
1997-08-01,9.4375
1997-08-04,9.4375
1997-08-05,9.25
1997-08-06,9.0625
1997-08-07,9.25
1997-08-08,9.3125
1997-08-11,9.125
1997-08-12,8.9375
1997-08-13,8.875
1997-08-14,8.875
1997-08-15,8.9375
1997-08-18,8.8125
1997-08-19,8.875
1997-08-20,8.6875
1997-08-21,8.625
1997-08-22,8.75
1997-08-25,8.9375
1997-08-26,9.0
1997-08-27,8.9375
1997-08-28,8.875
1997-08-29,8.625
1997-09-02,8.625
1997-09-03,8.4375
1997-09-04,8.375
1997-09-05,8.5
1997-09-08,8.75
1997-09-09,9.375
1997-09-10,9.3125
1997-09-11,9.125
1997-09-12,9.375
1997-09-15,9.25
1997-09-16,9.0625
1997-09-17,9.1875
1997-09-18,9.0
1997-09-19,9.125
1997-09-22,9.125
1997-09-23,9.0625
1997-09-24,8.6875
1997-09-25,8.6875
1997-09-26,8.6875
1997-09-29,8.9375
1997-09-30,8.5
1997-10-01,9.75
1997-10-02,10.25
1997-10-03,10.6875
1997-10-06,10.125
1997-10-07,10.0
1997-10-08,10.0
1997-10-09,9.9375
1997-10-10,9.875
1997-10-13,9.875
1997-10-14,9.875
1997-10-15,10.3125
1997-10-16,9.875
1997-10-17,9.375
1997-10-20,9.875
1997-10-21,9.8125
1997-10-22,9.875
1997-10-23,10.125
1997-10-24,9.9375
1997-10-27,9.6875
1997-10-28,10.0
1997-10-29,10.0
1997-10-30,9.75
1997-10-31,9.9375
1997-11-03,10.0625
1997-11-04,9.8125
1997-11-05,9.8125
1997-11-06,9.875
1997-11-07,9.5625
1997-11-10,9.375
1997-11-11,9.375
1997-11-12,9.3125
1997-11-13,9.3125
1997-11-14,9.4375
1997-11-17,9.375
1997-11-18,9.5625
1997-11-19,9.625
1997-11-20,9.875
1997-11-21,9.75
1997-11-24,9.5
1997-11-25,9.375
1997-11-26,9.5
1997-11-28,9.5
1997-12-01,9.5
1997-12-02,9.375
1997-12-03,9.375
1997-12-04,9.3125
1997-12-05,9.375
1997-12-08,9.0625
1997-12-09,9.125
1997-12-10,9.0625
1997-12-11,8.8125
1997-12-12,8.75
1997-12-15,8.75
1997-12-16,8.625
1997-12-17,8.3125
1997-12-18,8.125
1997-12-19,8.1875
1997-12-22,8.0
1997-12-23,8.125
1997-12-24,8.0625
1997-12-26,8.125
1997-12-29,8.0
1997-12-30,8.125
1997-12-31,7.8125
1998-01-02,8.125
1998-01-05,8.625
1998-01-06,8.5
