Date,ATVI
1993-10-25,0.9375
1993-10-26,0.864583
1993-10-27,0.864583
1993-10-28,0.822917
1993-10-29,0.833333
1993-11-01,0.875
1993-11-02,0.875
1993-11-03,0.958333
1993-11-04,0.958333
1993-11-05,1.0
1993-11-08,1.0
1993-11-09,0.875
1993-11-10,0.895833
1993-11-11,0.895833
1993-11-12,0.895833
1993-11-15,0.895833
1993-11-16,1.020833
1993-11-17,0.916667
1993-11-18,0.916667
1993-11-19,0.885417
1993-11-22,0.947917
1993-11-23,0.916667
1993-11-24,0.895833
1993-11-26,0.895833
1993-11-29,0.958333
1993-11-30,0.958333
1993-12-01,0.958333
1993-12-02,0.9375
1993-12-03,0.916667
1993-12-06,0.916667
1993-12-07,0.875
1993-12-08,0.875
1993-12-09,0.875
1993-12-10,0.854167
1993-12-13,0.875
1993-12-14,0.854167
1993-12-15,0.864583
1993-12-16,0.854167
1993-12-17,0.854167
1993-12-20,0.895833
1993-12-21,0.895833
1993-12-22,0.895833
1993-12-23,0.854167
1993-12-27,0.9375
1993-12-28,1.0
1993-12-29,1.125
1993-12-30,1.104167
1993-12-31,1.104167
1994-01-03,1.166667
1994-01-04,1.104167
1994-01-05,1.166667
1994-01-06,1.114583
1994-01-07,1.09375
1994-01-10,1.083333
1994-01-11,1.0625
1994-01-12,1.104167
1994-01-13,1.072917
1994-01-14,1.104167
1994-01-17,1.104167
1994-01-18,1.020833
1994-01-19,1.083333
1994-01-20,0.916667
1994-01-21,0.875
1994-01-24,0.8125
1994-01-25,0.708333
1994-01-26,0.8125
1994-01-27,0.895833
1994-01-28,0.916667
1994-01-31,0.916667
1994-02-01,0.8125
1994-02-02,0.916667
1994-02-03,0.864583
1994-02-04,0.854167
1994-02-07,0.875
1994-02-08,0.875
1994-02-09,0.9375
1994-02-10,0.833333
1994-02-11,0.9375
1994-02-14,0.9375
1994-02-15,0.9375
1994-02-16,0.833333
1994-02-17,0.833333
1994-02-18,0.979167
1994-02-22,0.979167
1994-02-23,0.833333
1994-02-24,0.833333
1994-02-25,0.833333
1994-02-28,0.958333
1994-03-01,0.958333
1994-03-02,0.875
1994-03-03,0.875
1994-03-04,0.8125
1994-03-07,0.833333
1994-03-08,0.8125
1994-03-09,0.8125
1994-03-10,0.8125
1994-03-11,0.916667
1994-03-14,0.791667
1994-03-15,0.791667
1994-03-16,0.833333
1994-03-17,0.75
1994-03-18,0.708333
1994-03-21,0.6875
1994-03-22,0.729167
1994-03-23,0.770833
1994-03-24,0.75
1994-03-25,0.6875
1994-03-28,0.6875
1994-03-29,0.6875
1994-03-30,0.75
1994-03-31,0.71875
1994-04-04,0.71875
1994-04-05,0.75
1994-04-06,0.75
1994-04-07,0.75
1994-04-08,0.708333
1994-04-11,0.75
1994-04-12,0.666667
1994-04-13,0.71875
1994-04-14,0.666667
1994-04-15,0.625
1994-04-18,0.583333
1994-04-19,0.583333
1994-04-20,0.583333
1994-04-21,0.489583
1994-04-22,0.489583
1994-04-25,0.489583
1994-04-26,0.489583
1994-04-28,0.458333
1994-04-29,0.5
1994-05-02,0.520833
1994-05-03,0.520833
1994-05-04,0.5625
1994-05-05,0.5625
1994-05-06,0.510417
1994-05-09,0.510417
1994-05-10,0.479167
1994-05-11,0.5
1994-05-12,0.5
1994-05-13,0.604167
1994-05-16,0.604167
1994-05-17,0.541667
1994-05-18,0.541667
1994-05-19,0.4375
1994-05-20,0.4375
1994-05-23,0.4375
1994-05-24,0.416667
1994-05-25,0.416667
1994-05-26,0.5
1994-05-27,0.479167
1994-05-31,0.479167
1994-06-01,0.4375
1994-06-02,0.4375
1994-06-03,0.4375
1994-06-06,0.4375
1994-06-07,0.458333
1994-06-08,0.458333
1994-06-09,0.458333
1994-06-10,0.5625
1994-06-13,0.5625
1994-06-14,0.416667
1994-06-15,0.416667
1994-06-16,0.4375
1994-06-17,0.458333
1994-06-20,0.479167
1994-06-21,0.416667
1994-06-22,0.427083
1994-06-23,0.427083
1994-06-24,0.427083
1994-06-27,0.416667
1994-06-28,0.416667
1994-06-29,0.421875
1994-06-30,0.5
1994-07-01,0.416667
1994-07-05,0.416667
1994-07-06,0.416667
1994-07-07,0.291667
1994-07-08,0.4375
1994-07-11,0.4375
1994-07-12,0.416667
1994-07-13,0.375
1994-07-14,0.416667
1994-07-15,0.427083
1994-07-18,0.375
1994-07-19,0.375
1994-07-20,0.40625
1994-07-21,0.354167
1994-07-22,0.354167
1994-07-25,0.427083
1994-07-26,0.427083
1994-07-27,0.427083
1994-07-28,0.364583
1994-07-29,0.395833
1994-08-01,0.395833
1994-08-02,0.375
1994-08-03,0.375
1994-08-04,0.416667
1994-08-05,0.375
1994-08-08,0.375
1994-08-09,0.333333
1994-08-10,0.333333
1994-08-11,0.333333
1994-08-12,0.333333
1994-08-15,0.416667
1994-08-16,0.416667
1994-08-17,0.359375
1994-08-18,0.34375
1994-08-19,0.395833
1994-08-22,0.364583
1994-08-23,0.375
1994-08-24,0.333333
1994-08-25,0.364583
1994-08-26,0.375
1994-08-29,0.375
1994-08-30,0.375
1994-08-31,0.354167
1994-09-01,0.375
1994-09-02,0.375
1994-09-06,0.375
1994-09-07,0.395833
1994-09-08,0.375
1994-09-09,0.375
1994-09-12,0.364583
1994-09-13,0.395833
1994-09-14,0.375
1994-09-15,0.375
1994-09-16,0.364583
1994-09-19,0.395833
1994-09-20,0.375
1994-09-21,0.458333
1994-09-22,0.447917
1994-09-23,0.458333
1994-09-26,0.458333
1994-09-27,0.447917
1994-09-28,0.447917
1994-09-29,0.4375
1994-09-30,0.479167
1994-10-03,0.4375
1994-10-04,0.479167
1994-10-05,0.416667
1994-10-06,0.416667
1994-10-07,0.458333
1994-10-10,0.458333
1994-10-11,0.458333
1994-10-12,0.458333
1994-10-13,0.395833
1994-10-14,0.479167
1994-10-17,0.479167
1994-10-18,0.46875
1994-10-19,0.458333
1994-10-20,0.458333
1994-10-21,0.520833
1994-10-24,0.5
1994-10-25,0.552083
1994-10-26,0.541667
1994-10-27,0.520833
1994-10-28,0.5625
1994-10-31,0.5625
1994-11-01,0.5625
1994-11-02,0.53125
1994-11-03,0.53125
1994-11-04,0.5625
1994-11-07,0.520833
1994-11-08,0.515625
1994-11-09,0.5
1994-11-10,0.510417
1994-11-11,0.489583
