Date,TUP
1996-05-08,42.0
1996-05-09,43.0
1996-05-10,42.0
1996-05-13,43.0
1996-05-14,42.5
1996-05-15,42.125
1996-05-16,42.125
1996-05-17,41.5
1996-05-20,42.75
1996-05-21,42.25
1996-05-22,42.25
1996-05-23,44.0
1996-05-24,44.625
1996-05-28,45.25
1996-05-29,44.125
1996-05-30,45.875
1996-05-31,45.75
1996-06-03,44.5
1996-06-04,45.0
1996-06-05,44.875
1996-06-06,43.25
1996-06-07,43.25
1996-06-10,42.875
1996-06-11,43.0
1996-06-12,43.0
1996-06-13,43.125
1996-06-14,42.375
1996-06-17,42.375
1996-06-18,41.625
1996-06-19,40.75
1996-06-20,39.375
1996-06-21,39.5
1996-06-24,39.5
1996-06-25,42.125
1996-06-26,42.625
1996-06-27,41.625
1996-06-28,42.25
1996-07-01,43.5
1996-07-02,44.0
1996-07-03,43.125
1996-07-05,42.375
1996-07-08,42.125
1996-07-09,41.0
1996-07-10,41.625
1996-07-11,41.0
1996-07-12,40.375
1996-07-15,39.875
1996-07-16,39.0
1996-07-17,40.625
1996-07-18,41.25
1996-07-19,41.125
1996-07-22,40.0
1996-07-23,41.125
1996-07-24,40.875
1996-07-25,40.75
1996-07-26,41.125
1996-07-29,40.875
1996-07-30,41.25
1996-07-31,42.75
1996-08-01,44.0
1996-08-02,45.125
1996-08-05,44.125
1996-08-06,43.0
1996-08-07,42.875
1996-08-08,42.125
1996-08-09,42.75
1996-08-12,43.125
1996-08-13,43.125
1996-08-14,43.25
1996-08-15,43.25
1996-08-16,43.25
1996-08-19,42.625
1996-08-20,42.625
1996-08-21,43.375
1996-08-22,43.75
1996-08-23,43.875
1996-08-26,43.5
1996-08-27,43.125
1996-08-28,44.375
1996-08-29,43.875
1996-08-30,43.75
1996-09-03,44.75
1996-09-04,43.5
1996-09-05,43.375
1996-09-06,44.0
1996-09-09,44.625
1996-09-10,45.75
1996-09-11,45.625
1996-09-12,47.0
1996-09-13,47.375
1996-09-16,48.25
1996-09-17,48.0
1996-09-18,48.75
1996-09-19,49.875
1996-09-20,49.25
1996-09-23,48.5
1996-09-24,48.5
1996-09-25,48.75
1996-09-26,49.25
1996-09-27,49.0
1996-09-30,49.0
1996-10-01,49.0
1996-10-02,49.0
1996-10-03,48.75
1996-10-04,49.125
1996-10-07,48.875
1996-10-08,49.0
1996-10-09,48.25
1996-10-10,47.25
1996-10-11,48.0
1996-10-14,48.0
1996-10-15,48.375
1996-10-16,48.25
1996-10-17,47.375
1996-10-18,46.875
1996-10-21,47.5
1996-10-22,47.625
1996-10-23,47.25
1996-10-24,47.0
1996-10-25,48.125
1996-10-28,48.75
1996-10-29,49.0
1996-10-30,49.0
1996-10-31,51.375
1996-11-01,51.125
1996-11-04,50.75
1996-11-05,49.75
1996-11-06,51.125
1996-11-07,52.375
1996-11-08,53.375
1996-11-11,53.125
1996-11-12,53.375
1996-11-13,53.875
1996-11-14,53.875
1996-11-15,52.75
1996-11-18,53.625
1996-11-19,54.25
1996-11-20,53.875
1996-11-21,53.5
1996-11-22,53.25
1996-11-25,53.5
1996-11-26,53.375
1996-11-27,53.25
1996-11-29,53.0
1996-12-02,52.375
1996-12-03,52.25
1996-12-04,51.875
1996-12-05,51.625
1996-12-06,51.75
1996-12-09,52.5
1996-12-10,53.125
1996-12-11,52.375
1996-12-12,51.875
1996-12-13,51.125
1996-12-16,51.625
1996-12-17,51.75
1996-12-18,52.5
1996-12-19,52.875
1996-12-20,53.25
1996-12-23,53.25
1996-12-24,54.0
1996-12-26,54.75
1996-12-27,54.375
1996-12-30,54.375
1996-12-31,53.625
1997-01-02,52.125
1997-01-03,52.0
1997-01-06,52.875
1997-01-07,53.625
1997-01-08,52.0
1997-01-09,53.125
1997-01-10,52.625
1997-01-13,52.625
1997-01-14,53.75
1997-01-15,53.25
1997-01-16,52.625
1997-01-17,52.25
1997-01-20,52.75
1997-01-21,54.0
1997-01-22,53.75
1997-01-23,53.625
1997-01-24,53.375
1997-01-27,53.25
1997-01-28,52.25
1997-01-29,51.0
1997-01-30,49.375
1997-01-31,46.875
1997-02-03,45.375
1997-02-04,45.5
1997-02-05,44.875
1997-02-06,46.5
1997-02-07,46.875
1997-02-10,47.5
1997-02-11,48.125
1997-02-12,47.75
1997-02-13,47.25
1997-02-14,46.25
1997-02-18,46.625
1997-02-19,46.875
1997-02-20,46.875
1997-02-21,46.0
1997-02-24,45.375
1997-02-25,45.0
1997-02-26,44.5
1997-02-27,44.75
1997-02-28,44.75
1997-03-03,44.125
1997-03-04,35.875
1997-03-05,37.375
1997-03-06,38.5
1997-03-07,38.875
1997-03-10,38.875
1997-03-11,37.5
1997-03-12,37.0
1997-03-13,36.875
1997-03-14,37.75
1997-03-17,37.0
1997-03-18,37.0
1997-03-19,36.75
1997-03-20,36.375
1997-03-21,36.25
1997-03-24,35.75
1997-03-25,36.0
1997-03-26,35.125
1997-03-27,33.75
1997-03-31,33.25
1997-04-01,33.5
