Date,PDLI
1992-01-29,3.78125
1992-01-30,3.875
1992-01-31,3.875
1992-02-03,3.75
1992-02-04,3.75
1992-02-05,3.8125
1992-02-06,3.9375
1992-02-07,3.875
1992-02-10,3.75
1992-02-11,3.625
1992-02-12,3.46875
1992-02-13,3.5
1992-02-14,3.625
1992-02-18,3.375
1992-02-19,3.25
1992-02-20,3.25
1992-02-21,3.15625
1992-02-24,3.25
1992-02-25,3.15625
1992-02-26,3.3125
1992-02-27,3.46875
1992-02-28,3.375
1992-03-02,3.375
1992-03-03,3.25
1992-03-04,3.15625
1992-03-05,3.25
1992-03-06,3.03125
1992-03-09,3.15625
1992-03-10,3.125
1992-03-11,3.125
1992-03-12,3.1875
1992-03-13,3.09375
1992-03-16,3.03125
1992-03-17,3.15625
1992-03-18,3.125
1992-03-19,3.0
1992-03-20,2.875
1992-03-23,2.6875
1992-03-24,2.6875
1992-03-25,2.6875
1992-03-26,2.625
1992-03-27,2.625
1992-03-30,2.625
1992-03-31,2.53125
1992-04-01,2.53125
1992-04-02,2.4375
1992-04-03,2.4375
1992-04-06,2.4375
1992-04-07,2.4375
1992-04-08,2.4375
1992-04-09,2.4375
1992-04-10,2.46875
1992-04-13,2.4375
1992-04-14,2.4375
1992-04-15,2.4375
1992-04-16,2.40625
1992-04-20,2.15625
1992-04-21,2.0625
1992-04-22,1.96875
1992-04-23,1.875
1992-04-24,1.875
1992-04-27,1.9375
1992-04-28,1.84375
1992-04-29,1.9375
1992-04-30,1.875
1992-05-01,1.875
1992-05-04,1.96875
1992-05-05,1.96875
1992-05-06,2.0
1992-05-07,2.0625
1992-05-08,2.09375
1992-05-11,2.0
1992-05-12,1.8125
1992-05-13,1.8125
1992-05-14,1.9375
1992-05-15,1.78125
1992-05-18,1.78125
1992-05-19,1.75
1992-05-20,1.8125
1992-05-21,1.71875
1992-05-22,1.8125
1992-05-26,1.6875
1992-05-27,1.6875
1992-05-28,1.75
1992-05-29,1.65625
1992-06-01,1.8125
1992-06-02,1.875
1992-06-03,1.875
1992-06-04,1.875
1992-06-05,1.875
1992-06-08,1.875
1992-06-09,1.875
1992-06-10,1.875
1992-06-11,1.875
1992-06-12,1.9375
1992-06-15,1.9375
1992-06-16,1.90625
1992-06-17,1.8125
1992-06-18,1.78125
1992-06-19,1.90625
1992-06-22,1.875
1992-06-23,1.8125
1992-06-24,1.78125
1992-06-25,1.71875
1992-06-26,1.65625
1992-06-29,1.71875
1992-06-30,1.71875
1992-07-01,1.75
1992-07-02,1.75
1992-07-06,1.71875
1992-07-07,1.6875
1992-07-08,1.6875
1992-07-09,1.71875
1992-07-10,1.78125
1992-07-13,1.78125
1992-07-14,1.875
1992-07-15,1.84375
1992-07-16,1.84375
1992-07-17,1.84375
1992-07-20,1.9375
1992-07-21,1.9375
1992-07-22,1.9375
1992-07-23,1.96875
1992-07-24,1.90625
1992-07-27,1.75
1992-07-28,1.6875
1992-07-29,1.75
1992-07-30,1.625
1992-07-31,1.75
1992-08-03,1.625
1992-08-04,1.59375
1992-08-05,1.625
1992-08-06,1.625
1992-08-07,1.625
1992-08-10,1.6875
1992-08-11,1.71875
1992-08-12,1.71875
1992-08-13,1.71875
1992-08-14,1.75
1992-08-17,1.78125
1992-08-18,1.84375
1992-08-19,1.84375
1992-08-20,1.84375
1992-08-21,1.8125
1992-08-24,1.6875
1992-08-25,1.6875
1992-08-26,1.65625
1992-08-27,1.75
1992-08-28,1.75
1992-08-31,1.6875
1992-09-01,1.71875
1992-09-02,1.71875
1992-09-03,1.6875
1992-09-04,1.6875
1992-09-08,1.6875
1992-09-09,1.625
1992-09-10,1.59375
1992-09-11,1.59375
1992-09-14,1.59375
1992-09-15,1.625
1992-09-16,1.5625
1992-09-17,1.5625
1992-09-18,1.5625
1992-09-21,1.5625
1992-09-22,1.5625
1992-09-23,1.5625
1992-09-24,1.5625
1992-09-25,1.625
1992-09-28,1.625
1992-09-29,1.65625
1992-09-30,1.65625
1992-10-01,1.59375
1992-10-02,1.65625
1992-10-05,1.65625
1992-10-06,1.78125
1992-10-07,1.71875
1992-10-08,1.78125
1992-10-09,1.8125
1992-10-12,1.75
1992-10-13,1.8125
1992-10-14,1.6875
1992-10-15,1.78125
1992-10-16,1.78125
1992-10-19,1.71875
1992-10-20,1.8125
1992-10-21,1.875
1992-10-22,1.8125
1992-10-23,1.90625
1992-10-26,2.03125
1992-10-27,2.09375
1992-10-28,2.125
1992-10-29,2.03125
1992-10-30,2.15625
1992-11-02,2.25
1992-11-03,2.21875
1992-11-04,2.21875
1992-11-05,2.125
1992-11-06,2.09375
1992-11-09,2.21875
1992-11-10,2.28125
1992-11-11,2.75
1992-11-12,2.9375
1992-11-13,2.96875
1992-11-16,2.9375
1992-11-17,2.6875
1992-11-18,2.625
1992-11-19,2.875
1992-11-20,3.03125
1992-11-23,2.9375
1992-11-24,2.75
1992-11-25,2.90625
1992-11-27,2.90625
1992-11-30,3.0
1992-12-01,2.9375
1992-12-02,3.03125
1992-12-03,3.09375
1992-12-04,3.15625
1992-12-07,3.34375
1992-12-08,3.15625
1992-12-09,3.125
1992-12-10,3.125
1992-12-11,3.09375
1992-12-14,3.03125
1992-12-15,2.96875
1992-12-16,3.0
1992-12-17,3.03125
1992-12-18,2.96875
1992-12-21,2.9375
1992-12-22,2.875
1992-12-23,2.65625
1992-12-24,2.71875
1992-12-28,2.875
1992-12-29,3.0
1992-12-30,2.96875
1992-12-31,2.96875
1993-01-04,2.90625
1993-01-05,2.8125
1993-01-06,2.8125
1993-01-07,2.75
1993-01-08,2.8125
1993-01-11,2.78125
1993-01-12,2.6875
1993-01-13,2.5625
1993-01-14,2.625
1993-01-15,2.59375
1993-01-18,2.59375
1993-01-19,2.53125
1993-01-20,2.53125
1993-01-21,2.53125
1993-01-22,2.6875
1993-01-25,2.6875
1993-01-26,2.59375
1993-01-27,2.4375
1993-01-28,2.21875
1993-01-29,2.28125
1993-02-01,2.3125
1993-02-02,2.4375
1993-02-03,2.4375
1993-02-04,2.375
1993-02-05,2.25
1993-02-08,2.28125
1993-02-09,2.1875
1993-02-10,2.25
1993-02-11,2.34375
1993-02-12,2.21875
1993-02-16,2.1875
1993-02-17,2.03125
1993-02-18,2.09375
1993-02-19,2.03125
1993-02-22,1.625
1993-02-23,1.6875
1993-02-24,1.9375
1993-02-25,1.875
1993-02-26,1.875
1993-03-01,1.8125
1993-03-02,2.0
1993-03-03,2.03125
1993-03-04,1.9375
1993-03-05,1.96875
1993-03-08,1.84375
1993-03-09,1.90625
1993-03-10,1.90625
1993-03-11,1.90625
1993-03-12,1.96875
1993-03-15,2.0
1993-03-16,1.96875
1993-03-17,1.96875
1993-03-18,1.90625
1993-03-19,1.90625
1993-03-22,1.84375
1993-03-23,1.875
1993-03-24,1.90625
1993-03-25,1.90625
1993-03-26,1.78125
1993-03-29,1.90625
1993-03-30,1.9375
1993-03-31,1.90625
1993-04-01,1.9375
1993-04-02,1.875
1993-04-05,2.21875
1993-04-06,2.28125
1993-04-07,2.15625
1993-04-08,2.0625
1993-04-12,2.125
1993-04-13,2.03125
1993-04-14,2.21875
1993-04-15,2.21875
1993-04-16,2.21875
1993-04-19,2.40625
1993-04-20,2.34375
1993-04-21,2.3125
1993-04-22,2.25
1993-04-23,2.21875
1993-04-26,2.15625
1993-04-27,2.25
1993-04-28,2.3125
1993-04-29,2.25
