Date,MTN
1997-02-04,22.5
1997-02-05,22.0
1997-02-06,22.0
1997-02-07,21.25
1997-02-10,20.125
1997-02-11,20.75
1997-02-12,20.375
1997-02-13,20.25
1997-02-14,19.375
1997-02-18,19.125
1997-02-19,19.0
1997-02-20,19.875
1997-02-21,19.625
1997-02-24,19.5
1997-02-25,20.875
1997-02-26,21.875
1997-02-27,22.25
1997-02-28,21.875
1997-03-03,21.75
1997-03-04,21.375
1997-03-05,21.375
1997-03-06,21.0
1997-03-07,20.5
1997-03-10,20.875
1997-03-11,21.125
1997-03-12,20.75
1997-03-13,20.25
1997-03-14,20.5
1997-03-17,20.25
1997-03-18,20.5
1997-03-19,20.75
1997-03-20,20.5
1997-03-21,20.875
1997-03-24,20.75
1997-03-25,20.625
1997-03-26,20.375
1997-03-27,20.0
1997-03-31,19.5
1997-04-01,18.875
1997-04-02,18.375
1997-04-03,17.625
1997-04-04,18.75
1997-04-07,19.25
1997-04-08,19.75
1997-04-09,20.0
1997-04-10,20.0
1997-04-11,19.375
1997-04-14,19.125
1997-04-15,19.375
1997-04-16,19.25
1997-04-17,19.375
1997-04-18,19.25
1997-04-21,18.875
1997-04-22,18.5
1997-04-23,18.5
1997-04-24,18.5
1997-04-25,17.5
1997-04-28,18.5
1997-04-29,19.375
1997-04-30,20.375
1997-05-01,20.125
1997-05-02,20.125
1997-05-05,21.375
1997-05-06,21.5
1997-05-07,21.5
1997-05-08,21.75
1997-05-09,21.625
1997-05-12,21.375
1997-05-13,21.375
1997-05-14,21.5
1997-05-15,21.125
1997-05-16,21.25
1997-05-19,21.5
1997-05-20,21.875
1997-05-21,21.75
1997-05-22,22.25
1997-05-23,22.875
1997-05-27,23.25
1997-05-28,23.5
1997-05-29,23.5
1997-05-30,23.875
1997-06-02,23.125
1997-06-03,23.375
1997-06-04,24.0
1997-06-05,23.625
1997-06-06,24.375
1997-06-09,24.0
1997-06-10,24.125
1997-06-11,24.0
1997-06-12,24.0
1997-06-13,24.875
1997-06-16,24.5
1997-06-17,24.375
1997-06-18,24.625
1997-06-19,24.75
1997-06-20,24.625
1997-06-23,24.25
1997-06-24,24.875
1997-06-25,25.0
1997-06-26,24.625
1997-06-27,25.375
1997-06-30,25.25
1997-07-01,24.125
1997-07-02,24.5
1997-07-03,24.8125
1997-07-07,26.0
1997-07-08,25.0
1997-07-09,24.5
1997-07-10,24.75
1997-07-11,24.625
1997-07-14,25.375
1997-07-15,24.625
1997-07-16,24.75
1997-07-17,24.75
1997-07-18,25.125
1997-07-21,24.6875
1997-07-22,24.625
1997-07-23,24.625
1997-07-24,24.875
1997-07-25,24.875
1997-07-28,24.8125
1997-07-29,24.625
1997-07-30,24.4375
1997-07-31,24.1875
1997-08-01,23.9375
1997-08-04,23.0
1997-08-05,23.5
1997-08-06,24.125
1997-08-07,24.5
1997-08-08,24.625
1997-08-11,24.125
1997-08-12,25.375
1997-08-13,25.375
1997-08-14,24.875
1997-08-15,24.125
1997-08-18,24.3125
1997-08-19,24.75
1997-08-20,24.875
1997-08-21,25.125
1997-08-22,24.9375
1997-08-25,25.125
1997-08-26,25.3125
1997-08-27,25.125
1997-08-28,25.0
1997-08-29,25.0
