Date,SBGI
1995-06-07,12.0625
1995-06-08,11.8125
1995-06-09,11.875
1995-06-12,12.0
1995-06-13,11.75
1995-06-14,12.25
1995-06-15,12.25
1995-06-16,14.0
1995-06-19,14.0
1995-06-20,14.0
1995-06-21,14.0
1995-06-22,14.5
1995-06-23,14.0
1995-06-26,14.0
1995-06-27,13.875
1995-06-28,13.75
1995-06-29,13.75
1995-06-30,14.0
1995-07-03,13.6875
1995-07-05,14.0
1995-07-06,14.25
1995-07-07,14.25
1995-07-10,13.75
1995-07-11,13.75
1995-07-12,13.875
1995-07-13,13.875
1995-07-14,14.25
1995-07-17,13.9375
1995-07-18,14.75
1995-07-19,14.625
1995-07-20,14.625
1995-07-21,14.5
1995-07-24,14.625
1995-07-25,14.125
1995-07-26,14.75
1995-07-27,14.625
1995-07-28,14.875
1995-07-31,15.25
1995-08-01,15.0
1995-08-02,15.0
1995-08-03,14.75
1995-08-04,15.375
1995-08-07,15.5
1995-08-08,15.5
1995-08-09,15.0
1995-08-10,15.0
1995-08-11,15.0
1995-08-14,15.0
1995-08-15,15.0625
1995-08-16,15.0
1995-08-17,15.0625
1995-08-18,15.0
1995-08-21,15.0
1995-08-22,15.125
1995-08-23,15.0
1995-08-24,15.1875
1995-08-25,15.0
1995-08-28,15.125
1995-08-29,15.5
1995-08-30,15.0
1995-08-31,15.125
1995-09-01,15.0
1995-09-05,15.5
1995-09-06,15.0
1995-09-07,15.0
1995-09-08,15.5
1995-09-11,15.0
1995-09-12,15.0
1995-09-13,15.0
1995-09-14,15.0
1995-09-15,15.0
1995-09-18,14.375
1995-09-19,14.4375
1995-09-20,14.4375
1995-09-21,14.375
1995-09-22,14.875
1995-09-25,14.375
1995-09-26,14.8125
1995-09-27,14.375
1995-09-28,14.375
1995-09-29,14.375
1995-10-02,13.875
1995-10-03,12.625
1995-10-04,12.625
1995-10-05,12.625
1995-10-06,12.625
1995-10-09,12.625
1995-10-10,12.625
1995-10-11,12.375
1995-10-12,12.875
1995-10-13,12.75
1995-10-16,12.375
1995-10-17,12.875
1995-10-18,12.625
1995-10-19,12.875
1995-10-20,12.5
1995-10-23,12.6875
1995-10-24,12.125
1995-10-25,12.125
1995-10-26,11.625
1995-10-27,11.375
1995-10-30,11.25
1995-10-31,10.375
1995-11-01,10.875
1995-11-02,10.625
1995-11-03,10.6875
1995-11-06,10.03125
1995-11-07,9.625
1995-11-08,10.125
1995-11-09,10.0
1995-11-10,10.0
1995-11-13,9.625
1995-11-14,8.75
1995-11-15,8.6875
1995-11-16,8.125
1995-11-17,8.375
1995-11-20,8.625
1995-11-21,8.875
1995-11-22,8.875
1995-11-24,9.125
1995-11-27,9.25
1995-11-28,9.5
1995-11-29,9.625
1995-11-30,9.875
1995-12-01,9.9375
1995-12-04,10.125
1995-12-05,10.125
1995-12-06,10.375
1995-12-07,10.0
1995-12-08,10.375
1995-12-11,10.125
1995-12-12,10.125
1995-12-13,9.875
1995-12-14,10.0
1995-12-15,9.9375
1995-12-18,9.875
1995-12-19,9.875
1995-12-20,9.875
1995-12-21,10.0
1995-12-22,9.625
1995-12-26,9.375
1995-12-27,8.625
1995-12-28,8.25
1995-12-29,8.625
1996-01-02,8.4375
1996-01-03,8.875
1996-01-04,9.125
1996-01-05,9.625
1996-01-08,9.625
1996-01-09,9.3125
1996-01-10,9.4375
1996-01-11,9.375
1996-01-12,9.25
1996-01-15,9.5
1996-01-16,9.5
1996-01-17,9.5
1996-01-18,9.5
1996-01-19,9.125
1996-01-22,9.125
1996-01-23,9.375
1996-01-24,9.375
1996-01-25,9.4375
1996-01-26,9.4375
1996-01-29,9.375
1996-01-30,8.5625
1996-01-31,9.0
1996-02-01,9.0
1996-02-02,8.875
1996-02-05,8.625
1996-02-06,8.875
1996-02-07,8.75
1996-02-08,8.5
1996-02-09,8.875
1996-02-12,8.6875
1996-02-13,9.0
1996-02-14,10.125
1996-02-15,10.75
1996-02-16,10.625
1996-02-20,10.625
1996-02-21,10.75
1996-02-22,10.75
1996-02-23,10.75
1996-02-26,10.625
1996-02-27,10.75
1996-02-28,10.5625
1996-02-29,11.75
1996-03-01,11.5
1996-03-04,11.625
1996-03-05,12.0
1996-03-06,12.5
1996-03-07,12.75
1996-03-08,12.625
1996-03-11,12.5
1996-03-12,12.625
1996-03-13,12.875
1996-03-14,12.5
1996-03-15,12.875
1996-03-18,13.0
1996-03-19,13.25
1996-03-20,13.0
1996-03-21,12.75
1996-03-22,12.75
1996-03-25,12.75
1996-03-26,13.25
1996-03-27,13.0
1996-03-28,12.75
1996-03-29,13.25
1996-04-01,12.75
1996-04-02,13.0
1996-04-03,13.625
1996-04-04,13.5
1996-04-08,13.25
1996-04-09,13.25
1996-04-10,13.625
1996-04-11,16.125
1996-04-12,17.125
1996-04-15,15.75
1996-04-16,16.375
1996-04-17,16.875
1996-04-18,16.25
1996-04-19,17.0
1996-04-22,18.125
1996-04-23,18.625
1996-04-24,18.625
1996-04-25,18.0
1996-04-26,18.375
1996-04-29,18.65625
1996-04-30,19.0625
1996-05-01,19.5
1996-05-02,20.625
1996-05-03,20.6875
