Date,IAC
1993-01-19,1.09075
1993-01-20,1.09075
1993-01-21,1.09075
1993-01-22,1.211945
1993-01-25,1.151348
1993-01-26,1.211945
1993-01-27,1.393737
1993-01-28,1.3331389999999999
1993-01-29,1.272542
1993-02-01,1.2422440000000001
1993-02-02,1.302841
1993-02-03,1.2422440000000001
1993-02-04,1.302841
1993-02-05,1.3331389999999999
1993-02-08,1.484632
1993-02-09,1.302841
1993-02-10,1.3331389999999999
1993-02-11,1.302841
1993-02-12,1.454334
1993-02-16,1.454334
1993-02-17,1.575528
1993-02-18,1.575528
1993-02-19,1.575528
1993-02-22,1.484632
1993-02-23,1.575528
1993-02-24,1.575528
1993-02-25,1.696723
1993-02-26,1.620976
1993-03-01,1.636126
1993-03-02,1.636126
1993-03-03,1.484632
1993-03-04,1.484632
1993-03-05,1.454334
1993-03-08,1.393737
1993-03-09,1.424035
1993-03-10,1.272542
1993-03-11,1.272542
1993-03-12,1.272542
1993-03-15,1.302841
1993-03-16,1.302841
1993-03-17,1.211945
1993-03-18,1.211945
1993-03-19,1.151348
1993-03-22,1.151348
1993-03-23,1.151348
1993-03-24,1.09075
1993-03-25,1.151348
1993-03-26,1.030153
1993-03-29,1.060452
1993-03-30,0.969556
1993-03-31,0.969556
1993-04-01,1.030153
1993-04-02,1.030153
1993-04-05,1.030153
1993-04-06,0.908959
1993-04-07,0.87866
1993-04-08,0.818063
1993-04-12,0.727167
1993-04-13,0.636271
1993-04-14,0.742316
1993-04-15,0.727167
1993-04-16,0.696868
1993-04-19,0.969556
1993-04-20,1.030153
1993-04-21,1.09075
1993-04-22,1.060452
1993-04-23,1.060452
1993-04-26,1.060452
1993-04-27,0.908959
1993-04-28,0.9998549999999999
1993-04-29,0.9998549999999999
1993-04-30,0.908959
1993-05-03,0.908959
1993-05-04,0.908959
1993-05-05,0.969556
1993-05-06,0.908959
1993-05-07,0.848361
1993-05-10,0.87866
1993-05-11,0.848361
1993-05-12,0.848361
1993-05-13,0.87866
1993-05-14,0.908959
1993-05-17,0.939257
1993-05-18,0.939257
1993-05-19,1.151348
1993-05-20,1.363438
1993-05-21,1.393737
1993-05-24,1.393737
1993-05-25,1.31799
1993-05-26,1.302841
1993-05-27,1.363438
1993-05-28,1.363438
1993-06-01,1.302841
1993-06-02,1.454334
1993-06-03,1.514931
1993-06-04,1.514931
1993-06-07,1.424035
1993-06-08,1.393737
1993-06-09,1.454334
1993-06-10,1.454334
1993-06-11,1.5452299999999999
1993-06-14,1.5452299999999999
1993-06-15,1.6664240000000001
1993-06-16,1.908813
1993-06-17,1.999709
1993-06-18,2.090605
1993-06-21,2.211799
1993-06-22,2.454189
1993-06-23,2.120904
1993-06-24,2.181501
1993-06-25,2.181501
1993-06-28,2.363293
1993-06-29,2.726876
1993-06-30,2.42389
1993-07-01,2.42389
1993-07-02,2.787473
1993-07-06,2.938967
1993-07-07,3.332849
1993-07-08,3.1510569999999998
1993-07-09,2.999564
1993-07-12,3.938821
1993-07-13,4.302404
1993-07-14,4.060016
1993-07-15,3.757029
1993-07-16,3.6358349999999997
1993-07-19,3.847925
1993-07-20,4.5447940000000004
1993-07-21,4.484196
1993-07-22,4.241807
1993-07-23,4.18121
1993-07-26,4.18121
1993-07-27,4.18121
1993-07-28,4.18121
1993-07-29,4.302404
1993-07-30,4.363002
1993-08-02,4.120613
1993-08-03,4.120613
1993-08-04,3.787328
1993-08-05,3.6358349999999997
1993-08-06,3.7267309999999996
1993-08-09,3.7267309999999996
1993-08-10,3.6661330000000003
1993-08-11,3.6358349999999997
1993-08-12,3.696432
1993-08-13,3.332849
1993-08-16,3.423744
1993-08-17,3.7267309999999996
1993-08-18,3.757029
1993-08-19,3.6358349999999997
1993-08-20,3.696432
1993-08-23,3.696432
1993-08-24,3.757029
1993-08-25,3.696432
1993-08-26,4.363002
1993-08-27,4.423598999999999
1993-08-30,4.18121
1993-08-31,4.302404
1993-09-01,4.241807
1993-09-02,4.272106
1993-09-03,4.241807
1993-09-07,4.241807
1993-09-08,4.060016
1993-09-09,4.120613
