Date,CMP
2003-12-12,13.75
2003-12-15,14.2
2003-12-16,14.06
2003-12-17,14.15
2003-12-18,14.02
2003-12-19,14.0
2003-12-22,14.05
2003-12-23,14.1
2003-12-24,14.3
2003-12-26,14.2
2003-12-29,14.2
2003-12-30,14.03
2003-12-31,14.28
2004-01-02,14.4
2004-01-05,14.4
2004-01-06,14.54
2004-01-07,14.36
2004-01-08,14.25
2004-01-09,14.5
2004-01-12,14.31
2004-01-13,14.16
2004-01-14,14.45
2004-01-15,14.39
2004-01-16,14.24
2004-01-20,14.34
2004-01-21,14.38
2004-01-22,14.55
2004-01-23,14.88
2004-01-26,15.35
2004-01-27,15.56
2004-01-28,15.71
2004-01-29,15.59
2004-01-30,15.5
2004-02-02,15.53
2004-02-03,15.4
2004-02-04,15.3
2004-02-05,15.33
2004-02-06,15.39
2004-02-09,15.1
2004-02-10,15.35
2004-02-11,15.64
2004-02-12,16.0
2004-02-13,16.15
2004-02-17,16.139999
2004-02-18,16.48
2004-02-19,16.85
2004-02-20,16.799999
2004-02-23,16.77
2004-02-24,16.75
2004-02-25,16.25
2004-02-26,16.65
2004-02-27,16.65
2004-03-01,16.59
2004-03-02,16.610001
2004-03-03,16.58
2004-03-04,16.4
2004-03-05,16.57
2004-03-08,16.5
2004-03-09,16.65
2004-03-10,16.559998999999998
2004-03-11,16.200001
2004-03-12,16.049999
2004-03-15,15.96
2004-03-16,15.51
2004-03-17,15.5
2004-03-18,16.15
2004-03-19,15.68
2004-03-22,15.28
2004-03-23,15.8
2004-03-24,15.75
2004-03-25,15.61
2004-03-26,15.92
2004-03-29,16.01
2004-03-30,16.18
2004-03-31,16.389999
2004-04-01,16.91
2004-04-02,16.950001
2004-04-05,16.950001
2004-04-06,16.4
2004-04-07,16.469998999999998
2004-04-08,16.66
2004-04-12,16.91
2004-04-13,16.809998999999998
2004-04-14,16.76
2004-04-15,16.799999
2004-04-16,16.76
2004-04-19,16.700001
2004-04-20,16.58
2004-04-21,16.5
2004-04-22,16.5
2004-04-23,16.49
2004-04-26,16.5
2004-04-27,16.49
2004-04-28,16.459999
2004-04-29,16.469998999999998
2004-04-30,16.4
2004-05-03,16.48
2004-05-04,16.5
2004-05-05,17.629998999999998
2004-05-06,17.68
2004-05-07,17.6
2004-05-10,17.1
2004-05-11,17.4
2004-05-12,17.4
2004-05-13,17.51
2004-05-14,17.700001
2004-05-17,17.66
2004-05-18,18.15
2004-05-19,17.85
2004-05-20,18.0
2004-05-21,18.040001
2004-05-24,18.26
2004-05-25,18.219998999999998
2004-05-26,18.42
2004-05-27,18.959999
2004-05-28,19.530001000000002
2004-06-01,19.459999
2004-06-02,19.85
2004-06-03,19.719998999999998
2004-06-04,19.809998999999998
2004-06-07,19.85
2004-06-08,19.52
2004-06-09,19.469998999999998
2004-06-10,19.549999
2004-06-14,18.84
2004-06-15,19.07
2004-06-16,19.27
2004-06-17,18.809998999999998
2004-06-18,19.450001
2004-06-21,19.559998999999998
2004-06-22,19.450001
2004-06-23,19.49
2004-06-24,19.34
2004-06-25,18.5
2004-06-28,18.77
2004-06-29,19.290001
2004-06-30,19.379998999999998
2004-07-01,19.440001000000002
2004-07-02,19.6
2004-07-06,18.959999
2004-07-07,18.65
2004-07-08,19.1
2004-07-09,19.08
2004-07-12,19.25
2004-07-13,19.18
2004-07-14,19.35
2004-07-15,19.59
2004-07-16,20.0
2004-07-19,20.719998999999998
2004-07-20,20.690001000000002
2004-07-21,20.24
2004-07-22,19.940001000000002
2004-07-23,19.9
2004-07-26,19.66
2004-07-27,19.620001000000002
2004-07-28,19.76
2004-07-29,19.940001000000002
2004-07-30,20.42
2004-08-02,20.309998999999998
2004-08-03,20.809998999999998
2004-08-04,20.459999
2004-08-05,20.08
2004-08-06,19.57
2004-08-09,19.049999
2004-08-10,19.059998999999998
2004-08-11,18.969998999999998
2004-08-12,19.059998999999998
2004-08-13,19.26
2004-08-16,19.17
2004-08-17,19.32
2004-08-18,20.1
2004-08-19,20.4
2004-08-20,20.85
2004-08-23,19.9
2004-08-24,20.700001
2004-08-25,20.700001
2004-08-26,20.780001000000002
2004-08-27,20.799999
2004-08-30,20.9
2004-08-31,21.469998999999998
2004-09-01,21.6
2004-09-02,21.93
2004-09-03,21.639999
2004-09-07,21.690001000000002
2004-09-08,21.67
2004-09-09,21.75
2004-09-10,21.6
2004-09-13,21.709999
2004-09-14,21.68
2004-09-15,21.68
2004-09-16,22.1
