Date,IBN
2000-03-28,2.590909
2000-03-29,2.727273
2000-03-30,2.636364
2000-03-31,2.659091
2000-04-03,2.613636
2000-04-04,2.272727
2000-04-05,2.522727
2000-04-06,3.034091
2000-04-07,3.204545
2000-04-10,2.920455
2000-04-11,2.886364
2000-04-12,2.863636
2000-04-13,2.75
2000-04-14,2.727273
2000-04-17,2.727273
2000-04-18,2.863636
2000-04-19,2.886364
2000-04-20,2.909091
2000-04-24,2.681818
2000-04-25,2.772727
2000-04-26,3.136364
2000-04-27,3.113636
2000-04-28,3.136364
2000-05-01,3.079545
2000-05-02,2.977273
2000-05-03,2.727273
2000-05-04,2.772727
2000-05-05,2.829545
2000-05-08,2.977273
2000-05-09,3.0
2000-05-10,2.863636
2000-05-11,2.795455
2000-05-12,2.738636
2000-05-15,2.738636
2000-05-16,2.75
2000-05-17,2.727273
2000-05-18,2.727273
2000-05-19,2.670455
2000-05-22,2.727273
2000-05-23,2.727273
2000-05-24,2.727273
2000-05-25,2.738636
2000-05-26,2.818182
2000-05-30,2.795455
2000-05-31,2.795455
2000-06-01,2.772727
2000-06-02,2.875
2000-06-05,2.875
2000-06-06,3.022727
2000-06-07,2.931818
2000-06-08,2.909091
2000-06-09,2.840909
2000-06-12,2.727273
2000-06-13,2.727273
2000-06-14,2.681818
2000-06-15,2.75
2000-06-16,2.625
2000-06-19,2.681818
2000-06-20,2.75
2000-06-21,2.704545
2000-06-22,2.738636
2000-06-23,2.738636
2000-06-26,2.738636
2000-06-27,2.704545
2000-06-28,2.670455
2000-06-29,2.659091
2000-06-30,2.636364
2000-07-03,2.704545
2000-07-05,2.727273
2000-07-06,2.659091
2000-07-07,2.602273
2000-07-10,2.568182
2000-07-11,2.556818
2000-07-12,2.545455
2000-07-13,2.5
2000-07-14,2.443182
2000-07-17,2.340909
2000-07-18,2.318182
2000-07-19,2.306818
2000-07-20,2.215909
2000-07-21,2.159091
2000-07-24,1.954545
2000-07-25,1.943182
2000-07-26,1.954545
2000-07-27,2.079545
2000-07-28,2.170455
2000-07-31,2.181818
2000-08-01,2.227273
2000-08-02,2.181818
2000-08-03,2.159091
2000-08-04,2.136364
2000-08-07,2.181818
2000-08-08,2.181818
2000-08-09,2.318182
2000-08-10,2.340909
2000-08-11,2.363636
2000-08-14,2.431818
2000-08-15,2.409091
2000-08-16,2.363636
2000-08-17,2.295455
2000-08-18,2.272727
2000-08-21,2.25
2000-08-22,2.329545
2000-08-23,2.295455
2000-08-24,2.238636
2000-08-25,2.193182
2000-08-28,2.181818
2000-08-29,2.147727
2000-08-30,2.159091
2000-08-31,2.090909
2000-09-01,2.068182
2000-09-05,2.113636
2000-09-06,2.090909
2000-09-07,2.056818
2000-09-08,2.079545
2000-09-11,2.022727
