Date,VNOM
2014-06-18,32.349998
2014-06-19,33.34
2014-06-20,33.990002000000004
2014-06-23,34.224998
2014-06-24,33.0
2014-06-25,31.969998999999998
2014-06-26,32.43
2014-06-27,33.099998
2014-06-30,33.799999
2014-07-01,32.25
2014-07-02,33.290001000000004
2014-07-03,33.669998
2014-07-07,33.970001
2014-07-08,33.5
2014-07-09,33.360001000000004
2014-07-10,32.919998
2014-07-11,32.68
2014-07-14,32.5
2014-07-15,32.470001
2014-07-16,32.810001
2014-07-17,33.220001
2014-07-18,33.599998
2014-07-21,33.040001000000004
2014-07-22,32.919998
2014-07-23,32.720001
2014-07-24,32.669998
2014-07-25,32.349998
2014-07-28,31.360001
2014-07-29,31.34
2014-07-30,30.360001
2014-07-31,30.450001
2014-08-01,30.799999
2014-08-04,30.639999
2014-08-05,30.51
2014-08-06,30.57
2014-08-07,31.25
2014-08-08,31.959999
2014-08-11,31.52
2014-08-12,31.5
2014-08-13,31.34
2014-08-14,31.780001000000002
2014-08-15,31.389999
2014-08-18,32.110001000000004
2014-08-19,32.84
2014-08-20,32.0
2014-08-21,32.400002
2014-08-22,32.130001
2014-08-25,31.51
2014-08-26,31.610001
2014-08-27,32.32
2014-08-28,31.85
2014-08-29,32.040001000000004
2014-09-02,31.83
2014-09-03,31.35
2014-09-04,30.0
2014-09-05,30.200001
2014-09-08,30.23
2014-09-09,30.01
2014-09-10,30.07
2014-09-11,30.08
2014-09-12,30.059998999999998
2014-09-15,28.5
2014-09-16,27.209999
2014-09-17,27.0
2014-09-18,26.67
2014-09-19,26.49
2014-09-22,24.549999
2014-09-23,24.450001
2014-09-24,24.16
2014-09-25,23.059998999999998
2014-09-26,23.299999
2014-09-29,23.57
2014-09-30,23.23
2014-10-01,23.559998999999998
2014-10-02,23.43
2014-10-03,24.17
2014-10-06,23.93
2014-10-07,23.74
2014-10-08,22.1
2014-10-09,19.76
2014-10-10,18.33
2014-10-13,17.18
2014-10-14,17.48
2014-10-15,17.59
2014-10-16,19.709999
2014-10-17,20.700001
2014-10-20,20.41
2014-10-21,20.870001000000002
2014-10-22,20.74
2014-10-23,21.6
2014-10-24,21.360001
2014-10-27,20.91
2014-10-28,21.01
2014-10-29,20.67
2014-10-30,20.1
2014-10-31,20.24
2014-11-03,20.290001
2014-11-04,19.959999
2014-11-05,20.200001
2014-11-06,20.540001
2014-11-07,20.530001000000002
2014-11-10,19.940001000000002
2014-11-11,19.49
2014-11-12,19.65
2014-11-13,19.09
2014-11-14,18.780001000000002
2014-11-17,19.059998999999998
2014-11-18,19.08
2014-11-19,18.91
2014-11-20,19.51
2014-11-21,19.9
2014-11-24,19.85
2014-11-25,19.870001000000002
2014-11-26,19.4
2014-11-28,17.969998999999998
2014-12-01,16.309998999999998
2014-12-02,16.360001
2014-12-03,15.91
2014-12-04,15.12
2014-12-05,14.44
2014-12-08,14.51
2014-12-09,15.87
2014-12-10,15.32
2014-12-11,14.92
2014-12-12,15.01
2014-12-15,15.34
2014-12-16,16.42
2014-12-17,17.08
2014-12-18,17.65
2014-12-19,19.65
2014-12-22,19.07
2014-12-23,18.68
2014-12-24,18.075001
2014-12-26,18.15
2014-12-29,17.530001000000002
2014-12-30,16.969998999999998
2014-12-31,18.129998999999998
2015-01-02,19.73
2015-01-05,17.68
2015-01-06,17.280001000000002
2015-01-07,16.57
2015-01-08,17.5
2015-01-09,18.15
2015-01-12,17.68
2015-01-13,17.540001
2015-01-14,17.75
2015-01-15,17.719998999999998
2015-01-16,17.469998999999998
2015-01-20,16.75
2015-01-21,16.99
2015-01-22,17.0
2015-01-23,17.129998999999998
2015-01-26,16.82
2015-01-27,17.49
2015-01-28,16.690001000000002
2015-01-29,17.48
2015-01-30,17.5
2015-02-02,18.4
2015-02-03,19.639999
2015-02-04,18.629998999999998
2015-02-05,18.719998999999998
2015-02-06,18.530001000000002
2015-02-09,18.9
2015-02-10,18.629998999999998
2015-02-11,18.59
2015-02-12,18.99
2015-02-13,18.98
2015-02-17,18.950001
2015-02-18,17.84
2015-02-19,18.17
2015-02-20,18.26
2015-02-23,17.860001
2015-02-24,18.135
2015-02-25,18.950001
2015-02-26,19.01
2015-02-27,19.0
2015-03-02,18.75
2015-03-03,19.01
2015-03-04,18.190001000000002
2015-03-05,18.059998999999998
2015-03-06,17.709999
2015-03-09,17.23
2015-03-10,17.120001000000002
2015-03-11,17.41
