Date,FLEX
1994-03-18,1.8125
1994-03-21,1.78125
1994-03-22,1.75
1994-03-23,1.75
1994-03-24,1.71875
1994-03-25,1.734375
1994-03-28,1.71875
1994-03-29,1.6875
1994-03-30,1.59375
1994-03-31,1.5625
1994-04-04,1.5
1994-04-05,1.5
1994-04-06,1.5
1994-04-07,1.53125
1994-04-08,1.5
1994-04-11,1.53125
1994-04-12,1.59375
1994-04-13,1.625
1994-04-14,1.5625
1994-04-15,1.59375
1994-04-18,1.53125
1994-04-19,1.375
1994-04-20,1.203125
1994-04-21,1.1875
1994-04-22,1.21875
1994-04-25,1.25
1994-04-26,1.375
1994-04-28,1.375
1994-04-29,1.375
1994-05-02,1.5
1994-05-03,1.625
1994-05-04,1.71875
1994-05-05,1.75
1994-05-06,1.59375
1994-05-09,1.5
1994-05-10,1.5625
1994-05-11,1.53125
1994-05-12,1.5
1994-05-13,1.5625
1994-05-16,1.5
1994-05-17,1.5546879999999998
1994-05-18,1.5
1994-05-19,1.5
1994-05-20,1.5
1994-05-23,1.53125
1994-05-24,1.5625
1994-05-25,1.5
1994-05-26,1.5
1994-05-27,1.484375
1994-05-31,1.5
1994-06-01,1.34375
1994-06-02,1.34375
1994-06-03,1.34375
1994-06-06,1.3125
1994-06-07,1.3125
1994-06-08,1.3125
1994-06-09,1.4375
1994-06-10,1.46875
1994-06-13,1.4375
1994-06-14,1.46875
1994-06-15,1.5
1994-06-16,1.53125
1994-06-17,1.53125
1994-06-20,1.53125
1994-06-21,1.375
1994-06-22,1.4375
1994-06-23,1.3125
1994-06-24,1.28125
1994-06-27,1.09375
1994-06-28,1.15625
1994-06-29,1.21875
1994-06-30,1.171875
1994-07-01,1.1875
1994-07-05,1.21875
1994-07-06,1.25
1994-07-07,1.296875
1994-07-08,1.25
1994-07-11,1.25
1994-07-12,1.28125
1994-07-13,1.296875
1994-07-14,1.28125
1994-07-15,1.359375
1994-07-18,1.40625
1994-07-19,1.34375
1994-07-20,1.375
1994-07-21,1.375
1994-07-22,1.375
1994-07-25,1.40625
1994-07-26,1.390625
1994-07-27,1.390625
1994-07-28,1.40625
1994-07-29,1.34375
1994-08-01,1.3125
1994-08-02,1.28125
1994-08-03,1.28125
1994-08-04,1.28125
1994-08-05,1.28125
1994-08-08,1.15625
1994-08-09,1.125
1994-08-10,1.375
1994-08-11,1.390625
1994-08-12,1.421875
1994-08-15,1.359375
1994-08-16,1.4375
1994-08-17,1.46875
1994-08-18,1.46875
1994-08-19,1.390625
1994-08-22,1.5
1994-08-23,1.53125
1994-08-24,1.59375
1994-08-25,1.609375
1994-08-26,1.6171879999999998
1994-08-29,1.5625
1994-08-30,1.65625
1994-08-31,1.75
1994-09-01,1.78125
1994-09-02,1.84375
1994-09-06,1.78125
1994-09-07,1.78125
1994-09-08,1.765625
1994-09-09,1.84375
1994-09-12,1.9375
1994-09-13,1.851563
1994-09-14,1.78125
1994-09-15,1.875
1994-09-16,1.875
1994-09-19,1.625
1994-09-20,1.65625
1994-09-21,1.6875
1994-09-22,1.625
1994-09-23,1.625
