Date,SPH
1996-02-29,20.5
1996-03-01,20.5
1996-03-04,20.5
1996-03-05,20.625
1996-03-06,20.75
1996-03-07,20.75
1996-03-08,20.5
1996-03-11,20.5
1996-03-12,20.5
1996-03-13,20.5
1996-03-14,20.5
1996-03-15,20.5
1996-03-18,20.5
1996-03-19,20.5
1996-03-20,20.5
1996-03-21,20.5
1996-03-22,20.5
1996-03-25,20.625
1996-03-26,20.5
1996-03-27,20.625
1996-03-28,20.625
1996-03-29,20.75
1996-04-01,20.625
1996-04-02,20.375
1996-04-03,20.25
1996-04-04,20.125
1996-04-08,20.0
1996-04-09,20.25
1996-04-10,20.25
1996-04-11,20.5
1996-04-12,20.25
1996-04-15,20.375
1996-04-16,20.375
1996-04-17,20.5
1996-04-18,20.5
1996-04-19,20.375
1996-04-22,20.5
1996-04-23,20.375
1996-04-24,20.375
1996-04-25,20.5
1996-04-26,20.625
1996-04-29,20.625
1996-04-30,20.5625
1996-05-01,20.5
1996-05-02,20.375
1996-05-03,20.375
1996-05-06,20.5
1996-05-07,20.5
1996-05-08,20.375
1996-05-09,20.375
1996-05-10,20.625
1996-05-13,20.5
1996-05-14,20.625
1996-05-15,20.5
1996-05-16,20.5
1996-05-17,20.625
1996-05-20,20.625
1996-05-21,20.5
1996-05-22,20.5625
1996-05-23,20.625
1996-05-24,20.625
1996-05-28,20.5
1996-05-29,20.375
1996-05-30,20.375
1996-05-31,20.375
1996-06-03,20.375
1996-06-04,20.375
1996-06-05,20.5
1996-06-06,20.5
1996-06-07,20.375
1996-06-10,20.5
1996-06-11,20.5
1996-06-12,20.5
1996-06-13,20.375
1996-06-14,20.5
1996-06-17,20.5
1996-06-18,20.375
1996-06-19,20.375
1996-06-20,20.5
1996-06-21,20.375
1996-06-24,20.5
1996-06-25,20.5
1996-06-26,20.375
1996-06-27,20.375
1996-06-28,20.375
1996-07-01,20.25
1996-07-02,20.375
1996-07-03,20.375
1996-07-05,20.375
1996-07-08,20.5
