Date,BCO
1996-01-03,23.875
1996-01-04,21.5
1996-01-05,22.75
1996-01-08,23.25
1996-01-09,23.5
1996-01-10,23.375
1996-01-11,22.75
1996-01-12,21.5
1996-01-15,21.5
1996-01-16,20.875
1996-01-17,21.5
1996-01-18,22.75
1996-01-19,23.5
1996-01-22,23.25
1996-01-23,23.375
1996-01-24,24.25
1996-01-25,24.25
1996-01-26,23.75
1996-01-29,23.75
1996-01-30,24.75
1996-01-31,25.0
1996-02-01,24.625
1996-02-02,24.5
1996-02-05,24.5
1996-02-06,25.375
1996-02-07,23.75
1996-02-08,24.375
1996-02-09,24.375
1996-02-12,24.125
1996-02-13,24.5
1996-02-14,24.25
1996-02-15,24.625
1996-02-16,24.5
1996-02-20,24.0
1996-02-21,24.5
1996-02-22,24.375
1996-02-23,24.5
1996-02-26,23.25
1996-02-27,22.875
1996-02-28,23.0
1996-02-29,23.375
1996-03-01,24.25
1996-03-04,24.75
1996-03-05,25.375
1996-03-06,25.75
1996-03-07,25.75
1996-03-08,25.5
1996-03-11,26.875
1996-03-12,26.5
1996-03-13,27.375
1996-03-14,27.375
1996-03-15,27.375
1996-03-18,27.375
1996-03-19,27.5
1996-03-20,27.5
1996-03-21,27.5
1996-03-22,27.25
1996-03-25,27.0
1996-03-26,25.875
1996-03-27,26.25
1996-03-28,26.0
1996-03-29,26.75
1996-04-01,27.625
1996-04-02,27.5
1996-04-03,26.875
1996-04-04,26.375
1996-04-08,26.0
1996-04-09,26.25
1996-04-10,26.0
1996-04-11,26.25
1996-04-12,26.5
1996-04-15,26.25
1996-04-16,26.5
1996-04-17,26.625
1996-04-18,26.875
1996-04-19,27.5
1996-04-22,27.5
1996-04-23,28.0
1996-04-24,28.125
1996-04-25,28.5
1996-04-26,27.875
1996-04-29,28.25
1996-04-30,27.875
1996-05-01,27.625
1996-05-02,27.25
1996-05-03,27.0
1996-05-06,27.5
1996-05-07,27.5
1996-05-08,27.625
1996-05-09,27.75
1996-05-10,27.625
1996-05-13,28.5
1996-05-14,28.25
1996-05-15,28.125
1996-05-16,27.75
1996-05-17,27.5
1996-05-20,28.375
1996-05-21,29.0
1996-05-22,29.0
1996-05-23,30.125
1996-05-24,29.625
1996-05-28,28.25
1996-05-29,28.125
1996-05-30,28.875
1996-05-31,30.25
1996-06-03,29.75
1996-06-04,29.75
1996-06-05,29.625
1996-06-06,29.25
1996-06-07,29.125
1996-06-10,29.5
1996-06-11,29.125
1996-06-12,29.125
1996-06-13,29.125
1996-06-14,28.875
1996-06-17,28.5
1996-06-18,29.75
1996-06-19,29.375
1996-06-20,28.625
1996-06-21,29.375
1996-06-24,28.0
1996-06-25,28.75
1996-06-26,28.125
1996-06-27,28.625
1996-06-28,29.125
1996-07-01,29.875
1996-07-02,30.875
1996-07-03,30.375
1996-07-05,30.25
1996-07-08,29.625
1996-07-09,29.625
1996-07-10,29.875
1996-07-11,30.125
1996-07-12,30.0
1996-07-15,29.25
1996-07-16,28.625
1996-07-17,28.875
1996-07-18,29.625
1996-07-19,29.125
1996-07-22,28.875
1996-07-23,28.375
1996-07-24,29.0
1996-07-25,28.75
1996-07-26,28.625
1996-07-29,28.375
1996-07-30,27.75
1996-07-31,28.5
1996-08-01,28.875
1996-08-02,29.25
1996-08-05,29.625
1996-08-06,29.125
1996-08-07,29.25
1996-08-08,29.0
1996-08-09,29.125
1996-08-12,29.125
1996-08-13,28.875
1996-08-14,29.375
1996-08-15,29.125
1996-08-16,29.75
1996-08-19,30.0
1996-08-20,29.5
1996-08-21,29.5
1996-08-22,29.5
1996-08-23,29.375
1996-08-26,29.375
1996-08-27,29.25
1996-08-28,29.25
1996-08-29,28.875
1996-08-30,28.25
1996-09-03,28.125
1996-09-04,28.375
1996-09-05,28.125
1996-09-06,28.25
1996-09-09,28.5
1996-09-10,28.625
1996-09-11,28.375
1996-09-12,29.25
1996-09-13,29.625
1996-09-16,30.25
1996-09-17,30.125
1996-09-18,30.625
1996-09-19,31.0
1996-09-20,30.25
1996-09-23,31.0
1996-09-24,31.125
1996-09-25,30.75
1996-09-26,30.5
1996-09-27,30.75
1996-09-30,32.0
1996-10-01,31.25
1996-10-02,31.125
1996-10-03,31.125
1996-10-04,31.5
1996-10-07,31.375
1996-10-08,30.125
1996-10-09,29.5
1996-10-10,29.25
1996-10-11,29.625
1996-10-14,29.875
1996-10-15,30.875
1996-10-16,30.875
1996-10-17,31.75
1996-10-18,32.5
1996-10-21,31.5
1996-10-22,30.25
1996-10-23,30.5
1996-10-24,30.0
1996-10-25,29.125
1996-10-28,29.125
1996-10-29,28.375
1996-10-30,28.25
1996-10-31,28.5
1996-11-01,28.5
1996-11-04,28.5
1996-11-05,28.375
1996-11-06,28.625
1996-11-07,28.25
1996-11-08,28.0
1996-11-11,28.375
1996-11-12,28.5
1996-11-13,28.375
1996-11-14,27.625
1996-11-15,25.25
1996-11-18,24.75
1996-11-19,25.0
1996-11-20,24.375
1996-11-21,24.375
1996-11-22,25.125
1996-11-25,24.75
1996-11-26,25.625
1996-11-27,25.75
1996-11-29,25.5
1996-12-02,25.125
1996-12-03,25.125
1996-12-04,24.625
1996-12-05,24.875
1996-12-06,24.75
1996-12-09,25.0
1996-12-10,25.0
1996-12-11,24.75
1996-12-12,24.625
1996-12-13,24.625
1996-12-16,24.875
1996-12-17,25.875
1996-12-18,26.75
1996-12-19,26.5
1996-12-20,26.25
1996-12-23,26.375
1996-12-24,26.125
1996-12-26,26.125
1996-12-27,26.625
1996-12-30,26.75
1996-12-31,27.0
1997-01-02,28.5
1997-01-03,29.0
1997-01-06,28.75
1997-01-07,29.25
