Date,TRW
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-21,
2016-11-22,
2016-11-23,
2016-11-25,
2016-11-28,
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-12,
2016-12-13,
2016-12-14,
2016-12-15,
2016-12-16,
2016-12-19,
2016-12-20,
2016-12-21,
2016-12-22,
2016-12-23,
2016-12-27,
2016-12-28,
2016-12-29,
2016-12-30,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-30,
2017-10-31,
2017-11-01,
2017-11-02,
2017-11-03,
2017-11-06,
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-24,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,99.980003
2018-03-15,99.980003
2018-03-16,102.32
2018-03-19,102.32
2018-03-20,102.32
2018-03-21,102.32
2018-03-22,108.970001
2018-03-23,110.120003
2018-03-26,110.120003
2018-03-27,110.120003
2018-03-28,107.209999
2018-03-29,107.529999
2018-04-02,107.529999
2018-04-03,107.529999
2018-04-04,107.529999
2018-04-05,107.529999
2018-04-06,107.529999
2018-04-09,101.190002
2018-04-10,100.260002
2018-04-11,100.260002
2018-04-12,99.809998
2018-04-13,99.809998
2018-04-16,102.900002
2018-04-17,102.910004
2018-04-18,102.910004
2018-04-19,102.400002
2018-04-20,102.400002
2018-04-23,102.400002
2018-04-24,100.120003
2018-04-25,98.699997
2018-04-26,100.08000200000001
2018-04-27,100.08000200000001
2018-04-30,100.08000200000001
2018-05-01,100.08000200000001
2018-05-02,100.08000200000001
2018-05-03,100.08000200000001
2018-05-04,100.08000200000001
2018-05-07,101.800003
2018-05-08,100.0
2018-05-09,100.0
2018-05-10,100.0
2018-05-11,97.0
2018-05-14,96.360001
2018-05-15,92.480003
2018-05-16,92.480003
2018-05-17,92.480003
2018-05-18,92.480003
2018-05-21,92.480003
2018-05-22,88.0
2018-05-23,88.0
2018-05-24,88.0
2018-05-25,88.0
2018-05-29,88.0
2018-05-30,88.0
2018-05-31,88.0
2018-06-01,83.370003
2018-06-04,84.5
2018-06-05,82.709999
2018-06-06,82.33000200000001
2018-06-07,84.099998
2018-06-08,84.099998
2018-06-11,84.949997
2018-06-12,84.949997
2018-06-13,84.949997
2018-06-14,84.949997
2018-06-15,82.0
2018-06-18,79.220001
2018-06-19,77.5
2018-06-20,80.230003
2018-06-21,80.230003
2018-06-22,81.029999
2018-06-25,81.029999
2018-06-26,81.029999
2018-06-27,76.209999
2018-06-28,75.5
2018-06-29,77.25
2018-07-02,77.25
2018-07-03,77.25
2018-07-05,78.519997
2018-07-06,78.519997
2018-07-09,78.519997
2018-07-10,76.16999799999999
2018-07-11,76.16999799999999
2018-07-12,76.16999799999999
2018-07-13,75.83000200000001
2018-07-16,73.110001
2018-07-17,73.110001
2018-07-18,75.0
2018-07-19,75.0
2018-07-20,75.0
2018-07-23,77.849998
2018-07-24,77.849998
2018-07-25,77.849998
2018-07-26,77.849998
2018-07-27,77.849998
2018-07-30,77.849998
2018-07-31,77.849998
2018-08-01,81.550003
2018-08-02,81.550003
2018-08-03,81.0
2018-08-06,81.129997
2018-08-07,81.5
2018-08-08,81.5
2018-08-09,81.5
2018-08-10,81.5
2018-08-13,79.629997
2018-08-14,81.910004
2018-08-15,79.58000200000001
2018-08-16,79.58000200000001
2018-08-17,79.58000200000001
2018-08-20,83.849998
2018-08-21,83.849998
2018-08-22,83.849998
2018-08-23,86.300003
2018-08-24,87.389999
2018-08-27,87.389999
2018-08-28,87.389999
2018-08-29,87.389999
2018-08-30,87.389999
2018-08-31,86.040001
2018-09-04,87.800003
2018-09-05,81.43
2018-09-06,81.779999
2018-09-07,82.82
2018-09-10,82.82
2018-09-11,83.540001
2018-09-12,80.0
2018-09-13,80.050003
2018-09-14,80.050003
2018-09-17,80.120003
2018-09-18,80.120003
2018-09-19,80.120003
2018-09-20,80.120003
2018-09-21,80.120003
2018-09-24,80.120003
2018-09-25,80.120003
2018-09-26,80.120003
2018-09-27,80.120003
2018-09-28,83.5
2018-10-01,82.660004
2018-10-02,83.0
2018-10-03,84.110001
2018-10-04,84.83000200000001
2018-10-05,83.349998
2018-10-08,81.349998
2018-10-09,81.25
2018-10-10,80.910004
2018-10-11,78.0
2018-10-12,81.68
2018-10-15,81.68
2018-10-16,82.0
2018-10-17,80.550003
2018-10-18,79.370003
2018-10-19,79.050003
2018-10-22,81.269997
2018-10-23,79.709999
2018-10-24,80.160004
2018-10-25,80.190002
2018-10-26,78.040001
2018-10-29,82.75
2018-10-30,81.5
2018-10-31,80.91999799999999
2018-11-01,81.739998
2018-11-02,81.66999799999999
2018-11-05,81.66999799999999
2018-11-06,80.18
2018-11-07,81.279999
2018-11-08,81.410004
2018-11-09,83.989998
2018-11-12,81.800003
2018-11-13,80.57
2018-11-14,80.410004
2018-11-15,80.410004
2018-11-16,81.629997
2018-11-19,83.769997
2018-11-20,81.760002
2018-11-21,81.760002
2018-11-23,85.339996
2018-11-26,87.66999799999999
2018-11-27,87.66999799999999
2018-11-28,90.599998
2018-11-29,88.91999799999999
2018-11-30,88.91999799999999
2018-12-03,88.18
2018-12-04,90.57
2018-12-06,90.57
2018-12-07,89.209999
2018-12-10,89.209999
2018-12-11,87.559998
2018-12-12,90.019997
2018-12-13,90.019997
2018-12-14,84.760002
2018-12-17,84.760002
2018-12-18,83.33000200000001
2018-12-19,84.32
2018-12-20,84.32
2018-12-21,84.32
2018-12-24,84.32
2018-12-26,84.32
2018-12-27,84.32
2018-12-28,84.32
2018-12-31,84.32
2019-01-02,84.209999
2019-01-03,84.209999
2019-01-04,84.209999
2019-01-07,88.870003
2019-01-08,88.870003
2019-01-09,88.870003
2019-01-10,91.0
2019-01-11,91.0
2019-01-14,91.0
2019-01-15,91.0
2019-01-16,89.08000200000001
2019-01-17,89.08000200000001
2019-01-18,89.08000200000001
2019-01-22,80.779999
2019-01-23,82.57
2019-01-24,82.900002
2019-01-25,82.900002
2019-01-28,80.959999
2019-01-29,80.959999
2019-01-30,80.959999
2019-01-31,80.959999
2019-02-01,81.16999799999999
2019-02-04,81.16999799999999
2019-02-05,81.16999799999999
2019-02-06,81.16999799999999
2019-02-07,75.050003
2019-02-08,74.07
2019-02-11,74.559998
2019-02-12,75.900002
2019-02-13,75.150002
2019-02-14,75.150002
2019-02-15,74.760002
2019-02-19,73.370003
2019-02-20,73.370003
2019-02-21,72.099998
2019-02-22,76.019997
2019-02-25,73.110001
2019-02-26,75.0
2019-02-27,75.0
2019-02-28,73.07
2019-03-01,73.07
2019-03-04,74.900002
2019-03-05,73.279999
2019-03-06,73.279999
2019-03-07,73.940002
2019-03-08,74.779999
2019-03-11,74.779999
2019-03-12,74.0
2019-03-13,71.400002
2019-03-14,70.620003
2019-03-15,69.629997
2019-03-18,70.980003
2019-03-19,69.800003
2019-03-20,69.800003
2019-03-21,69.800003
2019-03-22,66.279999
2019-03-25,66.199997
2019-03-26,66.199997
2019-03-27,66.199997
2019-03-28,66.199997
2019-03-29,69.389999
2019-04-01,71.82
2019-04-02,71.300003
2019-04-03,71.300003
2019-04-04,71.300003
2019-04-05,71.349998
2019-04-08,70.410004
2019-04-09,71.5
2019-04-10,73.5
2019-04-11,73.5
2019-04-12,70.910004
2019-04-15,70.910004
2019-04-16,71.5
2019-04-17,71.5
2019-04-18,74.980003
2019-04-22,74.980003
2019-04-23,73.730003
2019-04-24,73.730003
2019-04-25,73.730003
2019-04-26,73.730003
2019-04-29,73.730003
2019-04-30,73.730003
2019-05-01,73.730003
2019-05-02,73.730003
2019-05-03,77.5
2019-05-06,77.5
2019-05-07,76.099998
2019-05-08,
2019-05-09,73.660004
2019-05-10,73.660004
2019-05-13,73.529999
2019-05-14,73.529999
2019-05-15,71.940002
2019-05-16,71.739998
2019-05-17,71.739998
2019-05-20,70.879997
2019-05-21,70.879997
2019-05-22,70.879997
2019-05-23,70.879997
2019-05-24,70.879997
2019-05-28,67.639999
2019-05-29,67.639999
2019-05-30,67.639999
2019-05-31,67.639999
2019-06-03,67.639999
2019-06-04,67.639999
2019-06-05,67.639999
2019-06-06,67.639999
2019-06-07,72.139999
2019-06-10,
2019-06-11,
2019-06-12,72.139999
2019-06-13,
2019-06-14,72.08000200000001
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,72.08000200000001
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,66.139999
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,63.75
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,62.52
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,58.91
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,56.5
2019-08-15,
2019-08-16,
2019-08-19,57.900002
2019-08-20,57.900002
2019-08-21,53.419998
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,55.240002000000004
2019-09-09,
2019-09-10,
2019-09-11,55.279999
2019-09-12,56.400002
2019-09-13,
2019-09-16,
2019-09-17,56.400002
2019-09-18,
2019-09-19,57.09
2019-09-20,
2019-09-23,
2019-09-24,54.889998999999996
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,55.0
2019-10-04,53.599998
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,52.560001
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,49.84
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,53.450001
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,52.720001
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,50.25
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,46.139998999999996
2019-12-12,46.139998999999996
2019-12-13,
2019-12-16,46.139998999999996
2019-12-17,
2019-12-18,
2019-12-19,50.41
2019-12-20,50.41
2019-12-23,50.41
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,47.049999
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,48.099998
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,44.529999
2020-01-24,45.25
2020-01-27,45.25
2020-01-28,45.25
2020-01-29,45.25
2020-01-30,44.720001
2020-01-31,44.720001
2020-02-03,43.299999
2020-02-04,43.299999
2020-02-05,43.299999
2020-02-06,43.810001
2020-02-07,43.810001
2020-02-10,42.130001
2020-02-11,42.34
2020-02-12,42.34
2020-02-13,42.34
2020-02-14,42.34
2020-02-18,43.759997999999996
2020-02-19,44.07
2020-02-20,45.639998999999996
2020-02-21,45.639998999999996
2020-02-24,45.639998999999996
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,29.15
2020-03-31,29.15
2020-04-01,25.200001
2020-04-02,25.200001
2020-04-03,25.1
2020-04-06,27.15
2020-04-07,28.629998999999998
2020-04-08,27.75
2020-04-09,30.84
2020-04-13,30.84
2020-04-14,30.84
2020-04-15,32.889998999999996
2020-04-16,31.700001
2020-04-17,31.700001
2020-04-20,31.4
2020-04-21,31.4
2020-04-22,30.51
2020-04-23,30.51
2020-04-24,30.51
2020-04-27,30.51
2020-04-28,30.75
2020-04-29,31.02
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
