Date,CBT
1980-11-05,7.875
1980-11-06,7.625
1980-11-07,7.46875
1980-11-10,7.4375
1980-11-11,7.34375
1980-11-12,7.34375
1980-11-13,7.9375
1980-11-14,7.875
1980-11-17,7.875
1980-11-18,7.78125
1980-11-19,7.75
1980-11-20,7.65625
1980-11-21,7.5
1980-11-24,7.5
1980-11-25,7.8125
1980-11-26,8.21875
1980-11-28,8.5625
1980-12-01,8.78125
1980-12-02,8.6875
1980-12-03,8.78125
1980-12-04,8.78125
1980-12-05,8.53125
1980-12-08,8.0625
1980-12-09,7.96875
1980-12-10,7.875
1980-12-11,7.46875
1980-12-12,7.625
1980-12-15,7.625
1980-12-16,7.75
1980-12-17,7.875
1980-12-18,7.96875
1980-12-19,8.125
1980-12-22,8.375
1980-12-23,8.375
1980-12-24,8.09375
1980-12-26,7.90625
1980-12-29,7.625
1980-12-30,7.625
1980-12-31,7.625
1981-01-02,7.59375
1981-01-05,7.625
1981-01-06,7.59375
1981-01-07,7.125
1981-01-08,7.0
1981-01-09,7.1875
1981-01-12,7.1875
1981-01-13,6.875
1981-01-14,7.28125
1981-01-15,7.46875
1981-01-16,7.34375
1981-01-19,7.28125
1981-01-20,7.28125
1981-01-21,7.03125
1981-01-22,7.1875
1981-01-23,7.21875
1981-01-26,7.125
1981-01-27,7.3125
1981-01-28,7.125
1981-01-29,7.15625
1981-01-30,6.875
1981-02-02,6.5
1981-02-03,6.6875
1981-02-04,6.96875
1981-02-05,7.3125
1981-02-06,7.21875
1981-02-09,7.34375
1981-02-10,7.28125
1981-02-11,7.125
1981-02-12,7.0
1981-02-13,6.96875
1981-02-17,7.0
1981-02-18,7.21875
1981-02-19,7.03125
1981-02-20,6.71875
1981-02-23,6.90625
1981-02-24,6.90625
1981-02-25,7.0
1981-02-26,7.15625
1981-02-27,7.1875
1981-03-02,7.1875
1981-03-03,7.3125
1981-03-04,7.34375
1981-03-05,7.15625
1981-03-06,7.1875
1981-03-09,7.125
1981-03-10,7.03125
1981-03-11,7.03125
1981-03-12,7.1875
1981-03-13,7.46875
1981-03-16,7.75
1981-03-17,7.75
1981-03-18,8.03125
1981-03-19,7.90625
1981-03-20,7.78125
1981-03-23,7.8125
1981-03-24,7.78125
1981-03-25,7.90625
1981-03-26,8.09375
1981-03-27,8.53125
1981-03-30,8.6875
1981-03-31,8.53125
1981-04-01,8.53125
1981-04-02,8.25
1981-04-03,8.25
1981-04-06,8.0625
1981-04-07,7.9375
1981-04-08,7.875
1981-04-09,7.78125
1981-04-10,7.65625
1981-04-13,7.5625
1981-04-14,7.625
1981-04-15,7.78125
1981-04-16,7.78125
1981-04-20,7.65625
1981-04-21,7.46875
1981-04-22,7.34375
1981-04-23,7.4375
1981-04-24,7.3125
1981-04-27,7.125
1981-04-28,7.03125
1981-04-29,7.125
1981-04-30,7.28125
1981-05-01,7.21875
1981-05-04,7.1875
1981-05-05,7.15625
1981-05-06,7.03125
1981-05-07,7.1875
1981-05-08,7.28125
1981-05-11,7.03125
1981-05-12,7.1875
1981-05-13,6.96875
1981-05-14,6.71875
1981-05-15,6.875
1981-05-18,6.96875
1981-05-19,6.875
1981-05-20,6.875
1981-05-21,6.84375
1981-05-22,6.8125
1981-05-26,6.8125
1981-05-27,6.84375
1981-05-28,6.875
1981-05-29,6.875
1981-06-01,6.90625
1981-06-02,6.84375
1981-06-03,6.75
1981-06-04,6.875
1981-06-05,6.59375
1981-06-08,6.71875
1981-06-09,7.0625
1981-06-10,7.03125
1981-06-11,7.125
1981-06-12,7.0
1981-06-15,7.03125
1981-06-16,6.96875
1981-06-17,7.34375
1981-06-18,7.4375
1981-06-19,7.4375
1981-06-22,7.625
1981-06-23,7.625
1981-06-24,7.5625
1981-06-25,7.71875
1981-06-26,7.75
1981-06-29,7.625
1981-06-30,7.625
1981-07-01,7.59375
1981-07-02,7.59375
1981-07-06,7.28125
1981-07-07,7.03125
1981-07-08,7.125
1981-07-09,7.28125
1981-07-10,7.46875
1981-07-13,7.75
1981-07-14,8.0625
1981-07-15,8.25
1981-07-16,8.25
1981-07-17,8.25
1981-07-20,8.125
1981-07-21,7.78125
1981-07-22,7.71875
1981-07-23,8.09375
1981-07-24,8.0625
1981-07-27,8.28125
1981-07-28,8.1875
1981-07-29,8.09375
1981-07-30,8.25
1981-07-31,8.40625
1981-08-03,8.1875
1981-08-04,8.125
1981-08-05,8.25
1981-08-06,8.5625
1981-08-07,8.53125
1981-08-10,8.5
1981-08-11,8.65625
1981-08-12,8.53125
1981-08-13,8.5
1981-08-14,8.40625
1981-08-17,8.40625
1981-08-18,8.125
1981-08-19,7.9375
1981-08-20,7.9375
1981-08-21,7.875
1981-08-24,7.75
1981-08-25,7.46875
1981-08-26,7.59375
1981-08-27,7.5
1981-08-28,7.59375
1981-08-31,7.5625
1981-09-01,7.46875
1981-09-02,7.46875
1981-09-03,7.28125
1981-09-04,6.96875
1981-09-08,6.53125
1981-09-09,6.71875
1981-09-10,6.84375
1981-09-11,6.90625
1981-09-14,6.96875
1981-09-15,7.03125
1981-09-16,7.0
1981-09-17,7.03125
1981-09-18,6.875
1981-09-21,6.8125
1981-09-22,6.71875
1981-09-23,6.5625
1981-09-24,6.4375
1981-09-25,6.21875
1981-09-28,6.125
1981-09-29,6.28125
1981-09-30,6.4375
1981-10-01,6.4375
1981-10-02,6.8125
1981-10-05,6.875
1981-10-06,6.875
1981-10-07,6.875
1981-10-08,6.875
1981-10-09,6.84375
1981-10-12,6.875
1981-10-13,6.75
1981-10-14,6.65625
1981-10-15,6.59375
1981-10-16,6.5625
1981-10-19,6.53125
1981-10-20,6.5
1981-10-21,6.4375
1981-10-22,6.4375
1981-10-23,6.375
1981-10-26,6.4375
1981-10-27,6.5
1981-10-28,6.75
1981-10-29,6.71875
1981-10-30,6.84375
1981-11-02,7.0
1981-11-03,6.90625
1981-11-04,7.0
1981-11-05,7.0
1981-11-06,6.90625
1981-11-09,7.0
1981-11-10,6.96875
1981-11-11,7.03125
1981-11-12,7.0625
1981-11-13,7.0625
1981-11-16,6.90625
1981-11-17,6.875
1981-11-18,6.84375
1981-11-19,6.75
1981-11-20,6.875
1981-11-23,6.71875
1981-11-24,6.84375
1981-11-25,6.875
1981-11-27,6.8125
1981-11-30,6.875
1981-12-01,6.8125
1981-12-02,6.8125
1981-12-03,6.84375
1981-12-04,6.75
1981-12-07,6.8125
1981-12-08,6.90625
1981-12-09,6.90625
1981-12-10,6.875
1981-12-11,6.875
1981-12-14,6.84375
1981-12-15,6.75
1981-12-16,6.71875
1981-12-17,6.71875
1981-12-18,6.75
1981-12-21,6.8125
1981-12-22,6.65625
1981-12-23,6.65625
1981-12-24,6.5625
1981-12-28,6.5625
1981-12-29,6.40625
1981-12-30,6.21875
1981-12-31,6.21875
1982-01-04,6.21875
1982-01-05,6.15625
1982-01-06,6.15625
1982-01-07,6.15625
1982-01-08,6.15625
1982-01-11,5.96875
1982-01-12,5.8125
1982-01-13,5.59375
1982-01-14,5.5
1982-01-15,5.34375
1982-01-18,5.375
1982-01-19,5.375
1982-01-20,5.1875
1982-01-21,5.15625
1982-01-22,5.0625
1982-01-25,5.03125
1982-01-26,5.0625
1982-01-27,5.0625
1982-01-28,5.34375
1982-01-29,5.5
1982-02-01,5.5
1982-02-02,5.59375
1982-02-03,5.65625
1982-02-04,5.625
1982-02-05,5.8125
1982-02-08,5.625
1982-02-09,5.65625
1982-02-10,5.75
1982-02-11,5.78125
1982-02-12,5.75
1982-02-16,5.78125
1982-02-17,5.8125
1982-02-18,5.75
1982-02-19,5.5
1982-02-22,5.375
1982-02-23,5.21875
1982-02-24,5.375
1982-02-25,5.4375
1982-02-26,5.4375
1982-03-01,5.375
1982-03-02,5.21875
1982-03-03,5.15625
1982-03-04,5.0625
1982-03-05,4.9375
1982-03-08,4.53125
1982-03-09,4.40625
1982-03-10,4.46875
1982-03-11,4.40625
1982-03-12,4.34375
1982-03-15,4.34375
1982-03-16,4.3125
1982-03-17,4.03125
1982-03-18,4.34375
1982-03-19,4.40625
1982-03-22,4.59375
1982-03-23,4.75
1982-03-24,4.875
1982-03-25,4.875
1982-03-26,4.84375
1982-03-29,4.90625
1982-03-30,4.90625
1982-03-31,4.90625
1982-04-01,5.1875
1982-04-02,5.21875
1982-04-05,5.0625
1982-04-06,5.0625
1982-04-07,5.0625
1982-04-08,5.0625
1982-04-12,5.0625
1982-04-13,4.9375
1982-04-14,5.09375
1982-04-15,5.375
1982-04-16,5.75
1982-04-19,5.46875
1982-04-20,5.3125
1982-04-21,5.34375
1982-04-22,5.4375
1982-04-23,5.5
1982-04-26,5.5
1982-04-27,5.625
1982-04-28,5.59375
1982-04-29,5.5
1982-04-30,5.53125
1982-05-03,5.53125
1982-05-04,5.5
1982-05-05,5.53125
1982-05-06,5.65625
1982-05-07,5.8125
1982-05-10,5.6875
1982-05-11,5.65625
1982-05-12,5.625
1982-05-13,5.53125
1982-05-14,5.5
1982-05-17,5.5
1982-05-18,5.5
1982-05-19,5.375
1982-05-20,5.25
1982-05-21,5.3125
1982-05-24,5.375
1982-05-25,5.25
1982-05-26,5.21875
1982-05-27,5.09375
1982-05-28,5.0625
1982-06-01,5.0625
1982-06-02,5.0625
1982-06-03,5.0
1982-06-04,5.0
1982-06-07,5.0
1982-06-08,4.90625
1982-06-09,4.9375
1982-06-10,4.9375
1982-06-11,5.03125
1982-06-14,5.0625
1982-06-15,5.03125
1982-06-16,5.0625
1982-06-17,5.0
1982-06-18,4.9375
1982-06-21,4.9375
1982-06-22,5.21875
1982-06-23,5.3125
1982-06-24,5.21875
1982-06-25,5.1875
1982-06-28,5.09375
1982-06-29,4.90625
1982-06-30,4.9375
1982-07-01,5.0
1982-07-02,4.90625
1982-07-06,4.90625
1982-07-07,4.75
1982-07-08,4.625
1982-07-09,4.6875
1982-07-12,4.78125
1982-07-13,4.625
1982-07-14,4.59375
1982-07-15,4.59375
1982-07-16,4.59375
1982-07-19,4.5625
1982-07-20,4.46875
1982-07-21,4.4375
1982-07-22,4.40625
1982-07-23,4.3125
1982-07-26,4.28125
1982-07-27,4.28125
1982-07-28,4.1875
1982-07-29,4.1875
1982-07-30,4.15625
1982-08-02,4.1875
1982-08-03,4.25
1982-08-04,4.28125
1982-08-05,4.15625
1982-08-06,4.15625
1982-08-09,4.15625
1982-08-10,4.09375
1982-08-11,4.125
1982-08-12,4.125
