Date,PAA
1998-11-18,10.0
1998-11-19,10.0
1998-11-20,10.0
1998-11-23,10.0
1998-11-24,10.0
1998-11-25,10.03125
1998-11-27,10.0
1998-11-30,10.0
1998-12-01,10.0
1998-12-02,10.0
1998-12-03,9.875
1998-12-04,9.8125
1998-12-07,9.6875
1998-12-08,9.75
1998-12-09,9.75
1998-12-10,9.75
1998-12-11,9.6875
1998-12-14,9.625
1998-12-15,9.5
1998-12-16,9.3125
1998-12-17,9.40625
1998-12-18,9.25
1998-12-21,9.0625
1998-12-22,8.9375
1998-12-23,8.65625
1998-12-24,8.6875
1998-12-28,8.46875
1998-12-29,8.375
1998-12-30,8.5625
1998-12-31,8.65625
1999-01-04,8.96875
1999-01-05,9.1875
1999-01-06,8.9375
1999-01-07,8.875
1999-01-08,8.9375
1999-01-11,8.84375
1999-01-12,8.875
1999-01-13,8.8125
1999-01-14,8.625
1999-01-15,8.71875
1999-01-19,8.875
1999-01-20,8.78125
1999-01-21,8.8125
1999-01-22,8.78125
1999-01-25,8.65625
1999-01-26,8.59375
1999-01-27,8.65625
1999-01-28,8.5
1999-01-29,8.65625
1999-02-01,8.5625
1999-02-02,8.375
1999-02-03,8.4375
1999-02-04,8.59375
1999-02-05,8.46875
1999-02-08,8.59375
1999-02-09,8.375
1999-02-10,8.15625
1999-02-11,8.3125
1999-02-12,8.25
1999-02-16,8.25
1999-02-17,8.25
1999-02-18,8.0
1999-02-19,8.25
1999-02-22,8.46875
1999-02-23,8.375
1999-02-24,8.5625
1999-02-25,8.53125
1999-02-26,8.5625
1999-03-01,8.46875
1999-03-02,8.53125
1999-03-03,8.65625
1999-03-04,8.75
1999-03-05,8.78125
1999-03-08,8.9375
1999-03-09,8.71875
1999-03-10,8.71875
1999-03-11,8.71875
1999-03-12,8.6875
1999-03-15,8.65625
1999-03-16,8.625
1999-03-17,8.5
1999-03-18,8.5
1999-03-19,8.78125
1999-03-22,8.5625
1999-03-23,8.5
1999-03-24,8.40625
1999-03-25,8.28125
1999-03-26,8.5625
1999-03-29,8.71875
1999-03-30,8.8125
1999-03-31,8.9375
1999-04-01,8.75
1999-04-05,8.6875
1999-04-06,8.375
1999-04-07,8.375
1999-04-08,8.34375
1999-04-09,8.40625
1999-04-12,8.4375
1999-04-13,8.4375
1999-04-14,8.8125
1999-04-15,8.625
1999-04-16,8.5625
1999-04-19,8.75
1999-04-20,9.21875
1999-04-21,9.375
1999-04-22,9.125
1999-04-23,9.21875
1999-04-26,9.15625
1999-04-27,9.1875
1999-04-28,9.125
1999-04-29,9.125
1999-04-30,9.09375
1999-05-03,9.125
1999-05-04,9.28125
1999-05-05,9.3125
1999-05-06,9.46875
1999-05-07,9.5625
1999-05-10,9.5625
1999-05-11,9.375
1999-05-12,9.46875
1999-05-13,9.4375
1999-05-14,9.46875
1999-05-17,9.4375
1999-05-18,9.375
1999-05-19,9.09375
1999-05-20,9.09375
1999-05-21,9.0
1999-05-24,8.8125
1999-05-25,9.09375
1999-05-26,9.09375
1999-05-27,9.1875
1999-05-28,9.40625
1999-06-01,9.3125
1999-06-02,9.0
1999-06-03,9.15625
1999-06-04,9.15625
1999-06-07,9.09375
1999-06-08,9.0625
1999-06-09,9.09375
1999-06-10,9.1875
1999-06-11,9.375
1999-06-14,9.25
1999-06-15,9.25
1999-06-16,9.34375
1999-06-17,9.375
1999-06-18,9.4375
1999-06-21,9.59375
1999-06-22,9.59375
1999-06-23,9.5
1999-06-24,9.1875
1999-06-25,9.40625
1999-06-28,9.375
1999-06-29,9.25
1999-06-30,9.28125
1999-07-01,9.3125
1999-07-02,9.4375
1999-07-06,9.4375
1999-07-07,9.46875
1999-07-08,9.46875
1999-07-09,9.4375
1999-07-12,9.375
1999-07-13,9.40625
1999-07-14,9.40625
1999-07-15,9.53125
1999-07-16,9.5
1999-07-19,9.53125
1999-07-20,9.4375
