Date,PCZ
2011-09-19,24.0
2011-09-20,25.0
2011-09-21,27.0
2011-09-22,25.0
2011-09-23,25.0
2011-09-26,33.0
2011-09-27,34.0
2011-09-28,34.0
2011-09-29,32.0
2011-09-30,33.0
2011-10-03,32.0
2011-10-04,33.0
2011-10-05,33.0
2011-10-06,32.0
2011-10-07,37.0
2011-10-10,40.0
2011-10-11,39.0
2011-10-12,32.0
2011-10-13,34.0
2011-10-14,36.0
2011-10-17,34.0
2011-10-18,31.0
2011-10-19,31.0
2011-10-20,32.0
2011-10-21,31.0
2011-10-24,32.0
2011-10-25,32.0
2011-10-26,32.0
2011-10-27,32.0
2011-10-28,27.0
2011-10-31,26.0
2011-11-01,
2011-11-02,26.0
2011-11-03,26.0
2011-11-04,24.0
2011-11-07,25.0
2011-11-08,25.0
2011-11-09,25.0
2011-11-10,25.0
2011-11-11,
2011-11-14,26.0
2011-11-15,25.0
2011-11-16,27.0
2011-11-17,29.0
2011-11-18,30.0
2011-11-21,26.0
2011-11-22,29.0
2011-11-23,27.0
2011-11-25,28.0
2011-11-28,26.0
2011-11-29,26.0
2011-11-30,24.0
2011-12-01,25.0
2011-12-02,22.0
2011-12-05,24.0
2011-12-06,25.0
2011-12-07,23.0
2011-12-08,
2011-12-09,26.0
2011-12-12,27.0
2011-12-13,27.0
2011-12-14,27.0
2011-12-15,27.0
2011-12-16,25.0
2011-12-19,27.0
2011-12-20,27.0
2011-12-21,27.0
2011-12-22,27.0
2011-12-23,27.0
2011-12-27,27.0
2011-12-28,27.0
2011-12-29,27.0
2011-12-30,27.0
2012-01-03,26.0
2012-01-04,26.0
2012-01-05,26.0
2012-01-06,26.0
2012-01-09,26.0
2012-01-10,26.0
2012-01-11,25.0
2012-01-12,25.0
2012-01-13,25.0
2012-01-17,24.0
2012-01-18,24.0
2012-01-19,24.0
2012-01-20,24.0
2012-01-23,24.0
2012-01-24,21.0
2012-01-25,23.0
2012-01-26,23.0
2012-01-27,21.0
2012-01-30,21.0
2012-01-31,22.0
2012-02-01,22.0
2012-02-02,21.0
2012-02-03,20.0
2012-02-06,20.0
2012-02-07,25.0
2012-02-08,29.0
2012-02-09,30.0
2012-02-10,30.0
2012-02-13,27.0
2012-02-14,26.0
2012-02-15,30.0
2012-02-16,30.0
2012-02-17,28.0
2012-02-21,27.0
2012-02-22,26.0
2012-02-23,26.0
2012-02-24,24.0
2012-02-27,23.0
2012-02-28,22.0
2012-02-29,22.0
2012-03-01,22.0
2012-03-02,22.0
2012-03-05,23.0
2012-03-06,22.0
2012-03-07,22.0
2012-03-08,22.0
2012-03-09,23.0
2012-03-12,21.0
2012-03-13,22.0
2012-03-14,21.0
2012-03-15,21.0
2012-03-16,23.0
2012-03-19,23.0
2012-03-20,24.0
2012-03-21,22.0
2012-03-22,20.0
2012-03-23,21.0
2012-03-26,21.0
2012-03-27,21.0
2012-03-28,21.0
2012-03-29,21.0
2012-03-30,21.0
2012-04-02,21.0
2012-04-03,22.0
2012-04-04,22.0
2012-04-05,21.0
2012-04-09,21.0
2012-04-10,23.0
2012-04-11,20.0
2012-04-12,20.0
2012-04-13,19.0
2012-04-16,19.0
2012-04-17,18.0
2012-04-18,18.0
2012-04-19,18.0
2012-04-20,18.0
2012-04-23,18.0
2012-04-24,18.0
2012-04-25,18.0
2012-04-26,17.0
2012-04-27,18.0
2012-04-30,20.0
2012-05-01,18.0
2012-05-02,17.0
2012-05-03,17.0
2012-05-04,18.0
2012-05-07,18.0
2012-05-08,18.0
2012-05-09,17.0
2012-05-10,17.0
2012-05-11,17.0
2012-05-14,19.0
2012-05-15,19.0
2012-05-16,19.0
2012-05-17,19.0
2012-05-18,19.0
2012-05-21,20.0
2012-05-22,21.0
2012-05-23,20.0
2012-05-24,20.0
2012-05-25,20.0
2012-05-29,20.0
2012-05-30,20.0
2012-05-31,20.0
2012-06-01,20.0
2012-06-04,20.0
2012-06-05,20.0
2012-06-06,20.0
2012-06-07,20.0
2012-06-08,20.0
2012-06-11,20.0
2012-06-12,19.99
2012-06-13,19.4
2012-06-14,19.4
2012-06-15,18.6
2012-06-18,18.35
2012-06-19,17.5
2012-06-20,17.5
2012-06-21,17.200001
2012-06-22,17.35
2012-06-25,16.84
2012-06-26,17.0
2012-06-27,16.5
2012-06-28,14.1
2012-06-29,14.1
2012-07-02,14.0
2012-07-03,14.0
2012-07-05,14.1
2012-07-06,14.0
2012-07-09,14.1
2012-07-10,14.0
2012-07-11,14.0
2012-07-12,14.09
2012-07-13,14.09
2012-07-16,14.09
2012-07-17,14.2
2012-07-18,14.2
2012-07-19,14.4
2012-07-20,14.1
2012-07-23,14.5
2012-07-24,14.5
2012-07-25,14.5
2012-07-26,14.5
2012-07-27,17.0
2012-07-30,20.0
2012-07-31,23.799999
2012-08-01,24.0
2012-08-02,23.9
2012-08-03,23.9
2012-08-06,22.0
2012-08-07,22.0
2012-08-08,21.9
2012-08-09,19.58
2012-08-10,19.58
2012-08-13,19.58
2012-08-14,19.6
2012-08-15,19.6
2012-08-16,19.6
2012-08-17,19.700001
2012-08-20,19.700001
2012-08-21,19.6
2012-08-22,19.6
2012-08-23,19.6
2012-08-24,18.200001
2012-08-27,18.299999
2012-08-28,18.299999
2012-08-29,18.299999
2012-08-30,18.299999
2012-08-31,18.299999
2012-09-04,18.290001
2012-09-05,18.290001
2012-09-06,18.290001
2012-09-07,17.700001
2012-09-10,17.77
2012-09-11,17.0
2012-09-12,16.5
2012-09-13,15.7
2012-09-14,15.7
2012-09-17,15.7
2012-09-18,18.84
2012-09-19,22.6
2012-09-20,22.5
2012-09-21,26.0
2012-09-24,24.5
2012-09-25,23.5
2012-09-26,23.5
2012-09-27,24.5
2012-09-28,24.700001
2012-10-01,25.0
2012-10-02,24.0
2012-10-03,24.0
2012-10-04,23.0
2012-10-05,23.5
2012-10-08,22.450001
2012-10-09,22.6
2012-10-10,22.6
2012-10-11,22.6
2012-10-12,22.6
2012-10-15,22.65
2012-10-16,22.15
2012-10-17,22.299999
2012-10-18,22.700001
2012-10-19,22.0
2012-10-22,22.6
2012-10-23,22.6
2012-10-24,22.299999
2012-10-25,26.5
2012-10-26,27.0
2012-10-31,32.099998
2012-11-01,32.099998
2012-11-02,32.099998
2012-11-05,30.82
2012-11-06,33.77
2012-11-07,40.0
2012-11-08,40.0
2012-11-09,33.5
2012-11-12,40.0
2012-11-13,31.33
2012-11-14,31.33
2012-11-15,31.790001
2012-11-16,32.0
2012-11-19,32.0
2012-11-20,32.0
2012-11-21,32.0
2012-11-23,32.0
2012-11-26,29.0
2012-11-27,30.0
2012-11-28,30.0
2012-11-29,30.0
2012-11-30,30.0
2012-12-03,28.950001
2012-12-04,29.0
2012-12-05,26.0
2012-12-06,26.0
2012-12-07,26.0
2012-12-10,29.0
2012-12-11,29.0
2012-12-12,33.400002
2012-12-13,35.0
2012-12-14,35.0
2012-12-17,35.0
2012-12-18,40.0
2012-12-19,39.990002000000004
2012-12-20,46.5
2012-12-21,46.5
2012-12-24,46.5
2012-12-26,46.5
2012-12-27,52.0
2012-12-28,49.919998
2012-12-31,49.919998
2013-01-02,49.919998
2013-01-03,47.93
2013-01-04,46.02
2013-01-07,46.02
2013-01-08,46.02
2013-01-09,44.18
2013-01-10,44.18
2013-01-11,44.16
2013-01-14,44.0
2013-01-15,44.0
2013-01-16,44.0
2013-01-17,43.900002
2013-01-18,43.900002
2013-01-22,38.0
2013-01-23,42.599998
2013-01-24,44.0
2013-01-25,50.0
2013-01-28,50.0
2013-01-29,50.0
2013-01-30,50.5
2013-01-31,
2013-02-01,50.5
2013-02-04,50.5
2013-02-05,48.48
2013-02-06,45.580002
2013-02-07,45.580002
2013-02-08,45.580002
2013-02-11,45.580002
2013-02-12,45.580002
2013-02-13,45.0
2013-02-14,45.0
2013-02-15,45.0
2013-02-19,38.0
2013-02-20,37.720001
2013-02-21,37.720001
2013-02-22,33.580002
2013-02-25,33.580002
2013-02-26,34.25
2013-02-27,37.0
2013-02-28,34.0
2013-03-01,32.0
2013-03-04,31.870001000000002
2013-03-05,31.0
2013-03-06,34.0
2013-03-07,34.0
2013-03-08,37.5
2013-03-11,44.57
2013-03-12,37.5
2013-03-13,37.5
2013-03-14,37.5
2013-03-15,37.5
2013-03-18,37.5
2013-03-19,37.5
2013-03-20,37.5
2013-03-21,37.5
2013-03-22,37.5
2013-03-25,37.5
2013-03-26,37.5
2013-03-27,37.5
2013-03-28,37.5
2013-04-01,37.5
2013-04-02,37.5
2013-04-03,37.5
2013-04-04,37.5
2013-04-05,37.5
2013-04-08,37.5
2013-04-09,37.5
2013-04-10,37.5
2013-04-11,37.5
2013-04-12,37.5
2013-04-15,37.5
2013-04-16,37.5
2013-04-17,37.5
2013-04-18,37.5
2013-04-19,37.5
2013-04-22,37.5
2013-04-23,37.5
2013-04-24,37.5
2013-04-25,37.5
2013-04-26,37.5
2013-04-29,37.5
2013-04-30,37.5
2013-05-01,37.5
2013-05-02,37.5
2013-05-03,37.5
2013-05-06,37.5
2013-05-07,37.5
2013-05-08,37.5
2013-05-09,37.5
2013-05-10,37.5
2013-05-13,37.5
2013-05-14,37.5
2013-05-15,37.5
2013-05-16,37.5
2013-05-17,37.5
2013-05-20,37.5
2013-05-21,37.5
2013-05-22,37.5
2013-05-23,37.5
2013-05-24,37.5
2013-05-28,37.5
2013-05-29,37.5
2013-05-30,37.5
2013-05-31,37.5
2013-06-03,37.5
2013-06-04,37.5
2013-06-05,37.5
2013-06-06,37.5
2013-06-07,37.5
2013-06-10,37.5
2013-06-11,37.5
2013-06-12,37.5
2013-06-13,37.5
2013-06-14,37.5
2013-06-17,37.5
2013-06-18,37.5
2013-06-19,37.5
2013-06-20,37.5
2013-06-21,35.0
2013-06-24,37.5
2013-06-25,37.5
2013-06-26,37.5
2013-06-27,37.5
2013-06-28,37.5
2013-07-01,37.5
2013-07-02,37.5
2013-07-03,37.5
2013-07-05,37.5
2013-07-08,37.5
2013-07-09,37.5
2013-07-10,37.5
2013-07-11,37.5
2013-07-12,37.5
2013-07-15,37.5
2013-07-16,37.5
2013-07-17,37.5
2013-07-18,37.5
2013-07-19,37.5
2013-07-22,37.5
2013-07-23,37.5
2013-07-24,37.5
2013-07-25,37.5
2013-07-26,37.5
2013-07-29,37.5
2013-07-30,37.5
2013-07-31,37.5
2013-08-01,37.5
2013-08-02,37.5
2013-08-05,37.5
2013-08-06,37.5
2013-08-07,37.5
2013-08-08,37.5
2013-08-09,37.5
2013-08-12,37.5
2013-08-13,37.5
2013-08-14,37.5
2013-08-15,37.5
