Date,ANF
1996-09-26,11.5625
1996-09-27,11.5
1996-09-30,12.25
1996-10-01,12.6875
1996-10-02,12.625
1996-10-03,11.875
1996-10-04,11.1875
1996-10-07,11.5625
1996-10-08,11.5625
1996-10-09,11.5
1996-10-10,11.5625
1996-10-11,11.375
1996-10-14,11.9375
1996-10-15,12.3125
1996-10-16,12.25
1996-10-17,13.125
1996-10-18,13.0
1996-10-21,12.8125
1996-10-22,12.0
1996-10-23,11.625
1996-10-24,11.6875
1996-10-25,11.9375
1996-10-28,11.3125
1996-10-29,11.375
1996-10-30,11.125
1996-10-31,11.0
1996-11-01,10.875
1996-11-04,10.875
1996-11-05,11.375
1996-11-06,11.1875
1996-11-07,11.875
1996-11-08,11.8125
1996-11-11,11.75
1996-11-12,11.3125
1996-11-13,11.125
1996-11-14,10.625
1996-11-15,10.5625
1996-11-18,10.75
1996-11-19,10.4375
1996-11-20,9.8125
1996-11-21,9.1875
1996-11-22,9.4375
1996-11-25,9.3125
1996-11-26,9.1875
1996-11-27,9.1875
1996-11-29,9.1875
1996-12-02,10.125
1996-12-03,10.0
1996-12-04,9.75
1996-12-05,9.875
1996-12-06,9.8125
1996-12-09,9.9375
1996-12-10,9.75
1996-12-11,9.625
1996-12-12,9.25
1996-12-13,9.3125
1996-12-16,9.0
1996-12-17,8.5625
1996-12-18,8.375
1996-12-19,8.0625
1996-12-20,8.25
1996-12-23,8.3125
1996-12-24,8.875
1996-12-26,8.6875
1996-12-27,8.375
1996-12-30,8.1875
1996-12-31,8.25
1997-01-02,8.1875
1997-01-03,8.1875
1997-01-06,6.75
1997-01-07,6.5
1997-01-08,6.3125
1997-01-09,7.125
1997-01-10,8.0625
1997-01-13,8.0625
1997-01-14,7.6875
1997-01-15,7.4375
1997-01-16,7.5625
1997-01-17,7.875
1997-01-20,7.875
1997-01-21,7.8125
1997-01-22,7.6875
1997-01-23,7.5
1997-01-24,7.5
1997-01-27,7.25
1997-01-28,7.125
1997-01-29,7.125
1997-01-30,7.0625
1997-01-31,6.875
