Date,MTG
1991-08-07,7.09375
1991-08-08,7.15625
1991-08-09,7.15625
1991-08-12,7.3125
1991-08-13,7.28125
1991-08-14,7.25
1991-08-15,7.375
1991-08-16,7.1875
1991-08-19,6.90625
1991-08-20,6.78125
1991-08-21,7.25
1991-08-22,7.1875
1991-08-23,7.1875
1991-08-26,7.3125
1991-08-27,7.59375
1991-08-28,8.125
1991-08-29,8.375
1991-08-30,8.4375
1991-09-03,8.3125
1991-09-04,7.90625
1991-09-05,7.84375
1991-09-06,8.125
1991-09-09,8.1875
1991-09-10,8.09375
1991-09-11,8.03125
1991-09-12,8.25
1991-09-13,8.40625
1991-09-16,8.875
1991-09-17,9.0625
1991-09-18,9.03125
1991-09-19,9.3125
1991-09-20,9.25
1991-09-23,9.0
1991-09-24,8.9375
1991-09-25,8.78125
1991-09-26,8.78125
1991-09-27,9.09375
1991-09-30,9.0625
1991-10-01,8.9375
1991-10-02,8.6875
1991-10-03,8.28125
1991-10-04,8.15625
1991-10-07,8.34375
1991-10-08,8.34375
1991-10-09,8.0
1991-10-10,8.5
1991-10-11,8.6875
1991-10-14,8.65625
1991-10-15,8.625
1991-10-16,8.6875
1991-10-17,8.9375
1991-10-18,8.8125
1991-10-21,8.78125
1991-10-22,8.5
1991-10-23,8.4375
1991-10-24,8.0625
1991-10-25,8.09375
1991-10-28,8.4375
1991-10-29,8.59375
1991-10-30,8.625
1991-10-31,8.65625
1991-11-01,8.5
1991-11-04,8.3125
1991-11-05,8.4375
1991-11-06,8.4375
1991-11-07,8.5
1991-11-08,8.375
1991-11-11,8.25
1991-11-12,8.4375
1991-11-13,8.375
1991-11-14,8.5625
1991-11-15,8.1875
1991-11-18,8.1875
1991-11-19,8.0625
1991-11-20,8.1875
1991-11-21,8.28125
1991-11-22,8.65625
1991-11-25,8.5
1991-11-26,8.1875
1991-11-27,8.4375
1991-11-29,8.375
1991-12-02,8.375
1991-12-03,8.21875
1991-12-04,8.375
1991-12-05,8.5625
1991-12-06,8.5
1991-12-09,8.875
1991-12-10,9.03125
1991-12-11,8.8125
1991-12-12,8.78125
1991-12-13,9.0625
1991-12-16,9.25
1991-12-17,9.46875
1991-12-18,9.40625
1991-12-19,9.34375
1991-12-20,9.46875
1991-12-23,9.65625
1991-12-24,9.9375
1991-12-26,9.875
1991-12-27,9.75
1991-12-30,10.0625
1991-12-31,10.4375
1992-01-02,10.0625
1992-01-03,10.09375
1992-01-06,10.0
1992-01-07,10.0
1992-01-08,10.0
1992-01-09,10.0625
1992-01-10,9.875
1992-01-13,9.59375
1992-01-14,10.0
1992-01-15,10.625
1992-01-16,10.375
1992-01-17,10.21875
1992-01-20,9.8125
1992-01-21,9.3125
1992-01-22,9.3125
1992-01-23,9.375
1992-01-24,9.5
1992-01-27,10.03125
1992-01-28,10.125
1992-01-29,9.625
1992-01-30,10.09375
1992-01-31,9.9375
1992-02-03,9.90625
1992-02-04,10.125
1992-02-05,10.34375
1992-02-06,10.3125
1992-02-07,10.0625
1992-02-10,10.0
1992-02-11,9.53125
1992-02-12,9.875
1992-02-13,9.6875
1992-02-14,9.4375
1992-02-18,9.46875
1992-02-19,9.0625
1992-02-20,8.96875
1992-02-21,9.3125
1992-02-24,9.5625
1992-02-25,9.78125
1992-02-26,9.90625
1992-02-27,10.0625
1992-02-28,10.0
1992-03-02,10.03125
1992-03-03,9.90625
1992-03-04,9.9375
1992-03-05,9.78125
1992-03-06,9.625
1992-03-09,9.625
1992-03-10,9.875
1992-03-11,9.90625
1992-03-12,9.75
1992-03-13,9.75
1992-03-16,9.65625
1992-03-17,9.46875
1992-03-18,9.5
1992-03-19,9.375
1992-03-20,9.46875
1992-03-23,9.46875
1992-03-24,9.5625
1992-03-25,9.5
