Date,STL
1999-01-08,2.7075810000000002
1999-01-11,2.721683
1999-01-12,2.679377
1999-01-13,2.7075810000000002
1999-01-14,2.693479
1999-01-15,2.7075810000000002
1999-01-19,2.7498869999999997
1999-01-20,2.763989
1999-01-21,2.735785
1999-01-22,2.7498869999999997
1999-01-25,2.7498869999999997
1999-01-26,2.7498869999999997
1999-01-27,2.7498869999999997
1999-01-28,2.7498869999999997
1999-01-29,2.7498869999999997
1999-02-01,2.763989
1999-02-02,2.7498869999999997
1999-02-03,2.7498869999999997
1999-02-04,2.7498869999999997
1999-02-05,2.7498869999999997
1999-02-08,2.7498869999999997
1999-02-09,2.735785
1999-02-10,2.693479
1999-02-11,2.693479
1999-02-12,2.693479
1999-02-16,2.679377
1999-02-17,2.622969
1999-02-18,2.622969
1999-02-19,2.622969
1999-02-22,2.538357
1999-02-23,2.425541
1999-02-24,2.425541
1999-02-25,2.369133
1999-02-26,2.397337
1999-03-01,2.369133
1999-03-02,2.369133
1999-03-03,2.3409299999999997
1999-03-04,2.312726
1999-03-05,2.228114
1999-03-08,2.228114
1999-03-09,2.256318
1999-03-10,2.256318
1999-03-11,2.27042
1999-03-12,2.312726
1999-03-15,2.312726
1999-03-16,2.3409299999999997
1999-03-17,2.369133
1999-03-18,2.3409299999999997
1999-03-19,2.3550310000000003
1999-03-22,2.3409299999999997
1999-03-23,2.369133
1999-03-24,2.3550310000000003
1999-03-25,2.3409299999999997
1999-03-26,2.3409299999999997
1999-03-29,2.3409299999999997
1999-03-30,2.312726
1999-03-31,2.425541
1999-04-01,2.425541
1999-04-05,2.425541
1999-04-06,2.4537459999999998
1999-04-07,2.425541
1999-04-08,2.369133
1999-04-09,2.326828
1999-04-12,2.242216
1999-04-13,2.242216
1999-04-14,2.312726
1999-04-15,2.284522
1999-04-16,2.312726
1999-04-19,2.312726
1999-04-20,2.369133
1999-04-21,2.3409299999999997
1999-04-22,2.284522
1999-04-23,2.319777
1999-04-26,2.3409299999999997
1999-04-27,2.312726
1999-04-28,2.3550310000000003
1999-04-29,2.3550310000000003
1999-04-30,2.3409299999999997
1999-05-03,2.3550310000000003
1999-05-04,2.369133
1999-05-05,2.312726
1999-05-06,2.312726
1999-05-07,2.312726
1999-05-10,2.3409299999999997
1999-05-11,2.3409299999999997
1999-05-12,2.3409299999999997
1999-05-13,2.333879
1999-05-14,2.326828
1999-05-17,2.3409299999999997
1999-05-18,2.312726
1999-05-19,2.312726
1999-05-20,2.312726
1999-05-21,2.27042
1999-05-24,2.2986240000000002
1999-05-25,2.27042
1999-05-26,2.284522
1999-05-27,2.284522
1999-05-28,2.284522
1999-06-01,2.2986240000000002
1999-06-02,2.2986240000000002
1999-06-03,2.27042
1999-06-04,2.312726
1999-06-07,2.27042
1999-06-08,2.27042
1999-06-09,2.27042
1999-06-10,2.2986240000000002
1999-06-11,2.256318
