Date,CVCO
2003-07-01,10.0
2003-07-02,10.75
2003-07-03,10.0
2003-07-07,9.075
2003-07-08,9.295
2003-07-09,9.055
2003-07-10,9.055
2003-07-11,8.98
2003-07-14,10.275
2003-07-15,10.32
2003-07-16,9.725
2003-07-17,9.625
2003-07-18,9.28
2003-07-21,9.225
2003-07-22,9.5
2003-07-23,9.575
2003-07-24,9.55
2003-07-25,9.575
2003-07-28,9.635
2003-07-29,9.5
2003-07-30,9.505
2003-07-31,9.6
2003-08-01,9.3
2003-08-04,9.65
2003-08-05,9.625
2003-08-06,9.55
2003-08-07,9.9
2003-08-08,9.825
2003-08-11,10.2
2003-08-12,10.145
2003-08-13,10.35
2003-08-14,9.835
2003-08-15,9.85
2003-08-18,9.955
2003-08-19,9.97
2003-08-20,9.835
2003-08-21,9.62
2003-08-22,9.525
2003-08-25,9.6
2003-08-26,9.65
2003-08-27,9.65
2003-08-28,9.655
2003-08-29,9.53
2003-09-02,9.7
2003-09-03,9.675
2003-09-04,9.75
2003-09-05,9.775
2003-09-08,9.85
2003-09-09,9.98
2003-09-10,9.85
2003-09-11,9.6
2003-09-12,9.55
2003-09-15,9.69
2003-09-16,9.75
2003-09-17,10.125
2003-09-18,10.0
2003-09-19,9.975
2003-09-22,9.985
2003-09-23,10.05
2003-09-24,10.34
2003-09-25,10.15
2003-09-26,10.225
2003-09-29,10.225
2003-09-30,10.715
2003-10-01,10.855
2003-10-02,10.76
2003-10-03,11.245
2003-10-06,10.775
2003-10-07,10.9
2003-10-08,10.85
2003-10-09,11.0
2003-10-10,11.5
2003-10-13,11.35
2003-10-14,11.575
2003-10-15,11.375
2003-10-16,11.225
2003-10-17,11.35
2003-10-20,11.5
2003-10-21,11.375
2003-10-22,11.74
2003-10-23,11.875
2003-10-24,11.9
2003-10-27,11.985
2003-10-28,11.875
2003-10-29,11.975
2003-10-30,12.05
2003-10-31,12.1
2003-11-03,12.05
2003-11-04,12.05
2003-11-05,12.05
2003-11-06,11.75
2003-11-07,12.0
2003-11-10,11.855
2003-11-11,12.0
2003-11-12,11.8
2003-11-13,11.875
2003-11-14,11.5
2003-11-17,11.3
2003-11-18,11.48
2003-11-19,11.6
2003-11-20,11.65
2003-11-21,11.7
2003-11-24,11.59
2003-11-25,11.65
2003-11-26,11.6
2003-11-28,11.75
2003-12-01,11.55
2003-12-02,11.5
2003-12-03,11.525
2003-12-04,11.525
2003-12-05,11.525
2003-12-08,11.74
2003-12-09,11.635
2003-12-10,11.65
2003-12-11,11.6
2003-12-12,11.55
2003-12-15,11.475
2003-12-16,11.615
2003-12-17,11.55
2003-12-18,11.625
2003-12-19,11.5
2003-12-22,11.685
2003-12-23,11.66
2003-12-24,11.685
2003-12-26,11.7
2003-12-29,11.975
2003-12-30,11.75
2003-12-31,12.0
2004-01-02,11.8
2004-01-05,11.925
2004-01-06,12.3
2004-01-07,12.5
2004-01-08,13.0
2004-01-09,12.75
2004-01-12,14.0
2004-01-13,13.915
2004-01-14,14.245
2004-01-15,14.295
2004-01-16,15.0
2004-01-20,14.785
2004-01-21,14.505
2004-01-22,14.5
2004-01-23,15.6
2004-01-26,16.465
2004-01-27,16.275
2004-01-28,15.6
2004-01-29,15.585
2004-01-30,15.75
2004-02-02,16.35
2004-02-03,16.75
2004-02-04,17.799999
2004-02-05,17.74
2004-02-06,17.700001
2004-02-09,17.950001
2004-02-10,19.9
2004-02-11,19.0
2004-02-12,18.950001
2004-02-13,18.65
2004-02-17,18.549999
2004-02-18,19.625
2004-02-19,19.5
2004-02-20,19.355
2004-02-23,19.030001000000002
2004-02-24,18.754998999999998
2004-02-25,18.799999
2004-02-26,18.77
2004-02-27,18.879998999999998
2004-03-01,18.625
2004-03-02,18.540001
2004-03-03,18.42
2004-03-04,18.475
2004-03-05,18.540001
2004-03-08,18.799999
2004-03-09,19.004998999999998
2004-03-10,18.975
2004-03-11,19.030001000000002
2004-03-12,19.094998999999998
2004-03-15,19.025
2004-03-16,19.02
2004-03-17,19.0
2004-03-18,19.049999
2004-03-19,18.940001000000002
2004-03-22,18.725
2004-03-23,18.625
2004-03-24,18.5
2004-03-25,18.5
2004-03-26,18.275
2004-03-29,18.23
2004-03-30,17.75
2004-03-31,18.424999
2004-04-01,18.700001
2004-04-02,18.5
2004-04-05,18.805
2004-04-06,18.700001
2004-04-07,18.75
2004-04-08,19.1
2004-04-12,18.75
2004-04-13,19.225
2004-04-14,19.105
2004-04-15,19.475
2004-04-16,19.995001000000002
2004-04-19,19.975
2004-04-20,19.98
2004-04-21,20.0
2004-04-22,20.0
2004-04-23,20.0
2004-04-26,20.205
2004-04-27,20.145
2004-04-28,20.004998999999998
2004-04-29,20.035
2004-04-30,19.775
2004-05-03,19.915001
2004-05-04,20.0
2004-05-05,20.025
2004-05-06,19.805
2004-05-07,19.525
2004-05-10,19.540001
2004-05-11,19.525
2004-05-12,19.549999
2004-05-13,19.115
2004-05-14,18.49
2004-05-17,17.945
2004-05-18,17.709999
2004-05-19,17.700001
2004-05-20,18.02
2004-05-21,18.5
2004-05-24,18.700001
2004-05-25,18.75
2004-05-26,18.719998999999998
2004-05-27,18.75
2004-05-28,18.969998999999998
2004-06-01,18.965
2004-06-02,19.495001000000002
2004-06-03,20.049999
2004-06-04,20.0
2004-06-07,20.275
2004-06-08,20.25
2004-06-09,20.200001
2004-06-10,20.424999
2004-06-14,20.07
2004-06-15,19.945
2004-06-16,20.049999
2004-06-17,20.049999
