Date,RRC
1980-06-19,7.5
1980-06-20,7.5
1980-06-23,6.25
1980-06-24,6.25
1980-06-25,7.5
1980-06-26,7.5
1980-06-27,7.5
1980-06-30,7.5
1980-07-01,8.75
1980-07-02,8.75
1980-07-03,10.0
1980-07-07,10.0
1980-07-08,11.25
1980-07-09,11.25
1980-07-10,11.25
1980-07-11,11.25
1980-07-14,10.0
1980-07-15,10.0
1980-07-16,10.0
1980-07-17,12.5
1980-07-18,12.5
1980-07-21,12.5
1980-07-22,12.5
1980-07-23,11.25
1980-07-24,12.5
1980-07-25,11.25
1980-07-28,11.25
1980-07-29,11.25
1980-07-30,11.25
1980-07-31,11.25
1980-08-01,11.25
1980-08-04,11.25
1980-08-05,11.25
1980-08-06,11.25
1980-08-07,11.25
1980-08-08,12.5
1980-08-11,12.5
1980-08-12,11.25
1980-08-13,10.0
1980-08-14,11.25
1980-08-15,11.25
1980-08-18,10.0
1980-08-19,10.0
1980-08-20,10.0
1980-08-21,11.25
1980-08-22,11.25
1980-08-25,11.25
1980-08-26,11.25
1980-08-27,13.75
1980-08-28,17.5
1980-08-29,16.25
1980-09-02,16.25
1980-09-03,15.0
1980-09-04,13.75
1980-09-05,13.75
1980-09-08,12.5
1980-09-09,15.0
1980-09-10,16.25
1980-09-11,15.0
1980-09-12,15.0
1980-09-15,15.0
1980-09-16,16.25
1980-09-17,16.25
1980-09-18,16.25
1980-09-19,16.25
1980-09-22,16.25
1980-09-23,13.75
1980-09-24,15.0
1980-09-25,16.25
1980-09-26,15.0
1980-09-29,13.75
1980-09-30,13.75
1980-10-01,15.0
1980-10-02,16.25
1980-10-03,16.25
1980-10-06,16.25
1980-10-07,17.5
1980-10-08,17.5
1980-10-09,17.5
1980-10-10,18.75
1980-10-13,18.75
1980-10-14,20.0
1980-10-15,20.0
1980-10-16,18.75
1980-10-17,17.5
1980-10-20,17.5
1980-10-21,17.5
1980-10-22,17.5
1980-10-23,18.75
1980-10-24,20.0
1980-10-27,18.75
1980-10-28,18.75
1980-10-29,18.75
1980-10-30,18.75
1980-10-31,18.75
1980-11-03,20.0
1980-11-05,18.75
1980-11-06,17.5
1980-11-07,17.5
1980-11-10,17.5
1980-11-11,18.75
1980-11-12,18.75
1980-11-13,20.0
1980-11-14,20.0
1980-11-17,20.0
1980-11-18,21.25
1980-11-19,21.25
1980-11-20,21.25
1980-11-21,21.25
1980-11-24,20.0
1980-11-25,21.25
1980-11-26,21.25
1980-11-28,21.25
1980-12-01,23.75
1980-12-02,25.0
1980-12-03,25.0
1980-12-04,25.0
1980-12-05,22.5
1980-12-08,21.25
1980-12-09,21.25
1980-12-10,20.0
1980-12-11,18.75
1980-12-12,18.75
1980-12-15,17.5
1980-12-16,17.5
1980-12-17,17.5
1980-12-18,18.75
1980-12-19,18.75
1980-12-22,18.75
1980-12-23,18.75
1980-12-24,18.75
1980-12-26,18.75
1980-12-29,18.75
1980-12-30,18.75
1980-12-31,18.75
1981-01-02,18.75
1981-01-05,20.0
1981-01-06,20.0
1981-01-07,17.5
1981-01-08,17.5
1981-01-09,16.25
1981-01-12,17.5
1981-01-13,17.5
1981-01-14,17.5
1981-01-15,17.5
1981-01-16,17.5
1981-01-19,16.25
1981-01-20,15.0
1981-01-21,16.25
1981-01-22,13.75
1981-01-23,13.75
1981-01-26,13.75
1981-01-27,13.75
1981-01-28,15.0
1981-01-29,15.0
1981-01-30,16.25
1981-02-02,15.0
1981-02-03,15.0
1981-02-04,15.0
1981-02-05,15.0
1981-02-06,16.25
1981-02-09,16.25
1981-02-10,16.25
1981-02-11,16.25
1981-02-12,16.25
1981-02-13,15.0
1981-02-17,15.0
1981-02-18,15.0
1981-02-19,15.0
1981-02-20,13.75
1981-02-23,13.75
1981-02-24,15.0
1981-02-25,15.0
1981-02-26,15.0
1981-02-27,15.0
1981-03-02,16.25
1981-03-03,16.25
1981-03-04,15.0
1981-03-05,15.0
1981-03-06,15.0
1981-03-09,15.0
1981-03-10,12.5
1981-03-11,12.5
1981-03-12,13.75
1981-03-13,15.0
1981-03-16,13.75
1981-03-17,13.75
1981-03-18,13.75
1981-03-19,13.75
1981-03-20,13.75
1981-03-23,13.75
1981-03-24,13.75
1981-03-25,13.75
1981-03-26,15.0
1981-03-27,13.75
1981-03-30,13.75
1981-03-31,13.75
1981-04-01,16.25
1981-04-02,16.25
1981-04-03,17.5
1981-04-06,17.5
1981-04-07,17.5
1981-04-08,17.5
1981-04-09,17.5
1981-04-10,17.5
1981-04-13,17.5
1981-04-14,16.25
1981-04-15,16.25
1981-04-16,16.25
1981-04-20,16.25
1981-04-21,15.0
1981-04-22,15.0
1981-04-23,16.25
1981-04-24,17.5
1981-04-27,18.75
1981-04-28,18.75
1981-04-29,20.0
1981-04-30,18.75
1981-05-01,22.5
1981-05-04,21.25
1981-05-05,21.25
1981-05-06,20.0
1981-05-07,20.0
1981-05-08,20.0
1981-05-11,21.25
1981-05-12,21.25
1981-05-13,20.0
1981-05-14,18.75
1981-05-15,21.25
1981-05-18,21.25
1981-05-19,21.25
1981-05-20,21.25
1981-05-21,20.0
1981-05-22,20.0
1981-05-26,20.0
1981-05-27,20.0
1981-05-28,20.0
1981-05-29,18.75
1981-06-01,17.5
1981-06-02,16.25
1981-06-03,15.0
1981-06-04,16.25
1981-06-05,16.25
1981-06-08,17.5
1981-06-09,17.5
1981-06-10,17.5
1981-06-11,17.5
1981-06-12,16.25
1981-06-15,15.0
1981-06-16,15.0
1981-06-17,15.0
1981-06-18,13.75
1981-06-19,13.75
1981-06-22,13.75
1981-06-23,13.75
1981-06-24,13.75
1981-06-25,13.75
1981-06-26,13.75
1981-06-29,15.0
1981-06-30,13.75
1981-07-01,13.75
1981-07-02,13.75
1981-07-06,12.5
1981-07-07,12.5
1981-07-08,12.5
1981-07-09,13.75
1981-07-10,13.75
1981-07-13,13.75
1981-07-14,13.75
1981-07-15,13.75
1981-07-16,13.75
1981-07-17,12.5
1981-07-20,12.5
1981-07-21,13.75
1981-07-22,13.75
1981-07-23,13.75
1981-07-24,15.0
1981-07-27,13.75
1981-07-28,13.75
1981-07-29,13.75
1981-07-30,13.75
1981-07-31,13.75
1981-08-03,13.75
1981-08-04,13.75
1981-08-05,13.75
1981-08-06,13.75
1981-08-07,13.75
1981-08-10,13.75
1981-08-11,13.75
1981-08-12,13.75
1981-08-13,13.75
1981-08-14,13.75
1981-08-17,13.75
1981-08-18,15.0
1981-08-19,15.0
1981-08-20,13.75
1981-08-21,13.75
1981-08-24,13.75
1981-08-25,13.75
1981-08-26,13.75
1981-08-27,12.5
1981-08-28,12.5
1981-08-31,12.5
1981-09-01,12.5
1981-09-02,12.5
1981-09-03,12.5
1981-09-04,12.5
1981-09-08,11.25
1981-09-09,11.25
1981-09-10,11.25
1981-09-11,11.25
1981-09-14,11.25
1981-09-15,11.25
1981-09-16,11.25
1981-09-17,10.0
1981-09-18,11.25
1981-09-21,10.0
1981-09-22,9.375
1981-09-23,8.125
1981-09-24,8.75
1981-09-25,8.75
1981-09-28,8.75
1981-09-29,8.75
1981-09-30,8.75
1981-10-01,11.25
1981-10-02,10.0
1981-10-05,10.0
1981-10-06,10.0
1981-10-07,10.0
1981-10-08,11.25
1981-10-09,10.0
1981-10-12,10.0
1981-10-13,10.0
1981-10-14,10.0
1981-10-15,11.25
1981-10-16,12.5
1981-10-19,13.75
1981-10-20,15.0
1981-10-21,17.5
1981-10-22,16.25
1981-10-23,15.0
1981-10-26,15.0
1981-10-27,17.5
1981-10-28,17.5
1981-10-29,17.5
1981-10-30,18.75
1981-11-02,18.75
1981-11-03,18.75
1981-11-04,18.75
1981-11-05,18.75
1981-11-06,18.75
1981-11-09,18.75
1981-11-10,17.5
1981-11-11,17.5
1981-11-12,17.5
1981-11-13,16.25
1981-11-16,16.25
1981-11-17,17.5
1981-11-18,17.5
1981-11-19,16.25
1981-11-20,16.25
1981-11-23,16.25
1981-11-24,16.25
1981-11-25,16.25
1981-11-27,16.25
1981-11-30,16.25
1981-12-01,16.25
1981-12-02,16.25
1981-12-03,16.25
1981-12-04,16.25
1981-12-07,16.25
1981-12-08,16.25
1981-12-09,16.25
1981-12-10,15.0
1981-12-11,15.0
1981-12-14,15.0
1981-12-15,15.0
1981-12-16,15.0
1981-12-17,15.0
1981-12-18,16.25
1981-12-21,16.25
1981-12-22,16.25
1981-12-23,16.25
1981-12-24,17.5
1981-12-28,17.5
1981-12-29,17.5
1981-12-30,17.5
1981-12-31,18.75
1982-01-04,17.5
1982-01-05,16.25
1982-01-06,16.25
1982-01-07,16.25
1982-01-08,16.25
1982-01-11,15.0
1982-01-12,15.0
1982-01-13,15.0
1982-01-14,15.0
1982-01-15,15.0
1982-01-18,13.75
1982-01-19,13.75
1982-01-20,13.75
1982-01-21,13.75
1982-01-22,15.0
1982-01-25,15.0
1982-01-26,15.0
1982-01-27,15.0
1982-01-28,15.0
1982-01-29,15.0
1982-02-01,15.0
1982-02-02,13.75
1982-02-03,15.0
1982-02-04,15.0
1982-02-05,15.0
1982-02-08,15.0
1982-02-09,15.0
1982-02-10,15.0
1982-02-11,15.0
1982-02-12,15.0
1982-02-16,15.0
1982-02-17,15.0
1982-02-18,15.0
1982-02-19,15.0
1982-02-22,15.0
1982-02-23,13.75
1982-02-24,13.75
1982-02-25,13.75
1982-02-26,13.75
1982-03-01,13.75
1982-03-02,13.75
1982-03-03,13.75
1982-03-04,12.5
1982-03-05,13.75
1982-03-08,13.75
1982-03-09,15.0
1982-03-10,13.75
1982-03-11,15.0
1982-03-12,15.0
1982-03-15,16.25
1982-03-16,16.25
1982-03-17,16.25
1982-03-18,16.25
1982-03-19,17.5
1982-03-22,17.5
1982-03-23,18.75
1982-03-24,20.0
1982-03-25,20.0
1982-03-26,18.75
1982-03-29,20.0
1982-03-30,18.75
1982-03-31,18.75
1982-04-01,18.75
1982-04-02,18.75
1982-04-05,18.75
1982-04-06,16.25
1982-04-07,17.5
1982-04-08,17.5
1982-04-12,17.5
1982-04-13,17.5
1982-04-14,16.25
1982-04-15,16.25
1982-04-16,16.25
1982-04-19,16.25
1982-04-20,16.25
1982-04-21,16.25
1982-04-22,16.25
1982-04-23,16.25
1982-04-26,16.25
1982-04-27,16.25
1982-04-28,16.25
1982-04-29,15.0
1982-04-30,15.0
1982-05-03,15.0
1982-05-04,15.0
1982-05-05,16.25
1982-05-06,16.25
1982-05-07,16.25
1982-05-10,16.25
1982-05-11,17.5
1982-05-12,18.75
1982-05-13,18.75
1982-05-14,18.75
1982-05-17,18.75
1982-05-18,17.5
1982-05-19,17.5
1982-05-20,17.5
1982-05-21,16.25
1982-05-24,17.5
1982-05-25,17.5
1982-05-26,16.25
1982-05-27,16.25
1982-05-28,16.25
1982-06-01,16.25
1982-06-02,16.25
1982-06-03,16.25
1982-06-04,16.25
1982-06-07,16.25
1982-06-08,16.25
1982-06-09,17.5
1982-06-10,18.75
1982-06-11,18.75
1982-06-14,18.75
1982-06-15,18.75
1982-06-16,18.75
1982-06-17,18.75
1982-06-18,18.75
1982-06-21,18.75
1982-06-22,18.75
1982-06-23,17.5
1982-06-24,17.5
1982-06-25,17.5
1982-06-28,17.5
1982-06-29,17.5
1982-06-30,17.5
1982-07-01,17.5
1982-07-02,17.5
1982-07-06,17.5
1982-07-07,17.5
1982-07-08,17.5
1982-07-09,16.25
1982-07-12,16.25
1982-07-13,16.25
1982-07-14,16.25
1982-07-15,16.25
1982-07-16,16.25
1982-07-19,16.25
1982-07-20,16.25
1982-07-21,16.25
1982-07-22,16.25
1982-07-23,16.25
1982-07-26,16.25
1982-07-27,16.25
1982-07-28,16.25
1982-07-29,16.25
1982-07-30,15.0
1982-08-02,15.0
1982-08-03,15.0
1982-08-04,15.0
1982-08-05,15.0
1982-08-06,13.75
1982-08-09,13.75
1982-08-10,13.75
1982-08-11,13.75
1982-08-12,13.75
1982-08-13,13.75
1982-08-16,15.0
1982-08-17,15.0
1982-08-18,16.25
1982-08-19,16.25
1982-08-20,17.5
1982-08-23,17.5
1982-08-24,17.5
1982-08-25,16.25
1982-08-26,17.5
1982-08-27,17.5
1982-08-30,17.5
1982-08-31,17.5
1982-09-01,17.5
1982-09-02,17.5
1982-09-03,17.5
1982-09-07,16.25
1982-09-08,16.25
1982-09-09,16.25
1982-09-10,16.25
1982-09-13,16.25
1982-09-14,16.25
1982-09-15,16.25
1982-09-16,17.5
1982-09-17,17.5
1982-09-20,17.5
1982-09-21,18.75
1982-09-22,18.75
1982-09-23,18.75
1982-09-24,18.75
1982-09-27,18.75
1982-09-28,20.0
1982-09-29,18.75
1982-09-30,18.75
1982-10-01,18.75
1982-10-04,18.75
1982-10-05,18.75
1982-10-06,18.75
1982-10-07,17.5
1982-10-08,18.75
1982-10-11,18.75
1982-10-12,18.75
1982-10-13,17.5
1982-10-14,18.75
1982-10-15,18.75
1982-10-18,17.5
1982-10-19,17.5
1982-10-20,17.5
1982-10-21,17.5
1982-10-22,17.5
1982-10-25,16.25
1982-10-26,16.25
1982-10-27,16.25
1982-10-28,16.25
1982-10-29,16.25
1982-11-01,15.0
1982-11-02,15.0
1982-11-03,15.0
1982-11-04,15.0
1982-11-05,15.0
1982-11-08,15.0
1982-11-09,15.0
1982-11-10,15.0
1982-11-11,15.0
1982-11-12,15.0
1982-11-15,15.0
1982-11-16,15.0
1982-11-17,15.0
1982-11-18,15.0
1982-11-19,15.0
1982-11-22,15.0
1982-11-23,15.0
1982-11-24,15.0
1982-11-26,15.0
1982-11-29,15.0
1982-11-30,15.0
1982-12-01,15.0
1982-12-02,15.0
1982-12-03,15.0
1982-12-06,15.0
1982-12-07,15.0
1982-12-08,16.25
1982-12-09,17.5
1982-12-10,20.0
1982-12-13,17.5
1982-12-14,18.75
1982-12-15,17.5
1982-12-16,16.25
1982-12-17,16.25
1982-12-20,16.25
1982-12-21,16.25
1982-12-22,18.75
1982-12-23,18.75
1982-12-27,18.75
1982-12-28,18.75
1982-12-29,18.75
1982-12-30,18.75
1982-12-31,18.75
1983-01-03,17.5
1983-01-04,17.5
1983-01-05,17.5
1983-01-06,18.75
1983-01-07,18.75
1983-01-10,20.0
1983-01-11,20.0
1983-01-12,20.0
1983-01-13,20.0
1983-01-14,20.0
1983-01-17,20.0
1983-01-18,20.0
1983-01-19,18.75
1983-01-20,18.75
1983-01-21,18.75
1983-01-24,17.5
1983-01-25,17.5
1983-01-26,16.25
1983-01-27,16.25
1983-01-28,16.25
1983-01-31,16.25
1983-02-01,16.25
1983-02-02,16.25
1983-02-03,16.25
1983-02-04,16.25
1983-02-07,16.25
1983-02-08,16.25
1983-02-09,16.25
1983-02-10,16.25
1983-02-11,16.25
1983-02-14,16.25
1983-02-15,17.5
1983-02-16,18.75
1983-02-17,18.75
1983-02-18,20.0
1983-02-22,18.75
1983-02-23,17.5
1983-02-24,17.5
1983-02-25,17.5
1983-02-28,17.5
1983-03-01,16.25
1983-03-02,16.25
1983-03-03,16.25
1983-03-04,16.25
1983-03-07,16.25
1983-03-08,16.25
1983-03-09,16.25
1983-03-10,16.25
1983-03-11,16.25
1983-03-14,16.25
1983-03-15,15.0
1983-03-16,15.0
1983-03-17,15.0
1983-03-18,15.0
1983-03-21,15.0
1983-03-22,15.0
1983-03-23,15.0
1983-03-24,15.0
1983-03-25,13.75
1983-03-28,13.75
1983-03-29,13.75
1983-03-30,15.0
1983-03-31,16.25
1983-04-04,16.25
1983-04-05,15.0
1983-04-06,15.0
1983-04-07,15.0
1983-04-08,13.75
1983-04-11,13.75
1983-04-12,13.75
1983-04-13,13.75
1983-04-14,15.0
1983-04-15,15.0
1983-04-18,16.25
1983-04-19,16.25
1983-04-20,16.25
1983-04-21,16.25
1983-04-22,17.5
1983-04-25,17.5
1983-04-26,17.5
1983-04-27,17.5
1983-04-28,17.5
1983-04-29,17.5
1983-05-02,17.5
1983-05-03,17.5
1983-05-04,16.25
1983-05-05,16.25
