Date,BYD
1993-10-15,22.125
1993-10-18,23.75
1993-10-19,22.625
1993-10-20,20.5
1993-10-21,21.875
1993-10-22,22.375
1993-10-25,21.125
1993-10-26,20.5
1993-10-27,20.125
1993-10-28,20.375
1993-10-29,20.125
1993-11-01,19.25
1993-11-02,18.625
1993-11-03,18.5
1993-11-04,17.5
1993-11-05,18.5
1993-11-08,18.5
1993-11-09,18.5
1993-11-10,17.75
1993-11-11,17.25
1993-11-12,17.0
1993-11-15,16.5
1993-11-16,16.5
1993-11-17,16.625
1993-11-18,16.5
1993-11-19,16.25
1993-11-22,16.0
1993-11-23,16.25
1993-11-24,16.5
1993-11-26,16.625
1993-11-29,16.0
1993-11-30,16.0
1993-12-01,16.375
1993-12-02,16.0
1993-12-03,16.0
1993-12-06,16.0
1993-12-07,15.75
1993-12-08,15.375
1993-12-09,15.875
1993-12-10,16.0
1993-12-13,15.75
1993-12-14,15.375
1993-12-15,14.875
1993-12-16,14.875
1993-12-17,15.25
1993-12-20,15.125
1993-12-21,15.0
1993-12-22,14.5
1993-12-23,14.25
1993-12-27,13.75
1993-12-28,13.625
1993-12-29,13.875
1993-12-30,13.25
1993-12-31,13.375
1994-01-03,14.125
1994-01-04,14.5
1994-01-05,16.75
1994-01-06,16.625
1994-01-07,16.875
1994-01-10,16.75
1994-01-11,16.625
1994-01-12,17.375
1994-01-13,17.875
1994-01-14,18.0
1994-01-17,18.0
1994-01-18,18.0
1994-01-19,18.125
1994-01-20,18.0
1994-01-21,18.5
1994-01-24,18.25
1994-01-25,18.375
1994-01-26,18.375
1994-01-27,18.25
1994-01-28,18.25
1994-01-31,18.375
1994-02-01,18.25
1994-02-02,18.0
1994-02-03,18.0
1994-02-04,17.75
1994-02-07,17.5
1994-02-08,18.125
1994-02-09,18.125
1994-02-10,18.25
1994-02-11,18.0
1994-02-14,17.875
1994-02-15,18.0
1994-02-16,17.875
1994-02-17,18.0
1994-02-18,18.0
1994-02-22,18.0
1994-02-23,17.875
1994-02-24,17.5
1994-02-25,17.625
1994-02-28,17.5
1994-03-01,17.75
1994-03-02,17.75
1994-03-03,17.5
1994-03-04,17.625
1994-03-07,17.5
1994-03-08,18.125
1994-03-09,18.5
1994-03-10,18.375
1994-03-11,18.25
1994-03-14,18.25
1994-03-15,18.0
1994-03-16,18.0
1994-03-17,17.875
1994-03-18,17.5
1994-03-21,17.375
1994-03-22,17.375
1994-03-23,17.25
1994-03-24,16.75
1994-03-25,16.625
1994-03-28,16.25
1994-03-29,15.75
1994-03-30,15.25
1994-03-31,15.0
1994-04-04,14.625
1994-04-05,14.5
1994-04-06,14.0
1994-04-07,14.25
1994-04-08,14.875
1994-04-11,14.75
1994-04-12,14.625
1994-04-13,13.625
1994-04-14,13.5
1994-04-15,14.0
1994-04-18,14.125
1994-04-19,14.0
1994-04-20,14.25
1994-04-21,13.875
1994-04-22,13.625
1994-04-25,13.875
1994-04-26,15.25
1994-04-28,15.25
1994-04-29,15.375
1994-05-02,14.875
1994-05-03,15.375
1994-05-04,15.25
1994-05-05,15.25
1994-05-06,15.125
1994-05-09,15.25
1994-05-10,14.875
1994-05-11,14.875
1994-05-12,14.5
1994-05-13,14.5
1994-05-16,14.75
1994-05-17,14.5
1994-05-18,14.5
1994-05-19,14.875
1994-05-20,14.75
1994-05-23,14.75
1994-05-24,14.75
1994-05-25,14.875
1994-05-26,15.125
1994-05-27,15.5
1994-05-31,15.125
1994-06-01,14.875
1994-06-02,14.75
1994-06-03,14.75
1994-06-06,14.75
1994-06-07,14.375
1994-06-08,14.25
1994-06-09,14.125
1994-06-10,14.0
1994-06-13,14.0
1994-06-14,13.5
1994-06-15,13.375
1994-06-16,12.5
1994-06-17,12.375
1994-06-20,12.5
1994-06-21,12.5
1994-06-22,12.0
1994-06-23,11.375
1994-06-24,11.0
1994-06-27,12.125
1994-06-28,12.25
1994-06-29,12.375
1994-06-30,14.75
1994-07-01,13.875
1994-07-05,13.875
1994-07-06,14.0
1994-07-07,13.75
1994-07-08,13.5
1994-07-11,13.5
1994-07-12,13.75
1994-07-13,14.0
1994-07-14,14.75
1994-07-15,15.0
1994-07-18,14.75
1994-07-19,14.625
1994-07-20,13.875
