Date,SXT
1980-03-17,1.833333
1980-03-18,1.796296
1980-03-19,1.796296
1980-03-20,1.796296
1980-03-21,1.759259
1980-03-24,1.703704
1980-03-25,1.666667
1980-03-26,1.666667
1980-03-27,1.666667
1980-03-28,1.685185
1980-03-31,1.666667
1980-04-01,1.648148
1980-04-02,1.666667
1980-04-03,1.62963
1980-04-07,1.592593
1980-04-08,1.62963
1980-04-09,1.555556
1980-04-10,1.62963
1980-04-11,1.62963
1980-04-14,1.592593
1980-04-15,1.62963
1980-04-16,1.62963
1980-04-17,1.611111
1980-04-18,1.592593
1980-04-21,1.592593
1980-04-22,1.611111
1980-04-23,1.62963
1980-04-24,1.666667
1980-04-25,1.62963
1980-04-28,1.592593
1980-04-29,1.592593
1980-04-30,1.62963
1980-05-01,1.666667
1980-05-02,1.703704
1980-05-05,1.759259
1980-05-06,1.7777779999999999
1980-05-07,1.759259
1980-05-08,1.796296
1980-05-09,1.814815
1980-05-12,1.814815
1980-05-13,1.851852
1980-05-14,1.87037
1980-05-15,1.851852
1980-05-16,1.833333
1980-05-19,1.851852
1980-05-20,1.851852
1980-05-21,1.851852
1980-05-22,1.851852
1980-05-23,1.87037
1980-05-27,1.833333
1980-05-28,1.814815
1980-05-29,1.851852
1980-05-30,1.851852
1980-06-02,1.851852
1980-06-03,1.851852
1980-06-04,1.851852
1980-06-05,1.851852
1980-06-06,1.907407
1980-06-09,1.888889
1980-06-10,1.907407
1980-06-11,2.018518
1980-06-12,2.074074
1980-06-13,2.074074
1980-06-16,2.055556
1980-06-17,2.018518
1980-06-18,2.018518
1980-06-19,1.9259259999999998
1980-06-20,1.851852
1980-06-23,1.907407
1980-06-24,1.888889
1980-06-25,1.851852
1980-06-26,1.666667
1980-06-27,1.7222220000000001
1980-06-30,1.685185
1980-07-01,1.685185
1980-07-02,1.666667
1980-07-03,1.62963
1980-07-07,1.759259
1980-07-08,1.7777779999999999
1980-07-09,1.759259
1980-07-10,1.7222220000000001
1980-07-11,1.759259
1980-07-14,1.740741
1980-07-15,1.740741
1980-07-16,1.759259
1980-07-17,1.740741
1980-07-18,1.740741
1980-07-21,1.759259
1980-07-22,1.703704
1980-07-23,1.7222220000000001
1980-07-24,1.666667
1980-07-25,1.648148
1980-07-28,1.666667
1980-07-29,1.703704
1980-07-30,1.685185
1980-07-31,1.685185
1980-08-01,1.703704
1980-08-04,1.7222220000000001
1980-08-05,1.7222220000000001
1980-08-06,1.796296
1980-08-07,1.7777779999999999
1980-08-08,1.7777779999999999
1980-08-11,1.759259
1980-08-12,1.814815
1980-08-13,1.814815
1980-08-14,1.851852
1980-08-15,1.87037
1980-08-18,1.833333
1980-08-19,1.833333
1980-08-20,1.7777779999999999
1980-08-21,1.814815
1980-08-22,1.833333
