Date,EMN
1993-12-14,22.625
1993-12-15,22.125
1993-12-16,22.125
1993-12-17,21.625
1993-12-20,22.3125
1993-12-21,22.625
1993-12-22,22.625
1993-12-23,23.0625
1993-12-27,23.625
1993-12-28,23.5
1993-12-29,23.8125
1993-12-30,23.9375
1993-12-31,23.75
1994-01-03,23.4375
1994-01-04,22.5625
1994-01-05,22.1875
1994-01-06,21.75
1994-01-07,20.875
1994-01-10,21.4375
1994-01-11,21.375
1994-01-12,21.0
1994-01-13,20.875
1994-01-14,20.9375
1994-01-17,20.9375
1994-01-18,20.8125
1994-01-19,21.125
1994-01-20,21.0
1994-01-21,21.0
1994-01-24,20.8125
1994-01-25,20.8125
1994-01-26,20.8125
1994-01-27,20.8125
1994-01-28,21.5
1994-01-31,21.875
1994-02-01,21.125
1994-02-02,21.0
1994-02-03,21.375
1994-02-04,21.3125
1994-02-07,21.75
1994-02-08,21.4375
1994-02-09,21.5625
1994-02-10,21.375
1994-02-11,21.375
1994-02-14,21.5
1994-02-15,21.5625
1994-02-16,21.6875
1994-02-17,21.6875
1994-02-18,21.5625
1994-02-22,21.25
1994-02-23,21.4375
1994-02-24,21.1875
1994-02-25,20.9375
1994-02-28,20.875
1994-03-01,20.875
1994-03-02,20.5625
1994-03-03,20.25
1994-03-04,20.125
1994-03-07,20.0625
1994-03-08,20.0625
1994-03-09,20.0625
1994-03-10,19.875
1994-03-11,20.3125
1994-03-14,20.375
1994-03-15,20.5
1994-03-16,20.25
1994-03-17,20.375
1994-03-18,20.0625
1994-03-21,20.0625
1994-03-22,20.125
1994-03-23,20.4375
1994-03-24,20.5
1994-03-25,20.5
1994-03-28,20.6875
1994-03-29,20.6875
1994-03-30,20.375
1994-03-31,20.125
1994-04-04,19.875
1994-04-05,20.1875
1994-04-06,20.875
1994-04-07,20.9375
1994-04-08,21.4375
1994-04-11,21.3125
1994-04-12,20.8125
1994-04-13,21.3125
1994-04-14,21.1875
1994-04-15,21.3125
1994-04-18,21.1875
1994-04-19,21.1875
1994-04-20,20.625
1994-04-21,21.0
1994-04-22,21.0625
1994-04-25,21.5625
1994-04-26,22.375
1994-04-28,22.1875
1994-04-29,22.25
1994-05-02,22.4375
1994-05-03,22.5
1994-05-04,22.5625
1994-05-05,22.4375
1994-05-06,22.0625
1994-05-09,22.0
1994-05-10,22.5
1994-05-11,22.5625
1994-05-12,22.5625
1994-05-13,22.9375
1994-05-16,23.0
1994-05-17,23.0
1994-05-18,22.875
1994-05-19,23.0
1994-05-20,22.5
1994-05-23,22.75
1994-05-24,23.375
1994-05-25,23.8125
1994-05-26,24.125
1994-05-27,24.375
1994-05-31,24.0625
1994-06-01,23.6875
1994-06-02,23.875
