Date,ABM
1980-03-17,0.933333
1980-03-18,0.916667
1980-03-19,0.916667
1980-03-20,0.933333
1980-03-21,0.933333
1980-03-24,0.925
1980-03-25,0.925
1980-03-26,0.933333
1980-03-27,0.9
1980-03-28,0.908333
1980-03-31,0.916667
1980-04-01,0.916667
1980-04-02,0.925
1980-04-03,0.95
1980-04-07,0.916667
1980-04-08,0.925
1980-04-09,0.908333
1980-04-10,0.908333
1980-04-11,0.9
1980-04-14,0.9
1980-04-15,0.891667
1980-04-16,0.875
1980-04-17,0.875
1980-04-18,0.866667
1980-04-21,0.866667
1980-04-22,0.875
1980-04-23,0.891667
1980-04-24,0.891667
1980-04-25,0.891667
1980-04-28,0.883333
1980-04-29,0.891667
1980-04-30,0.9
1980-05-01,0.875
1980-05-02,0.866667
1980-05-05,0.883333
1980-05-06,0.9
1980-05-07,0.9
1980-05-08,0.9
1980-05-09,0.9
1980-05-12,0.883333
1980-05-13,0.9
1980-05-14,0.9
1980-05-15,0.908333
1980-05-16,0.925
1980-05-19,0.925
1980-05-20,0.908333
1980-05-21,0.891667
1980-05-22,0.9
1980-05-23,0.9
1980-05-27,0.9
1980-05-28,0.891667
1980-05-29,0.9
1980-05-30,0.916667
1980-06-02,0.908333
1980-06-03,0.916667
1980-06-04,0.916667
1980-06-05,0.908333
1980-06-06,0.908333
1980-06-09,0.916667
1980-06-10,0.908333
1980-06-11,0.925
1980-06-12,0.916667
1980-06-13,0.916667
1980-06-16,0.916667
1980-06-17,0.908333
1980-06-18,0.883333
1980-06-19,0.883333
1980-06-20,0.9
1980-06-23,0.883333
1980-06-24,0.866667
1980-06-25,0.875
1980-06-26,0.891667
1980-06-27,0.9
1980-06-30,0.883333
1980-07-01,0.883333
1980-07-02,0.866667
1980-07-03,0.866667
1980-07-07,0.916667
1980-07-08,0.908333
1980-07-09,0.916667
1980-07-10,0.908333
1980-07-11,0.925
1980-07-14,0.95
1980-07-15,0.975
1980-07-16,0.975
1980-07-17,1.0
1980-07-18,1.025
1980-07-21,1.033333
1980-07-22,1.033333
1980-07-23,1.025
1980-07-24,1.016667
1980-07-25,1.016667
1980-07-28,1.016667
1980-07-29,1.008333
1980-07-30,1.025
1980-07-31,1.008333
