Date,AMV
2006-08-23,510.0
2006-08-24,525.0
2006-08-25,528.0
2006-08-28,528.0
2006-08-29,518.0
2006-08-30,510.0
2006-08-31,500.0
2006-09-01,520.0
2006-09-05,500.0
2006-09-06,495.0
2006-09-07,475.0
2006-09-08,505.0
2006-09-11,500.0
2006-09-12,500.0
2006-09-13,520.0
2006-09-14,500.0
2006-09-15,520.0
2006-09-18,520.0
2006-09-19,513.0
2006-09-20,518.0
2006-09-21,500.0
2006-09-22,490.0
2006-09-25,460.0
2006-09-26,475.0
2006-09-27,475.0
2006-09-28,460.0
2006-09-29,468.0
2006-10-02,470.0
2006-10-03,460.0
2006-10-04,465.0
2006-10-05,458.0
2006-10-06,440.0
2006-10-09,448.0
2006-10-10,418.0
2006-10-11,420.0
2006-10-12,440.0
2006-10-13,430.0
2006-10-16,460.0
2006-10-17,450.0
2006-10-18,453.0
2006-10-19,460.0
2006-10-20,460.0
2006-10-23,469.0
2006-10-24,463.0
2006-10-25,455.0
2006-10-26,435.0
2006-10-27,450.0
2006-10-30,453.0
2006-10-31,443.0
2006-11-01,428.0
2006-11-02,435.0
2006-11-03,430.0
2006-11-06,433.0
2006-11-07,425.0
2006-11-08,418.0
2006-11-09,425.0
2006-11-10,418.0
2006-11-13,423.0
2006-11-14,405.0
2006-11-15,405.0
2006-11-16,423.0
2006-11-17,415.0
2006-11-20,450.0
2006-11-21,475.0
2006-11-22,475.0
2006-11-24,463.0
2006-11-27,453.0
2006-11-28,445.0
2006-11-29,455.0
2006-11-30,445.0
2006-12-01,435.0
2006-12-04,425.0
2006-12-05,440.0
2006-12-06,428.0
2006-12-07,430.0
2006-12-08,440.0
2006-12-11,430.0
2006-12-12,430.0
2006-12-13,433.0
2006-12-14,430.0
2006-12-15,440.0
2006-12-18,440.0
2006-12-19,425.0
2006-12-20,440.0
2006-12-21,440.0
2006-12-22,455.0
2006-12-26,455.0
2006-12-27,473.0
2006-12-28,455.0
2006-12-29,465.0
2007-01-03,490.0
2007-01-04,485.0
2007-01-05,460.0
2007-01-08,470.0
2007-01-09,453.0
2007-01-10,460.0
2007-01-11,460.0
2007-01-12,455.0
2007-01-16,489.0
2007-01-17,475.0
2007-01-18,478.0
2007-01-19,485.0
2007-01-22,485.0
2007-01-23,470.0
2007-01-24,470.0
2007-01-25,471.0
2007-01-26,468.0
2007-01-29,465.0
2007-01-30,458.0
2007-01-31,455.0
2007-02-01,455.0
2007-02-02,462.0
2007-02-05,462.0
2007-02-06,463.0
2007-02-07,470.0
2007-02-08,464.0
2007-02-09,473.0
2007-02-12,473.0
2007-02-13,498.0
2007-02-14,498.0
2007-02-15,495.0
2007-02-16,489.0
2007-02-20,489.0
2007-02-21,479.0
2007-02-22,495.0
2007-02-23,490.0
2007-02-26,475.0
2007-02-27,464.0
2007-02-28,455.0
2007-03-01,470.0
2007-03-02,460.0
2007-03-05,450.0
2007-03-06,450.0
2007-03-07,478.0
2007-03-08,485.0
2007-03-09,480.0
2007-03-12,455.0
2007-03-13,460.0
2007-03-14,450.0
2007-03-15,440.0
2007-03-16,445.0
2007-03-19,460.0
2007-03-20,436.0
2007-03-21,445.0
2007-03-22,458.0
2007-03-23,462.0
2007-03-26,462.0
2007-03-27,455.0
2007-03-28,448.0
2007-03-29,460.0
2007-03-30,465.0
2007-04-02,458.0
2007-04-03,475.0
2007-04-04,470.0
2007-04-05,470.0
2007-04-09,470.0
2007-04-10,468.0
2007-04-11,460.0
2007-04-12,456.0
2007-04-13,455.0
2007-04-16,455.0
2007-04-17,455.0
2007-04-18,453.0
2007-04-19,447.0
2007-04-20,449.0
2007-04-23,450.0
2007-04-24,465.0
2007-04-25,470.0
2007-04-26,460.0
2007-04-27,463.0
2007-04-30,465.0
2007-05-01,465.0
2007-05-02,465.0
2007-05-03,453.0
2007-05-04,455.0
2007-05-07,455.0
2007-05-08,453.0
2007-05-09,448.0
2007-05-10,423.0
2007-05-11,430.0
2007-05-14,436.0
2007-05-15,428.0
2007-05-16,438.0
2007-05-17,450.0
2007-05-18,443.0
2007-05-21,500.0
2007-05-22,540.0
2007-05-23,505.0
2007-05-24,495.0
2007-05-25,495.0
2007-05-29,495.0
2007-05-30,493.0
2007-05-31,493.0
2007-06-01,500.0
2007-06-04,494.0
2007-06-05,493.0
2007-06-06,508.0
2007-06-07,525.0
2007-06-08,550.0
2007-06-11,565.0
2007-06-12,555.0
2007-06-13,553.0
2007-06-14,548.0
2007-06-15,553.0
2007-06-18,555.0
2007-06-19,560.0
2007-06-20,552.0
2007-06-21,555.0
2007-06-22,545.0
2007-06-25,553.0
2007-06-26,563.0
2007-06-27,545.0
2007-06-28,556.0
2007-06-29,570.0
2007-07-02,575.0
2007-07-03,583.0
2007-07-05,497.5
2007-07-06,593.0
2007-07-09,580.0
2007-07-10,573.0
2007-07-11,568.0
2007-07-12,570.0
2007-07-13,573.0
2007-07-16,575.0
2007-07-17,560.0
2007-07-18,570.0
2007-07-19,568.0
2007-07-20,565.0
2007-07-23,570.0
2007-07-24,563.0
2007-07-25,553.0
2007-07-26,550.0
2007-07-27,555.0
2007-07-30,553.0
2007-07-31,555.0
2007-08-01,550.0
2007-08-02,530.0
2007-08-03,530.0
2007-08-06,510.0
2007-08-07,485.0
2007-08-08,485.0
2007-08-09,485.5
2007-08-10,484.0
2007-08-13,492.5
2007-08-14,485.0
2007-08-15,472.5
2007-08-16,450.0
2007-08-17,445.0
2007-08-20,437.5
2007-08-21,423.25
2007-08-22,420.0
2007-08-23,407.5
2007-08-24,415.0
