Date,EPD
1998-07-28,5.375
1998-07-29,5.390625
1998-07-30,5.375
1998-07-31,5.3125
1998-08-03,5.3125
1998-08-04,5.125
1998-08-05,4.8125
1998-08-06,4.90625
1998-08-07,4.96875
1998-08-10,4.890625
1998-08-11,4.75
1998-08-12,4.890625
1998-08-13,4.796875
1998-08-14,4.65625
1998-08-17,4.6875
1998-08-18,4.78125
1998-08-19,4.84375
1998-08-20,4.84375
1998-08-21,4.75
1998-08-24,4.6875
1998-08-25,4.578125
1998-08-26,4.546875
1998-08-27,4.484375
1998-08-28,4.21875
1998-08-31,4.3125
1998-09-01,4.296875
1998-09-02,4.46875
1998-09-03,4.3125
1998-09-04,4.25
1998-09-08,4.34375
1998-09-09,4.3125
1998-09-10,4.125
1998-09-11,4.21875
1998-09-14,4.34375
1998-09-15,4.34375
1998-09-16,4.484375
1998-09-17,4.3125
1998-09-18,4.375
1998-09-21,4.4375
1998-09-22,4.375
1998-09-23,4.34375
1998-09-24,4.4375
1998-09-25,4.484375
1998-09-28,4.53125
1998-09-29,4.46875
1998-09-30,4.53125
1998-10-01,4.40625
1998-10-02,4.34375
1998-10-05,4.15625
1998-10-06,4.203125
1998-10-07,4.15625
1998-10-08,4.03125
1998-10-09,4.15625
1998-10-12,4.1875
1998-10-13,4.21875
1998-10-14,4.125
1998-10-15,4.15625
1998-10-16,4.25
1998-10-19,4.46875
1998-10-20,4.46875
1998-10-21,4.40625
1998-10-22,4.46875
1998-10-23,4.453125
1998-10-26,4.53125
1998-10-27,4.1875
1998-10-28,4.1875
1998-10-29,4.234375
1998-10-30,4.15625
1998-11-02,4.171875
1998-11-03,4.015625
1998-11-04,3.96875
1998-11-05,4.15625
1998-11-06,4.140625
1998-11-09,4.03125
1998-11-10,4.03125
1998-11-11,4.03125
1998-11-12,4.125
1998-11-13,4.109375
1998-11-16,4.0625
1998-11-17,4.078125
1998-11-18,4.109375
1998-11-19,4.203125
1998-11-20,4.125
1998-11-23,4.109375
1998-11-24,4.03125
1998-11-25,4.203125
1998-11-27,4.171875
1998-11-30,4.0625
1998-12-01,4.046875
1998-12-02,3.921875
1998-12-03,3.75
1998-12-04,3.921875
