Date,LECO
1994-04-07,4.5625
1994-04-08,4.59375
1994-04-11,4.6875
1994-04-12,4.625
1994-04-13,4.625
1994-04-14,4.75
1994-04-15,4.625
1994-04-18,4.5625
1994-04-19,4.6875
1994-04-20,4.75
1994-04-21,4.75
1994-04-22,4.75
1994-04-25,4.75
1994-04-26,4.875
1994-04-28,4.6875
1994-04-29,4.8125
1994-05-02,5.0
1994-05-03,5.0625
1994-05-04,4.9375
1994-05-05,5.0625
1994-05-06,4.875
1994-05-09,5.0625
1994-05-10,5.5
1994-05-11,5.25
1994-05-12,5.625
1994-05-13,5.3125
1994-05-16,5.4375
1994-05-17,5.5
1994-05-18,5.34375
1994-05-19,5.59375
1994-05-20,6.0
1994-05-23,6.125
1994-05-24,6.75
1994-05-25,6.75
1994-05-26,6.75
1994-05-27,6.9375
1994-05-31,7.0625
1994-06-01,6.875
1994-06-02,6.875
1994-06-03,7.0
1994-06-06,6.875
1994-06-07,7.0
1994-06-08,6.75
1994-06-09,6.625
1994-06-10,6.75
1994-06-13,6.875
1994-06-14,6.875
1994-06-15,6.75
1994-06-16,6.9375
1994-06-17,6.75
1994-06-20,6.9375
1994-06-21,6.875
1994-06-22,6.6875
1994-06-23,6.8125
1994-06-24,6.5
1994-06-27,6.5
1994-06-28,6.59375
1994-06-29,6.6875
1994-06-30,6.5
1994-07-01,6.5
1994-07-05,6.625
1994-07-06,6.625
1994-07-07,6.625
1994-07-08,6.625
1994-07-11,6.5625
1994-07-12,6.5625
1994-07-13,6.5625
1994-07-14,6.5625
1994-07-15,6.4375
1994-07-18,6.5625
1994-07-19,6.5625
1994-07-20,6.625
1994-07-21,7.0625
1994-07-22,8.0
1994-07-25,7.875
1994-07-26,8.0
1994-07-27,7.75
1994-07-28,7.75
1994-07-29,7.9375
1994-08-01,7.9375
1994-08-02,7.875
1994-08-03,7.875
1994-08-04,8.125
1994-08-05,8.125
1994-08-08,8.375
1994-08-09,8.78125
1994-08-10,8.9375
1994-08-11,9.0
1994-08-12,8.9375
1994-08-15,8.5625
1994-08-16,8.5625
1994-08-17,8.8125
1994-08-18,8.625
1994-08-19,8.625
1994-08-22,8.8125
1994-08-23,9.125
1994-08-24,9.0625
1994-08-25,8.9375
1994-08-26,9.125
1994-08-29,9.125
1994-08-30,9.0625
1994-08-31,8.8125
1994-09-01,8.875
1994-09-02,8.8125
1994-09-06,8.8125
1994-09-07,8.625
1994-09-08,8.6875
1994-09-09,8.9375
1994-09-12,8.9375
1994-09-13,8.75
1994-09-14,9.0
1994-09-15,9.0
1994-09-16,9.0
1994-09-19,8.875
1994-09-20,8.875
1994-09-21,9.0625
1994-09-22,8.875
1994-09-23,8.9375
1994-09-26,8.9375
1994-09-27,9.0
1994-09-28,9.0
1994-09-29,9.0
1994-09-30,9.0
1994-10-03,9.125
1994-10-04,9.0
1994-10-05,9.0625
1994-10-06,9.125
1994-10-07,8.9375
1994-10-10,9.125
1994-10-11,9.125
1994-10-12,8.9375
1994-10-13,9.125
1994-10-14,9.0
1994-10-17,9.25
1994-10-18,9.25
1994-10-19,9.25
1994-10-20,9.3125
1994-10-21,9.75
1994-10-24,9.75
1994-10-25,9.8125
1994-10-26,9.8125
1994-10-27,9.75
1994-10-28,9.75
1994-10-31,9.875
1994-11-01,9.96875
1994-11-02,9.75
1994-11-03,10.0
1994-11-04,10.5625
1994-11-07,10.5
1994-11-08,10.5
1994-11-09,10.5
1994-11-10,10.4375
1994-11-11,10.6875
1994-11-14,10.5
