Date,LBTYK
2005-09-08,11.975
2005-09-09,12.025
2005-09-12,12.825
2005-09-13,12.99
2005-09-14,13.02
2005-09-15,12.91
2005-09-16,12.9
2005-09-19,12.515
2005-09-20,12.75
2005-09-21,12.63
2005-09-22,12.49
2005-09-23,12.74
2005-09-26,12.48
2005-09-27,12.5
2005-09-28,12.32
2005-09-29,12.15
2005-09-30,12.875
2005-10-03,12.765
2005-10-04,12.93
2005-10-05,12.77
2005-10-06,12.75
2005-10-07,12.54
2005-10-10,12.4
2005-10-11,12.34
2005-10-12,12.045
2005-10-13,11.65
2005-10-14,11.825
2005-10-17,11.705
2005-10-18,11.61
2005-10-19,11.655
2005-10-20,11.785
2005-10-21,11.995
2005-10-24,12.165
2005-10-25,12.15
2005-10-26,11.98
2005-10-27,11.68
2005-10-28,11.66
2005-10-31,11.84
2005-11-01,11.57
2005-11-02,11.67
2005-11-03,11.875
2005-11-04,11.855
2005-11-07,11.945
2005-11-08,12.075
2005-11-09,11.985
2005-11-10,12.075
2005-11-11,11.95
2005-11-14,12.06
2005-11-15,11.775
2005-11-16,11.75
2005-11-17,11.755
2005-11-18,11.765
2005-11-21,11.75
2005-11-22,11.675
2005-11-23,11.475
2005-11-25,11.515
2005-11-28,11.28
2005-11-29,11.135
2005-11-30,10.385
2005-12-01,10.795
2005-12-02,10.75
2005-12-05,10.615
2005-12-06,10.67
2005-12-07,10.855
2005-12-08,10.705
2005-12-09,10.655
2005-12-12,10.67
2005-12-13,10.68
2005-12-14,10.595
2005-12-15,10.58
2005-12-16,10.55
2005-12-19,10.37
2005-12-20,10.6
2005-12-21,10.455
2005-12-22,10.34
2005-12-23,10.375
2005-12-27,10.425
2005-12-28,10.45
2005-12-29,10.615
2005-12-30,10.6
2006-01-03,10.495
2006-01-04,10.485
2006-01-05,10.44
2006-01-06,10.46
2006-01-09,10.35
2006-01-10,10.195
2006-01-11,10.355
2006-01-12,10.375
2006-01-13,10.405
2006-01-17,10.205
2006-01-18,10.22
2006-01-19,10.34
2006-01-20,10.215
2006-01-23,10.205
2006-01-24,10.15
2006-01-25,10.09
2006-01-26,10.125
2006-01-27,10.025
2006-01-30,10.105
2006-01-31,10.11
2006-02-01,10.125
2006-02-02,9.96
2006-02-03,9.675
2006-02-06,9.56
2006-02-07,9.495
2006-02-08,9.455
2006-02-09,9.58
2006-02-10,9.545
2006-02-13,9.625
2006-02-14,9.73
2006-02-15,9.695
2006-02-16,9.8
2006-02-17,9.8
2006-02-21,9.73
2006-02-22,9.7
2006-02-23,9.7
2006-02-24,9.745
2006-02-27,9.96
2006-02-28,9.7
2006-03-01,9.615
2006-03-02,9.73
2006-03-03,9.765
2006-03-06,9.675
2006-03-07,9.595
2006-03-08,9.555
2006-03-09,9.49
2006-03-10,9.375
2006-03-13,9.34
2006-03-14,9.27
2006-03-15,9.175
2006-03-16,8.95
2006-03-17,8.775
2006-03-20,8.8
2006-03-21,8.8
2006-03-22,8.925
2006-03-23,9.485
2006-03-24,9.495
2006-03-27,9.425
2006-03-28,9.245
2006-03-29,9.47
2006-03-30,9.665
2006-03-31,9.875
2006-04-03,10.07
2006-04-04,10.13
2006-04-05,10.115
2006-04-06,10.165
2006-04-07,10.12
2006-04-10,9.99
2006-04-11,10.075
2006-04-12,10.125
2006-04-13,10.14
2006-04-17,9.95
2006-04-18,10.02
2006-04-19,10.055
2006-04-20,10.035
2006-04-21,10.005
2006-04-24,9.925
2006-04-25,9.9
2006-04-26,9.935
2006-04-27,9.94
2006-04-28,9.985
2006-05-01,9.98
2006-05-02,9.96
2006-05-03,9.885
2006-05-04,9.975
2006-05-05,10.295
2006-05-08,10.245
2006-05-09,10.285
2006-05-10,10.4
2006-05-11,10.595
2006-05-12,10.735
