Date,WDC
1978-10-31,1.125
1978-11-01,1.1875
1978-11-02,1.3125
1978-11-03,1.3125
1978-11-06,1.5625
1978-11-07,1.5
1978-11-08,1.5625
1978-11-09,1.5625
1978-11-10,1.5625
1978-11-13,1.5
1978-11-14,1.375
1978-11-15,1.1875
1978-11-16,1.1875
1978-11-17,1.125
1978-11-20,1.3125
1978-11-21,1.1875
1978-11-22,1.1875
1978-11-24,1.125
1978-11-27,1.125
1978-11-28,1.125
1978-11-29,1.0625
1978-11-30,1.0625
1978-12-01,1.0625
1978-12-04,1.0625
1978-12-05,1.0625
1978-12-06,1.0
1978-12-07,1.0
1978-12-08,1.0
1978-12-11,1.0
1978-12-12,1.0
1978-12-13,0.9375
1978-12-14,0.875
1978-12-15,0.75
1978-12-18,0.6875
1978-12-19,0.75
1978-12-20,0.75
1978-12-21,0.8125
1978-12-22,1.0
1978-12-26,1.0
1978-12-27,0.9375
1978-12-28,0.9375
1978-12-29,0.9375
1979-01-02,0.9375
1979-01-03,0.9375
1979-01-04,1.0
1979-01-05,0.9375
1979-01-08,0.9375
1979-01-09,0.9375
1979-01-10,0.9375
1979-01-11,0.9375
1979-01-12,1.125
1979-01-15,1.125
1979-01-16,1.0625
1979-01-17,1.0
1979-01-18,1.0
1979-01-19,1.0625
1979-01-22,1.125
1979-01-23,1.25
1979-01-24,1.375
1979-01-25,1.5625
1979-01-26,1.4375
1979-01-29,1.5
1979-01-30,1.4375
1979-01-31,1.4375
1979-02-01,1.4375
1979-02-02,1.4375
1979-02-05,1.3125
1979-02-06,1.375
1979-02-07,1.375
1979-02-08,1.375
1979-02-09,1.375
1979-02-12,1.375
1979-02-13,1.3125
1979-02-14,1.3125
1979-02-15,1.3125
1979-02-16,1.3125
1979-02-20,1.25
1979-02-21,1.25
1979-02-22,1.1875
1979-02-23,1.25
1979-02-26,1.1875
1979-02-27,1.125
1979-02-28,1.125
1979-03-01,1.0625
1979-03-02,1.25
1979-03-05,1.25
1979-03-06,1.1875
1979-03-07,1.125
1979-03-08,1.125
1979-03-09,1.125
1979-03-12,1.1875
1979-03-13,1.125
1979-03-14,1.125
1979-03-15,1.0625
1979-03-16,1.0625
1979-03-19,1.0625
1979-03-20,1.125
1979-03-21,1.25
1979-03-22,1.25
1979-03-23,1.375
1979-03-26,1.5625
1979-03-27,1.75
1979-03-28,1.5
1979-03-29,1.625
1979-03-30,1.6875
1979-04-02,1.625
1979-04-03,1.6875
1979-04-04,1.75
1979-04-05,1.625
1979-04-06,1.6875
1979-04-09,1.625
1979-04-10,1.625
1979-04-11,1.5625
1979-04-12,1.5
1979-04-16,1.4375
1979-04-17,1.375
1979-04-18,1.375
1979-04-19,1.4375
1979-04-20,1.5
1979-04-23,1.5
1979-04-24,1.5
1979-04-25,1.5625
1979-04-26,1.5625
1979-04-27,1.5625
1979-04-30,1.5625
1979-05-01,1.5
1979-05-02,1.5
1979-05-03,1.5
1979-05-04,1.5
1979-05-07,1.4375
1979-05-08,1.4375
1979-05-09,1.5
1979-05-10,1.4375
1979-05-11,1.5
1979-05-14,1.4375
1979-05-15,1.4375
1979-05-16,1.4375
1979-05-17,1.4375
1979-05-18,1.4375
1979-05-21,1.4375
1979-05-22,1.4375
1979-05-23,1.4375
1979-05-24,1.4375
1979-05-25,1.5
1979-05-29,1.5
1979-05-30,1.5
1979-05-31,1.5
1979-06-01,1.5
1979-06-04,1.5
1979-06-05,1.4375
1979-06-06,1.375
1979-06-07,1.375
1979-06-08,1.375
1979-06-11,1.4375
1979-06-12,1.4375
1979-06-13,1.3125
1979-06-14,1.3125
1979-06-15,1.3125
1979-06-18,1.3125
1979-06-19,1.3125
1979-06-20,1.3125
1979-06-21,1.25
1979-06-22,1.3125
1979-06-25,1.3125
1979-06-26,1.3125
1979-06-27,1.3125
