Date,TCOM
2003-12-09,2.12125
2003-12-10,2.031875
2003-12-11,2.10625
2003-12-12,2.455625
2003-12-15,2.15625
2003-12-16,2.066875
2003-12-17,2.003125
2003-12-18,1.88125
2003-12-19,1.78125
2003-12-22,2.024375
2003-12-23,2.036875
2003-12-24,2.061875
2003-12-26,2.11875
2003-12-29,2.01125
2003-12-30,2.05875
2003-12-31,2.125625
2004-01-02,2.375
2004-01-05,2.45125
2004-01-06,2.3375
2004-01-07,2.3625
2004-01-08,2.293125
2004-01-09,2.201875
2004-01-12,2.140625
2004-01-13,2.166875
2004-01-14,2.198125
2004-01-15,2.16875
2004-01-16,2.1275
2004-01-20,2.186875
2004-01-21,2.061875
2004-01-22,2.020625
2004-01-23,2.03125
2004-01-26,2.07375
2004-01-27,1.991875
2004-01-28,1.7925
2004-01-29,1.818125
2004-01-30,1.8125
2004-02-02,1.810625
2004-02-03,1.76875
2004-02-04,1.709375
2004-02-05,1.6325
2004-02-06,1.64375
2004-02-09,1.78625
2004-02-10,1.78125
2004-02-11,1.8125
2004-02-12,1.78
2004-02-13,1.7775
2004-02-17,1.801875
2004-02-18,2.01625
2004-02-19,2.03625
2004-02-20,1.9425
2004-02-23,2.048125
2004-02-24,1.76875
2004-02-25,1.755
2004-02-26,1.83125
2004-02-27,1.825625
2004-03-01,1.8125
2004-03-02,1.890625
2004-03-03,1.88
2004-03-04,1.90625
2004-03-05,1.951875
2004-03-08,1.940625
2004-03-09,1.94
2004-03-10,1.915625
2004-03-11,1.81875
2004-03-12,1.913125
2004-03-15,1.855625
2004-03-16,1.833125
2004-03-17,1.895625
2004-03-18,1.905625
2004-03-19,1.876875
2004-03-22,1.819375
2004-03-23,1.81875
2004-03-24,1.71875
2004-03-25,1.78125
2004-03-26,1.7725
2004-03-29,1.765
2004-03-30,1.755
2004-03-31,1.778125
2004-04-01,1.795625
2004-04-02,1.790625
2004-04-05,1.76
2004-04-06,1.734375
2004-04-07,1.724375
2004-04-08,1.790625
2004-04-12,1.83125
2004-04-13,1.78375
2004-04-14,1.73
2004-04-15,1.75
2004-04-16,1.749375
2004-04-19,1.736875
2004-04-20,1.7375
2004-04-21,1.7375
2004-04-22,1.755625
2004-04-23,1.7675
2004-04-26,1.735625
2004-04-27,1.90125
2004-04-28,1.925
2004-04-29,1.721875
2004-04-30,1.8125
2004-05-03,1.78875
2004-05-04,1.795625
2004-05-05,1.7625
2004-05-06,1.58125
2004-05-07,1.5
2004-05-10,1.46875
2004-05-11,1.551875
2004-05-12,1.546875
2004-05-13,1.53125
2004-05-14,1.5125
2004-05-17,1.5
2004-05-18,1.515
2004-05-19,1.57625
2004-05-20,1.559375
2004-05-21,1.5625
2004-05-24,1.56875
2004-05-25,1.6475
2004-05-26,1.65625
2004-05-27,1.671875
2004-05-28,1.68625
2004-06-01,1.685
2004-06-02,1.78125
2004-06-03,1.7075
2004-06-04,1.706875
2004-06-07,1.743125
2004-06-08,1.758125
2004-06-09,1.79
2004-06-10,1.8125
2004-06-14,2.141875
2004-06-15,2.13375
2004-06-16,2.146875
2004-06-17,2.1775
2004-06-18,2.16375
2004-06-21,2.06625
2004-06-22,2.04
2004-06-23,2.013125
2004-06-24,2.124375
2004-06-25,2.14875
2004-06-28,2.146875
2004-06-29,2.11125
2004-06-30,2.124375
2004-07-01,2.121875
2004-07-02,2.25
2004-07-06,2.2125
2004-07-07,2.15625
2004-07-08,2.09375
2004-07-09,2.071875
2004-07-12,2.0
2004-07-13,2.015
2004-07-14,1.99125
2004-07-15,2.063125
2004-07-16,2.0325
2004-07-19,2.050625
2004-07-20,2.095
2004-07-21,2.096875
2004-07-22,2.096875
2004-07-23,2.0625
2004-07-26,2.03125
2004-07-27,2.145625
2004-07-28,2.16875
2004-07-29,2.16875
2004-07-30,2.1875
