Date,NVDA
1999-01-22,1.640625
1999-01-25,1.8125
1999-01-26,1.671875
1999-01-27,1.666667
1999-01-28,1.661458
1999-01-29,1.583333
1999-02-01,1.614583
1999-02-02,1.489583
1999-02-03,1.520833
1999-02-04,1.604167
1999-02-05,1.651042
1999-02-08,1.59375
1999-02-09,1.53125
1999-02-10,1.515625
1999-02-11,1.645833
1999-02-12,1.739583
1999-02-16,1.75
1999-02-17,1.65625
1999-02-18,1.682292
1999-02-19,1.739583
1999-02-22,1.75
1999-02-23,1.833333
1999-02-24,1.979167
1999-02-25,1.916667
1999-02-26,1.828125
1999-03-01,1.838542
1999-03-02,1.822917
1999-03-03,1.697917
1999-03-04,1.661458
1999-03-05,1.755208
1999-03-08,1.78125
1999-03-09,1.838542
1999-03-10,1.807292
1999-03-11,1.729167
1999-03-12,1.697917
1999-03-15,1.770833
1999-03-16,1.713542
1999-03-17,1.723958
1999-03-18,1.744792
1999-03-19,1.75
1999-03-22,1.697917
1999-03-23,1.59375
1999-03-24,1.583333
1999-03-25,1.604167
1999-03-26,1.744792
1999-03-29,1.796875
1999-03-30,1.645833
1999-03-31,1.760417
1999-04-01,1.708333
1999-04-05,1.65625
1999-04-06,1.614583
1999-04-07,1.75
1999-04-08,1.78125
1999-04-09,1.75
1999-04-12,1.677083
1999-04-13,1.609375
1999-04-14,1.5625
1999-04-15,1.604167
1999-04-16,1.65625
1999-04-19,1.583333
1999-04-20,1.552083
1999-04-21,1.578125
1999-04-22,1.510417
1999-04-23,1.4375
1999-04-26,1.364583
1999-04-27,1.510417
1999-04-28,1.5
1999-04-29,1.5
1999-04-30,1.520833
1999-05-03,1.53125
1999-05-04,1.447917
1999-05-05,1.479167
1999-05-06,1.450521
1999-05-07,1.458333
1999-05-10,1.458333
1999-05-11,1.536458
1999-05-12,1.583333
1999-05-13,1.583333
1999-05-14,1.5
1999-05-17,1.572917
1999-05-18,1.645833
1999-05-19,1.572917
1999-05-20,1.447917
1999-05-21,1.416667
1999-05-24,1.411458
1999-05-25,1.421875
1999-05-26,1.416667
1999-05-27,1.40625
1999-05-28,1.421875
1999-06-01,1.427083
1999-06-02,1.375
1999-06-03,1.411458
1999-06-04,1.421875
1999-06-07,1.4375
1999-06-08,1.473958
1999-06-09,1.5
1999-06-10,1.505208
1999-06-11,1.473958
1999-06-14,1.416667
1999-06-15,1.416667
1999-06-16,1.458333
1999-06-17,1.416667
1999-06-18,1.364583
1999-06-21,1.4375
1999-06-22,1.411458
1999-06-23,1.4375
1999-06-24,1.40625
1999-06-25,1.427083
1999-06-28,1.447917
1999-06-29,1.463542
1999-06-30,1.59375
1999-07-01,1.510417
1999-07-02,1.619792
1999-07-06,1.625
1999-07-07,1.59375
1999-07-08,1.630208
1999-07-09,1.768229
1999-07-12,1.848958
1999-07-13,1.854167
1999-07-14,1.78125
1999-07-15,1.791667
1999-07-16,1.828125
1999-07-19,1.78125
1999-07-20,1.75
1999-07-21,1.697917
1999-07-22,1.619792
1999-07-23,1.619792
1999-07-26,1.625
1999-07-27,1.630208
1999-07-28,1.65625
1999-07-29,1.671875
1999-07-30,1.677083
1999-08-02,1.692708
1999-08-03,1.651042
1999-08-04,1.651042
1999-08-05,1.677083
1999-08-06,1.677083
1999-08-09,1.677083
1999-08-10,1.708333
1999-08-11,1.822917
1999-08-12,1.911458
1999-08-13,1.890625
1999-08-16,1.817708
1999-08-17,1.822917
1999-08-18,1.864583
1999-08-19,2.260417
1999-08-20,2.239583
1999-08-23,2.104167
1999-08-24,2.09375
1999-08-25,2.083333
1999-08-26,2.052083
1999-08-27,2.166667
1999-08-30,2.1588540000000003
1999-08-31,2.34375
1999-09-01,2.234375
1999-09-02,2.208333
1999-09-03,2.223958
1999-09-07,2.213542
1999-09-08,2.208333
1999-09-09,2.177083
1999-09-10,2.208333
1999-09-13,2.135417
1999-09-14,2.072917
1999-09-15,2.088542
1999-09-16,2.036458
1999-09-17,2.03125
1999-09-20,1.958333
1999-09-21,1.770833
1999-09-22,1.8125
1999-09-23,1.661458
1999-09-24,1.510417
1999-09-27,1.604167
1999-09-28,1.75
1999-09-29,1.609375
1999-09-30,1.604167
1999-10-01,1.59375
1999-10-04,1.625
1999-10-05,1.78125
1999-10-06,1.994792
1999-10-07,1.864583
1999-10-08,1.958333
1999-10-11,1.90625
1999-10-12,1.880208
1999-10-13,1.828125
1999-10-14,1.791667
1999-10-15,1.78125
1999-10-18,1.6875
1999-10-19,1.619792
1999-10-20,1.677083
1999-10-21,1.755208
1999-10-22,1.796875
1999-10-25,1.708333
1999-10-26,1.875
1999-10-27,1.791667
1999-10-28,1.708333
1999-10-29,1.84375
1999-11-01,1.958333
1999-11-02,2.083333
1999-11-03,2.286458
1999-11-04,2.432292
1999-11-05,2.354167
1999-11-08,2.421875
1999-11-09,2.385417
1999-11-10,2.364583
1999-11-11,2.53125
1999-11-12,2.666667
1999-11-15,2.614583
1999-11-16,2.864583
1999-11-17,2.973958
1999-11-18,2.984375
1999-11-19,3.572917
1999-11-22,3.567708
1999-11-23,3.3125
1999-11-24,3.208333
1999-11-26,3.1875
1999-11-29,3.072917
1999-11-30,2.885417
1999-12-01,3.03125
1999-12-02,3.255208
1999-12-03,3.177083
1999-12-06,3.265625
1999-12-07,3.15625
1999-12-08,3.296875
1999-12-09,3.197917
1999-12-10,3.161458
1999-12-13,3.151042
1999-12-14,3.098958
1999-12-15,3.0
1999-12-16,2.979167
1999-12-17,3.135417
1999-12-20,3.395833
1999-12-21,3.541667
1999-12-22,3.625
1999-12-23,3.864583
1999-12-27,3.71875
1999-12-28,3.708333
1999-12-29,3.833333
1999-12-30,3.864583
1999-12-31,3.911458
2000-01-03,3.901042
2000-01-04,3.796875
2000-01-05,3.671875
2000-01-06,3.432292
2000-01-07,3.489583
2000-01-10,3.604167
2000-01-11,3.458333
2000-01-12,3.369792
2000-01-13,3.510417
2000-01-14,3.661458
2000-01-18,3.817708
2000-01-19,3.78125
2000-01-20,3.770833
2000-01-21,3.729167
2000-01-24,3.5625
2000-01-25,3.53125
2000-01-26,3.385417
2000-01-27,3.208333
2000-01-28,3.114583
2000-01-31,3.088542
2000-02-01,3.161458
2000-02-02,3.25
2000-02-03,3.302083
2000-02-04,3.380208
2000-02-07,3.171875
2000-02-08,3.322917
2000-02-09,3.40625
2000-02-10,4.1041669999999995
2000-02-11,4.1666669999999995
2000-02-14,4.8333330000000005
2000-02-15,4.6458330000000005
2000-02-16,4.859375
2000-02-17,5.03125
2000-02-18,5.6145830000000005
2000-02-22,5.4583330000000005
2000-02-23,5.4895830000000005
2000-02-24,5.4375
2000-02-25,5.0989580000000005
2000-02-28,5.0625
2000-02-29,5.3333330000000005
2000-03-01,5.1770830000000005
2000-03-02,4.828125
2000-03-03,4.90625
2000-03-06,4.875
2000-03-07,6.9427080000000005
2000-03-08,7.0
2000-03-09,8.358073
2000-03-10,9.833333
2000-03-13,12.4375
2000-03-14,9.177083
2000-03-15,8.802083
2000-03-16,7.847656
2000-03-17,8.322917
2000-03-20,8.317708
2000-03-21,7.90625
2000-03-22,7.9635419999999995
2000-03-23,8.104167
2000-03-24,7.765625
2000-03-27,7.2552080000000005
2000-03-28,6.7135419999999995
2000-03-29,6.2708330000000005
2000-03-30,6.234375
2000-03-31,7.0403649999999995
2000-04-03,6.4895830000000005
2000-04-04,6.25
2000-04-05,7.640625
2000-04-06,7.9947919999999995
2000-04-07,8.546875
2000-04-10,7.7916669999999995
2000-04-11,7.328125
2000-04-12,6.5677080000000005
2000-04-13,6.2864580000000005
2000-04-14,5.733073
2000-04-17,6.0260419999999995
2000-04-18,7.09375
2000-04-19,6.7552080000000005
2000-04-20,6.71875
2000-04-24,6.3854169999999995
2000-04-25,7.0833330000000005
2000-04-26,7.0104169999999995
2000-04-27,7.5833330000000005
2000-04-28,7.4270830000000005
2000-05-01,7.6666669999999995
2000-05-02,7.3697919999999995
2000-05-03,7.25
2000-05-04,7.3385419999999995
2000-05-05,7.6770830000000005
2000-05-08,7.3958330000000005
2000-05-09,7.2916669999999995
2000-05-10,6.5729169999999995
2000-05-11,6.8541669999999995
2000-05-12,6.6458330000000005
