Date,IT
1993-10-05,3.21875
1993-10-06,3.1875
1993-10-07,3.1875
1993-10-08,3.1875
1993-10-11,3.125
1993-10-12,3.09375
1993-10-13,3.125
1993-10-14,3.125
1993-10-15,3.15625
1993-10-18,3.28125
1993-10-19,3.390625
1993-10-20,3.28125
1993-10-21,3.28125
1993-10-22,3.28125
1993-10-25,3.3125
1993-10-26,3.28125
1993-10-27,3.34375
1993-10-28,3.34375
1993-10-29,3.28125
1993-11-01,3.4375
1993-11-02,3.390625
1993-11-03,3.53125
1993-11-04,3.5625
1993-11-05,3.5625
1993-11-08,3.59375
1993-11-09,3.5
1993-11-10,3.578125
1993-11-11,3.84375
1993-11-12,3.953125
1993-11-15,3.9375
1993-11-16,4.078125
1993-11-17,4.125
1993-11-18,3.96875
1993-11-19,3.8125
1993-11-22,3.71875
1993-11-23,3.734375
1993-11-24,3.71875
1993-11-26,3.78125
1993-11-29,3.78125
1993-11-30,3.84375
1993-12-01,3.875
1993-12-02,3.84375
1993-12-03,3.921875
1993-12-06,3.90625
1993-12-07,3.96875
1993-12-08,3.90625
1993-12-09,3.90625
1993-12-10,3.90625
1993-12-13,3.84375
1993-12-14,3.90625
1993-12-15,3.9375
1993-12-16,4.09375
1993-12-17,4.0625
1993-12-20,4.21875
1993-12-21,4.34375
1993-12-22,4.375
1993-12-23,4.40625
1993-12-27,4.40625
1993-12-28,4.40625
1993-12-29,4.40625
1993-12-30,4.28125
1993-12-31,4.3125
1994-01-03,4.34375
1994-01-04,4.5625
1994-01-05,4.6875
1994-01-06,4.78125
1994-01-07,4.78125
1994-01-10,4.8125
1994-01-11,4.828125
1994-01-12,4.6875
1994-01-13,4.75
1994-01-14,4.5625
1994-01-17,4.625
1994-01-18,4.53125
1994-01-19,4.59375
1994-01-20,4.46875
1994-01-21,4.625
1994-01-24,4.78125
1994-01-25,4.671875
1994-01-26,4.71875
1994-01-27,5.0
1994-01-28,4.96875
1994-01-31,5.1875
1994-02-01,5.25
1994-02-02,5.125
1994-02-03,5.0625
1994-02-04,4.78125
1994-02-07,4.9375
1994-02-08,5.03125
1994-02-09,5.0625
1994-02-10,5.03125
1994-02-11,4.90625
1994-02-14,5.0
1994-02-15,5.0625
1994-02-16,5.21875
1994-02-17,5.15625
1994-02-18,5.1875
1994-02-22,5.0
1994-02-23,5.0
1994-02-24,4.890625
1994-02-25,5.03125
1994-02-28,5.25
1994-03-01,5.1875
1994-03-02,4.96875
1994-03-03,5.109375
1994-03-04,5.125
1994-03-07,5.15625
1994-03-08,5.1875
1994-03-09,5.15625
1994-03-10,5.03125
1994-03-11,4.9375
1994-03-14,4.9375
1994-03-15,5.03125
1994-03-16,4.9375
1994-03-17,4.96875
1994-03-18,4.9375
1994-03-21,5.0
1994-03-22,4.90625
1994-03-23,4.90625
1994-03-24,4.71875
1994-03-25,4.71875
1994-03-28,4.625
1994-03-29,4.5625
1994-03-30,4.21875
1994-03-31,4.25
1994-04-04,4.15625
1994-04-05,4.34375
1994-04-06,4.46875
1994-04-07,4.46875
1994-04-08,4.46875
1994-04-11,4.46875
1994-04-12,4.3125
1994-04-13,4.25
1994-04-14,4.21875
1994-04-15,4.34375
1994-04-18,4.3125
1994-04-19,4.21875
1994-04-20,4.21875
1994-04-21,4.375
1994-04-22,4.359375
1994-04-25,4.375
1994-04-26,4.375
1994-04-28,4.375
1994-04-29,4.375
1994-05-02,4.25
1994-05-03,4.1875
1994-05-04,4.3125
1994-05-05,4.375
1994-05-06,4.3125
1994-05-09,4.390625
1994-05-10,4.59375
1994-05-11,4.46875
1994-05-12,4.5
1994-05-13,4.5
1994-05-16,4.46875
1994-05-17,4.5
1994-05-18,4.5
1994-05-19,4.5
1994-05-20,4.5
1994-05-23,4.5625
1994-05-24,4.5
1994-05-25,4.6875
1994-05-26,4.6875
1994-05-27,4.8125
1994-05-31,4.90625
1994-06-01,5.0
1994-06-02,5.1875
1994-06-03,5.40625
1994-06-06,5.40625
1994-06-07,5.625
1994-06-08,5.40625
1994-06-09,5.15625
1994-06-10,5.25
1994-06-13,5.28125
1994-06-14,5.1875
1994-06-15,5.15625
1994-06-16,5.21875
1994-06-17,5.25
1994-06-20,5.15625
1994-06-21,5.0625
1994-06-22,5.03125
1994-06-23,5.09375
1994-06-24,5.125
1994-06-27,5.0625
1994-06-28,5.28125
1994-06-29,5.78125
1994-06-30,5.59375
1994-07-01,5.625
1994-07-05,5.75
1994-07-06,5.71875
1994-07-07,5.84375
1994-07-08,5.859375
1994-07-11,5.78125
1994-07-12,5.84375
1994-07-13,6.0
1994-07-14,6.03125
1994-07-15,6.0625
1994-07-18,6.09375
1994-07-19,5.90625
1994-07-20,5.6875
1994-07-21,5.75
1994-07-22,5.875
1994-07-25,5.875
1994-07-26,5.859375
1994-07-27,5.78125
1994-07-28,5.789063
1994-07-29,6.140625
1994-08-01,6.109375
1994-08-02,6.21875
1994-08-03,6.09375
1994-08-04,6.09375
1994-08-05,6.015625
1994-08-08,5.96875
1994-08-09,5.90625
1994-08-10,5.875
1994-08-11,5.8125
1994-08-12,6.0625
1994-08-15,6.046875
1994-08-16,5.96875
1994-08-17,5.9375
1994-08-18,5.96875
1994-08-19,5.96875
1994-08-22,5.96875
1994-08-23,6.0625
1994-08-24,6.0625
1994-08-25,5.96875
1994-08-26,6.0625
1994-08-29,6.3125
1994-08-30,6.375
1994-08-31,6.40625
1994-09-01,6.25
1994-09-02,6.4375
1994-09-06,6.3125
1994-09-07,6.25
1994-09-08,6.1875
1994-09-09,6.125
1994-09-12,6.0625
1994-09-13,5.9375
1994-09-14,5.9375
1994-09-15,6.875
1994-09-16,6.5625
1994-09-19,6.71875
1994-09-20,6.6875
1994-09-21,6.71875
1994-09-22,6.8125
1994-09-23,7.15625
1994-09-26,7.3125
1994-09-27,7.25
1994-09-28,7.25
