Date,HKHHF
2008-06-24,45.450001
2008-06-25,45.450001
2008-06-26,45.66
2008-06-27,46.0
2008-06-30,46.0
2008-07-01,45.5
2008-07-02,45.5
2008-07-03,45.5
2008-07-07,43.549999
2008-07-08,42.5
2008-07-09,43.299999
2008-07-10,41.25
2008-07-11,41.950001
2008-07-14,42.150002
2008-07-15,41.900002
2008-07-16,41.75
2008-07-17,41.75
2008-07-18,42.099998
2008-07-21,42.099998
2008-07-22,42.099998
2008-07-23,43.75
2008-07-24,42.75
2008-07-25,42.75
2008-07-28,43.349998
2008-07-29,43.349998
2008-07-30,43.349998
2008-07-31,42.700001
2008-08-01,42.150002
2008-08-04,43.75
2008-08-05,43.75
2008-08-06,43.75
2008-08-07,43.75
2008-08-08,46.25
2008-08-11,46.5
2008-08-12,46.400002
2008-08-13,46.400002
2008-08-14,46.400002
2008-08-15,44.5
2008-08-18,44.5
2008-08-19,43.5
2008-08-20,43.5
2008-08-21,43.549999
2008-08-22,43.549999
2008-08-25,43.299999
2008-08-26,43.299999
2008-08-27,43.299999
2008-08-28,43.950001
2008-08-29,44.099998
2008-09-02,44.799999
2008-09-03,43.849998
2008-09-04,43.849998
2008-09-05,43.849998
2008-09-08,43.0
2008-09-09,43.0
2008-09-10,43.75
2008-09-11,43.75
2008-09-12,43.02
2008-09-15,42.75
2008-09-16,42.5
2008-09-17,41.75
2008-09-18,41.650002
2008-09-19,43.310001
2008-09-22,42.5
2008-09-23,43.400002
2008-09-24,42.049999
2008-09-25,43.549999
2008-09-26,41.349998
2008-09-29,40.0
2008-09-30,40.0
2008-10-01,38.720001
2008-10-02,38.720001
2008-10-03,35.75
2008-10-06,33.099998
2008-10-07,34.200001
2008-10-08,33.0
2008-10-09,33.0
2008-10-10,29.200001
2008-10-13,32.43
2008-10-14,33.400002
2008-10-15,30.0
2008-10-16,30.0
2008-10-17,31.75
2008-10-20,29.75
2008-10-21,30.700001
2008-10-22,27.549999
2008-10-23,27.85
2008-10-24,26.65
2008-10-27,25.5
2008-10-28,27.700001
2008-10-29,29.700001
2008-10-30,29.6
2008-10-31,29.75
2008-11-03,31.549999
2008-11-04,33.0
2008-11-05,30.75
2008-11-06,29.5
2008-11-07,29.1
2008-11-10,30.700001
2008-11-11,29.4
2008-11-12,28.41
2008-11-13,27.25
2008-11-14,28.200001
2008-11-17,26.9
2008-11-18,27.450001
2008-11-19,26.25
2008-11-20,24.5
2008-11-21,24.25
2008-11-24,24.85
2008-11-25,26.200001
2008-11-26,25.25
2008-11-28,26.0
2008-12-01,23.75
2008-12-02,23.75
2008-12-03,23.75
2008-12-04,24.1
2008-12-05,23.299999
2008-12-08,24.25
2008-12-09,25.0
2008-12-10,25.75
2008-12-11,27.0
2008-12-12,28.0
2008-12-15,28.26
2008-12-16,27.75
2008-12-17,28.799999
2008-12-18,28.4
2008-12-19,28.1
2008-12-22,27.0
2008-12-23,27.799999
2008-12-24,28.5
2008-12-26,28.5
2008-12-29,28.25
2008-12-30,28.0
2008-12-31,28.200001
2009-01-02,29.0
2009-01-05,29.799999
2009-01-06,29.799999
2009-01-07,29.799999
2009-01-08,30.75
2009-01-09,30.75
2009-01-12,29.4
2009-01-13,29.0
2009-01-14,29.0
2009-01-15,26.91
2009-01-16,26.91
2009-01-20,26.91
2009-01-21,28.85
2009-01-22,27.549999
2009-01-23,28.200001
2009-01-26,29.1
2009-01-27,28.75
