Date,KMX
1997-02-04,10.5625
1997-02-05,10.125
1997-02-06,10.3125
1997-02-07,10.25
1997-02-10,10.5
1997-02-11,10.5
1997-02-12,10.375
1997-02-13,10.0
1997-02-14,10.0
1997-02-18,10.0625
1997-02-19,10.0
1997-02-20,10.0
1997-02-21,10.0
1997-02-24,10.0
1997-02-25,10.0
1997-02-26,10.125
1997-02-27,10.0
1997-02-28,10.0625
1997-03-03,10.0
1997-03-04,9.5
1997-03-05,9.5625
1997-03-06,9.6875
1997-03-07,9.8125
1997-03-10,9.8125
1997-03-11,9.625
1997-03-12,9.5
1997-03-13,8.8125
1997-03-14,8.4375
1997-03-17,8.4375
1997-03-18,8.3125
1997-03-19,8.25
1997-03-20,8.4375
1997-03-21,8.3125
1997-03-24,8.125
1997-03-25,7.75
1997-03-26,7.8125
1997-03-27,7.625
1997-03-31,7.5
1997-04-01,7.3125
1997-04-02,7.3125
1997-04-03,7.4375
1997-04-04,7.5
1997-04-07,8.0
1997-04-08,7.625
1997-04-09,7.625
1997-04-10,7.625
1997-04-11,7.5
1997-04-14,7.5
1997-04-15,7.375
1997-04-16,7.4375
1997-04-17,7.5
1997-04-18,7.25
1997-04-21,7.0625
1997-04-22,7.0
1997-04-23,7.0625
1997-04-24,6.9375
1997-04-25,6.875
1997-04-28,6.75
1997-04-29,7.0
1997-04-30,7.5
1997-05-01,7.5625
1997-05-02,7.375
1997-05-05,7.5
1997-05-06,7.5
1997-05-07,7.9375
1997-05-08,7.625
1997-05-09,7.8125
1997-05-12,8.3125
1997-05-13,8.1875
1997-05-14,7.8125
1997-05-15,7.6875
1997-05-16,7.5625
1997-05-19,7.375
1997-05-20,7.375
1997-05-21,7.4375
1997-05-22,7.4375
1997-05-23,7.5
1997-05-27,7.4375
1997-05-28,7.25
1997-05-29,7.3125
1997-05-30,7.25
1997-06-02,7.375
1997-06-03,7.3125
1997-06-04,7.1875
1997-06-05,7.25
1997-06-06,7.5
1997-06-09,7.625
1997-06-10,7.4375
1997-06-11,7.25
1997-06-12,7.3125
1997-06-13,7.25
1997-06-16,6.9375
1997-06-17,7.0
1997-06-18,7.1875
1997-06-19,7.1875
1997-06-20,7.4375
1997-06-23,7.375
1997-06-24,7.125
1997-06-25,7.0625
1997-06-26,7.03125
1997-06-27,7.03125
1997-06-30,7.15625
1997-07-01,7.03125
1997-07-02,7.21875
1997-07-03,7.28125
1997-07-07,7.1875
1997-07-08,7.0
1997-07-09,7.09375
1997-07-10,7.125
1997-07-11,7.0
1997-07-14,6.96875
1997-07-15,7.0
1997-07-16,6.875
1997-07-17,7.0
1997-07-18,6.9375
1997-07-21,6.75
1997-07-22,7.0
1997-07-23,6.9375
1997-07-24,6.6875
1997-07-25,6.78125
1997-07-28,6.90625
1997-07-29,7.25
1997-07-30,7.0
1997-07-31,7.09375
1997-08-01,7.25
1997-08-04,7.0625
1997-08-05,7.09375
1997-08-06,7.375
1997-08-07,7.21875
1997-08-08,7.0
1997-08-11,6.78125
1997-08-12,6.75
1997-08-13,6.59375
1997-08-14,6.84375
1997-08-15,6.6875
1997-08-18,6.59375
1997-08-19,6.46875
1997-08-20,6.53125
1997-08-21,6.5625
1997-08-22,6.59375
1997-08-25,6.59375
1997-08-26,6.59375
1997-08-27,6.625
1997-08-28,6.75
1997-08-29,6.875
1997-09-02,6.875
1997-09-03,6.90625
1997-09-04,7.25
1997-09-05,7.375
1997-09-08,7.4375
1997-09-09,7.34375
1997-09-10,7.40625
1997-09-11,7.34375
1997-09-12,7.0625
1997-09-15,6.5
1997-09-16,6.90625
1997-09-17,7.21875
1997-09-18,7.40625
1997-09-19,7.75
1997-09-22,7.71875
1997-09-23,7.71875
1997-09-24,8.125
1997-09-25,8.125
1997-09-26,7.96875
1997-09-29,7.71875
1997-09-30,8.28125
1997-10-01,8.5
1997-10-02,9.0625
1997-10-03,8.84375
1997-10-06,8.5625
1997-10-07,8.34375
1997-10-08,8.34375
1997-10-09,8.25
1997-10-10,8.21875
1997-10-13,8.1875
1997-10-14,8.15625
1997-10-15,8.09375
1997-10-16,7.875
1997-10-17,7.78125
1997-10-20,7.25
1997-10-21,7.5625
1997-10-22,7.625
1997-10-23,7.53125
1997-10-24,7.53125
1997-10-27,7.03125
1997-10-28,7.0
1997-10-29,7.3125
1997-10-30,6.90625
1997-10-31,6.9375
1997-11-03,7.09375
1997-11-04,7.125
1997-11-05,6.6875
1997-11-06,6.9375
1997-11-07,7.0
1997-11-10,7.0
1997-11-11,6.90625
1997-11-12,6.59375
1997-11-13,6.375
1997-11-14,6.3125
1997-11-17,6.59375
1997-11-18,6.5625
1997-11-19,6.4375
1997-11-20,6.625
1997-11-21,6.4375
1997-11-24,6.125
1997-11-25,5.875
1997-11-26,5.71875
1997-11-28,5.96875
1997-12-01,6.0
1997-12-02,5.875
1997-12-03,5.59375
1997-12-04,5.3125
1997-12-05,4.96875
1997-12-08,4.75
1997-12-09,4.53125
1997-12-10,4.46875
1997-12-11,4.5625
1997-12-12,4.9375
1997-12-15,4.71875
1997-12-16,4.78125
1997-12-17,4.625
1997-12-18,4.5
