Date,GLT
1980-03-17,2.052083
1980-03-18,2.010417
1980-03-19,2.020833
1980-03-20,2.0
1980-03-21,1.979167
1980-03-24,2.0
1980-03-25,1.947917
1980-03-26,1.947917
1980-03-27,1.875
1980-03-28,1.875
1980-03-31,1.947917
1980-04-01,1.979167
1980-04-02,1.96875
1980-04-03,2.0
1980-04-07,1.916667
1980-04-08,1.916667
1980-04-09,1.947917
1980-04-10,1.927083
1980-04-11,1.916667
1980-04-14,1.927083
1980-04-15,1.916667
1980-04-16,1.885417
1980-04-17,1.895833
1980-04-18,1.916667
1980-04-21,1.916667
1980-04-22,1.9375
1980-04-23,1.979167
1980-04-24,2.0
1980-04-25,2.0
1980-04-28,2.041667
1980-04-29,2.052083
1980-04-30,2.0625
1980-05-01,2.052083
1980-05-02,2.052083
1980-05-05,2.041667
1980-05-06,2.041667
1980-05-07,2.041667
1980-05-08,2.0
1980-05-09,1.96875
1980-05-12,1.979167
1980-05-13,1.989583
1980-05-14,1.96875
1980-05-15,1.979167
1980-05-16,1.979167
1980-05-19,1.90625
1980-05-20,1.90625
1980-05-21,1.927083
1980-05-22,1.90625
1980-05-23,1.979167
1980-05-27,2.0
1980-05-28,2.0
1980-05-29,1.979167
1980-05-30,1.947917
1980-06-02,1.916667
1980-06-03,1.927083
1980-06-04,1.958333
1980-06-05,1.979167
1980-06-06,1.958333
1980-06-09,2.010417
1980-06-10,2.010417
1980-06-11,2.010417
1980-06-12,2.0
1980-06-13,1.989583
1980-06-16,2.0
1980-06-17,2.0625
1980-06-18,2.104167
1980-06-19,2.104167
1980-06-20,2.135417
1980-06-23,2.072917
1980-06-24,2.072917
1980-06-25,2.0625
1980-06-26,2.052083
1980-06-27,2.0625
1980-06-30,2.052083
1980-07-01,2.083333
1980-07-02,2.072917
1980-07-03,2.09375
1980-07-07,2.09375
1980-07-08,2.104167
1980-07-09,2.114583
1980-07-10,2.104167
1980-07-11,2.104167
1980-07-14,2.083333
1980-07-15,2.114583
1980-07-16,2.114583
1980-07-17,2.125
1980-07-18,2.15625
1980-07-21,2.166667
1980-07-22,2.166667
