Date,LAD
1996-12-18,11.125
1996-12-19,11.125
1996-12-20,11.125
1996-12-23,11.375
1996-12-24,11.125
1996-12-26,11.0
1996-12-27,11.0
1996-12-30,11.0
1996-12-31,11.125
1997-01-02,11.25
1997-01-03,11.125
1997-01-06,11.125
1997-01-07,11.125
1997-01-08,11.125
1997-01-09,11.125
1997-01-10,11.25
1997-01-13,11.75
1997-01-14,12.25
1997-01-15,12.125
1997-01-16,12.25
1997-01-17,12.375
1997-01-20,12.125
1997-01-21,12.25
1997-01-22,12.125
1997-01-23,12.0
1997-01-24,12.125
1997-01-27,11.75
1997-01-28,12.0
1997-01-29,11.875
1997-01-30,11.875
1997-01-31,12.0
1997-02-03,12.5
1997-02-04,12.75
1997-02-05,12.75
1997-02-06,12.9375
1997-02-07,12.375
1997-02-10,12.375
1997-02-11,12.375
1997-02-12,12.25
1997-02-13,11.625
1997-02-14,12.0
1997-02-18,11.5
1997-02-19,11.875
1997-02-20,11.75
1997-02-21,11.5
1997-02-24,11.75
1997-02-25,11.0
1997-02-26,10.875
1997-02-27,10.625
1997-02-28,10.875
1997-03-03,11.25
1997-03-04,11.125
1997-03-05,11.0
1997-03-06,10.875
1997-03-07,11.125
1997-03-10,10.75
1997-03-11,11.0
1997-03-12,11.0
1997-03-13,11.0
1997-03-14,11.0
1997-03-17,10.9375
1997-03-18,10.875
1997-03-19,10.875
1997-03-20,11.0625
1997-03-21,10.875
1997-03-24,11.0
1997-03-25,11.0
1997-03-26,11.125
1997-03-27,11.5
1997-03-31,11.75
1997-04-01,11.75
1997-04-02,12.125
1997-04-03,12.0
1997-04-04,12.25
1997-04-07,12.125
1997-04-08,12.1875
1997-04-09,12.125
1997-04-10,12.0
1997-04-11,12.125
1997-04-14,11.875
1997-04-15,11.875
1997-04-16,11.875
1997-04-17,12.0
1997-04-18,11.875
1997-04-21,11.875
1997-04-22,11.875
1997-04-23,12.0
1997-04-24,12.0
1997-04-25,11.75
1997-04-28,11.5
1997-04-29,11.125
1997-04-30,11.25
1997-05-01,10.375
1997-05-02,9.875
1997-05-05,10.25
1997-05-06,10.5
1997-05-07,10.0
1997-05-08,9.875
1997-05-09,9.875
1997-05-12,10.0
1997-05-13,9.625
1997-05-14,9.75
1997-05-15,9.75
1997-05-16,10.0
1997-05-19,10.5
1997-05-20,10.5
1997-05-21,10.125
1997-05-22,10.25
1997-05-23,10.25
1997-05-27,10.75
1997-05-28,11.25
1997-05-29,11.125
1997-05-30,12.0
1997-06-02,11.875
1997-06-03,11.875
1997-06-04,11.75
1997-06-05,12.0
1997-06-06,11.875
1997-06-09,11.875
1997-06-10,12.125
1997-06-11,11.75
1997-06-12,11.9375
1997-06-13,12.125
1997-06-16,11.9375
1997-06-17,11.75
1997-06-18,11.75
1997-06-19,11.75
1997-06-20,12.0
1997-06-23,11.75
1997-06-24,11.75
1997-06-25,11.5
1997-06-26,11.5
1997-06-27,11.5
1997-06-30,11.0
1997-07-01,11.0
1997-07-02,11.0
1997-07-03,10.5
1997-07-07,10.75
1997-07-08,11.0
1997-07-09,10.625
1997-07-10,10.75
1997-07-11,11.0
1997-07-14,10.625
1997-07-15,10.625
1997-07-16,10.625
1997-07-17,11.125
1997-07-18,11.125
1997-07-21,11.25
1997-07-22,11.25
1997-07-23,11.0
1997-07-24,10.875
1997-07-25,10.875
1997-07-28,10.875
1997-07-29,11.125
1997-07-30,11.25
1997-07-31,11.0
1997-08-01,11.0
1997-08-04,11.0
1997-08-05,10.875
1997-08-06,10.875
1997-08-07,11.0
1997-08-08,11.0
1997-08-11,11.125
1997-08-12,10.5
1997-08-13,10.5
1997-08-14,10.75
1997-08-15,10.75
1997-08-18,10.5
1997-08-19,11.0
1997-08-20,11.0
1997-08-21,10.75
1997-08-22,10.8125
1997-08-25,11.0
1997-08-26,11.0
1997-08-27,11.0
1997-08-28,11.375
1997-08-29,11.75
1997-09-02,11.625
1997-09-03,11.625
1997-09-04,11.875
1997-09-05,11.75
1997-09-08,12.75
1997-09-09,12.625
1997-09-10,13.875
1997-09-11,14.0
1997-09-12,14.0
1997-09-15,13.75
1997-09-16,13.125
1997-09-17,13.25
1997-09-18,12.75
1997-09-19,13.25
1997-09-22,12.875
1997-09-23,13.125
1997-09-24,13.5
1997-09-25,13.375
1997-09-26,13.75
1997-09-29,13.625
1997-09-30,13.875
1997-10-01,13.625
1997-10-02,14.0
1997-10-03,14.0
1997-10-06,14.875
1997-10-07,15.0
1997-10-08,15.5
1997-10-09,18.75
1997-10-10,16.875
1997-10-13,16.75
1997-10-14,17.375
1997-10-15,17.0
1997-10-16,17.125
1997-10-17,17.0
1997-10-20,17.0
1997-10-21,17.25
1997-10-22,18.5
1997-10-23,18.0
1997-10-24,18.25
1997-10-27,16.5
1997-10-28,17.5
1997-10-29,17.625
1997-10-30,17.25
1997-10-31,17.375
1997-11-03,17.0
1997-11-04,17.0
1997-11-05,17.25
1997-11-06,17.0
1997-11-07,17.0
1997-11-10,17.0
1997-11-11,17.25
1997-11-12,17.125
1997-11-13,17.25
1997-11-14,16.875
1997-11-17,17.1875
1997-11-18,16.625
1997-11-19,17.0
1997-11-20,17.0
1997-11-21,16.75
1997-11-24,16.75
1997-11-25,17.0
1997-11-26,16.0
1997-11-28,16.0
1997-12-01,15.5
1997-12-02,15.75
