Date,MLM
1994-02-17,24.625
1994-02-18,24.625
1994-02-22,24.375
1994-02-23,23.25
1994-02-24,23.0
1994-02-25,23.75
1994-02-28,23.875
1994-03-01,23.25
1994-03-02,22.75
1994-03-03,22.875
1994-03-04,23.125
1994-03-07,23.0
1994-03-08,23.0
1994-03-09,22.875
1994-03-10,22.25
1994-03-11,22.375
1994-03-14,22.25
1994-03-15,22.75
1994-03-16,22.75
1994-03-17,22.625
1994-03-18,22.875
1994-03-21,23.125
1994-03-22,23.5
1994-03-23,24.25
1994-03-24,24.0
1994-03-25,24.0
1994-03-28,24.0
1994-03-29,22.5
1994-03-30,22.125
1994-03-31,22.0
1994-04-04,21.5
1994-04-05,22.75
1994-04-06,22.875
1994-04-07,22.875
1994-04-08,22.5
1994-04-11,22.625
1994-04-12,22.125
1994-04-13,21.75
1994-04-14,21.375
1994-04-15,21.375
1994-04-18,20.5
1994-04-19,20.125
1994-04-20,19.75
1994-04-21,19.75
1994-04-22,19.75
1994-04-25,19.625
1994-04-26,20.75
1994-04-28,20.875
1994-04-29,23.0
1994-05-02,23.75
1994-05-03,23.375
1994-05-04,23.5
1994-05-05,23.375
1994-05-06,22.5
1994-05-09,22.0
1994-05-10,21.875
1994-05-11,21.375
1994-05-12,21.25
1994-05-13,20.875
1994-05-16,20.125
1994-05-17,19.875
1994-05-18,19.75
1994-05-19,19.0
1994-05-20,19.875
1994-05-23,20.125
1994-05-24,20.0
1994-05-25,20.0
1994-05-26,20.25
1994-05-27,19.75
1994-05-31,19.375
1994-06-01,19.375
1994-06-02,20.0
1994-06-03,20.875
1994-06-06,20.75
1994-06-07,21.0
1994-06-08,21.0
1994-06-09,20.875
1994-06-10,21.0
1994-06-13,21.0
1994-06-14,20.5
1994-06-15,21.625
1994-06-16,21.75
1994-06-17,22.25
1994-06-20,22.0
1994-06-21,21.75
1994-06-22,22.5
1994-06-23,21.875
1994-06-24,21.75
1994-06-27,21.75
1994-06-28,21.5
1994-06-29,21.25
1994-06-30,22.0
1994-07-01,21.5
1994-07-05,21.875
1994-07-06,21.75
1994-07-07,21.75
1994-07-08,21.875
1994-07-11,21.875
1994-07-12,22.0
1994-07-13,21.75
1994-07-14,22.0
1994-07-15,22.125
1994-07-18,21.625
1994-07-19,21.75
1994-07-20,22.0
1994-07-21,21.5
1994-07-22,21.375
1994-07-25,21.625
1994-07-26,22.0
1994-07-27,21.5
1994-07-28,21.875
1994-07-29,22.0
1994-08-01,22.0
1994-08-02,22.0
1994-08-03,21.875
1994-08-04,21.875
1994-08-05,21.875
1994-08-08,21.625
1994-08-09,21.25
1994-08-10,21.375
1994-08-11,21.0
1994-08-12,21.0
1994-08-15,20.75
1994-08-16,19.75
1994-08-17,20.0
1994-08-18,19.625
1994-08-19,19.875
1994-08-22,19.75
1994-08-23,20.125
1994-08-24,20.375
1994-08-25,20.125
1994-08-26,19.375
1994-08-29,20.0
1994-08-30,19.875
1994-08-31,19.5
1994-09-01,19.75
1994-09-02,19.875
1994-09-06,20.25
1994-09-07,20.0
1994-09-08,20.0
1994-09-09,19.875
1994-09-12,19.75
1994-09-13,19.5
1994-09-14,19.5
1994-09-15,19.875
1994-09-16,19.875
1994-09-19,19.875
1994-09-20,19.5
1994-09-21,19.5
1994-09-22,19.0
1994-09-23,19.0
1994-09-26,19.375
1994-09-27,19.0
1994-09-28,19.375
1994-09-29,19.5
1994-09-30,20.0
1994-10-03,20.125
1994-10-04,20.125
1994-10-05,20.25
1994-10-06,20.75
1994-10-07,20.75
1994-10-10,21.25
1994-10-11,21.875
1994-10-12,21.875
1994-10-13,22.0
1994-10-14,22.375
1994-10-17,22.0
1994-10-18,21.625
1994-10-19,21.625
1994-10-20,20.75
1994-10-21,20.625
1994-10-24,20.75
1994-10-25,20.25
1994-10-26,20.25
1994-10-27,20.375
1994-10-28,20.75
1994-10-31,20.625
1994-11-01,20.0
1994-11-02,20.0
1994-11-03,19.75
1994-11-04,19.875
1994-11-07,19.75
1994-11-08,20.0
1994-11-09,19.75
1994-11-10,19.75
1994-11-11,19.25
1994-11-14,19.25
1994-11-15,19.25
1994-11-16,19.25
1994-11-17,19.0
1994-11-18,19.25
1994-11-21,19.25
1994-11-22,19.125
1994-11-23,19.0
1994-11-25,19.125
1994-11-28,18.875
1994-11-29,18.625
1994-11-30,18.0
1994-12-01,18.25
1994-12-02,18.375
1994-12-05,18.625
1994-12-06,18.375
1994-12-07,18.375
1994-12-08,18.25
1994-12-09,18.375
1994-12-12,18.375
1994-12-13,18.375
1994-12-14,18.375
1994-12-15,17.5
1994-12-16,17.75
1994-12-19,17.625
1994-12-20,17.625
1994-12-21,17.125
1994-12-22,17.0
1994-12-23,17.375
1994-12-27,17.75
1994-12-28,17.75
1994-12-29,17.5
1994-12-30,17.75
1995-01-03,17.75
1995-01-04,17.0
1995-01-05,16.75
1995-01-06,17.5
1995-01-09,17.875
1995-01-10,18.375
1995-01-11,18.25
1995-01-12,18.875
1995-01-13,18.75
1995-01-16,19.0
1995-01-17,19.375
1995-01-18,19.25
