Date,SNN
1999-11-16,6.752700999999999
1999-11-17,6.865246000000001
1999-11-18,6.902761
1999-11-19,6.815225999999999
1999-11-22,6.865246000000001
1999-11-23,6.927771000000001
1999-11-24,6.902761
1999-11-26,6.902761
1999-11-29,6.865246000000001
1999-11-30,6.915266
1999-12-01,6.915266
1999-12-02,6.915266
1999-12-03,6.902761
1999-12-06,6.802721000000001
1999-12-07,6.777711
1999-12-08,6.590136
1999-12-09,6.590136
1999-12-10,6.602641
1999-12-13,6.577630999999999
1999-12-14,6.577630999999999
1999-12-15,6.702681
1999-12-16,6.702681
1999-12-17,6.652661
1999-12-20,6.702681
1999-12-21,6.740196000000001
1999-12-22,6.852741
1999-12-23,6.752700999999999
1999-12-27,6.752700999999999
1999-12-28,6.752700999999999
1999-12-29,6.752700999999999
1999-12-30,6.740196000000001
1999-12-31,6.740196000000001
2000-01-03,6.727691
2000-01-04,6.877750999999999
2000-01-05,6.890256
2000-01-06,6.890256
2000-01-07,6.927771000000001
2000-01-10,7.002801
2000-01-11,7.102841000000001
2000-01-12,7.102841000000001
2000-01-13,7.065326
2000-01-14,6.902761
2000-01-18,6.852741
2000-01-19,6.852741
2000-01-20,6.877750999999999
2000-01-21,6.802721000000001
2000-01-24,6.527611
2000-01-25,6.552621
2000-01-26,6.4275709999999995
2000-01-27,5.914866
2000-01-28,6.002401
2000-01-31,6.077431
2000-02-01,5.677271
2000-02-02,5.889856
2000-02-03,6.052421
2000-02-04,6.064926
2000-02-07,5.977391000000001
2000-02-08,5.977391000000001
2000-02-09,5.839836
2000-02-10,5.3146260000000005
2000-02-11,5.227091000000001
2000-02-14,5.227091000000001
2000-02-15,5.527211
2000-02-16,5.527211
2000-02-17,5.677271
2000-02-18,5.952381
2000-02-22,5.602241
2000-02-23,6.352541
2000-02-24,6.152461
2000-02-25,6.002401
2000-02-28,5.877351
2000-02-29,6.102441000000001
2000-03-01,6.102441000000001
2000-03-02,6.177471
2000-03-03,6.152461
2000-03-06,6.127451000000001
2000-03-07,6.164966000000001
2000-03-08,6.127451000000001
2000-03-09,5.864846
2000-03-10,5.877351
2000-03-13,5.927371
2000-03-14,5.514705999999999
2000-03-15,5.552221
2000-03-16,5.977391000000001
2000-03-17,5.764806
2000-03-20,5.802321
2000-03-21,5.927371
2000-03-22,5.939876
2000-03-23,5.952381
2000-03-24,5.939876
2000-03-27,5.939876
2000-03-28,5.964886
2000-03-29,5.964886
2000-03-30,5.902361
2000-03-31,5.927371
2000-04-03,5.927371
2000-04-04,6.052421
2000-04-05,6.114946
2000-04-06,6.2525010000000005
2000-04-07,6.202481
2000-04-10,6.2525010000000005
2000-04-11,6.302521
2000-04-12,6.277511
2000-04-13,6.277511
2000-04-14,6.002401
2000-04-17,5.902361
2000-04-18,5.764806
2000-04-19,5.752301
2000-04-20,5.764806
2000-04-24,5.739796
2000-04-25,5.864846
2000-04-26,6.039916000000001
2000-04-27,6.002401
2000-04-28,5.939876
2000-05-01,5.939876
2000-05-02,5.927371
2000-05-03,6.064926
2000-05-04,5.827331
2000-05-05,5.852341
2000-05-08,5.777311
2000-05-09,5.739796
2000-05-10,5.727291
2000-05-11,5.652261
2000-05-12,5.664766
2000-05-15,5.527211
2000-05-16,5.539716
2000-05-17,5.539716
2000-05-18,5.4521809999999995
2000-05-19,5.027011
2000-05-22,5.3521410000000005
2000-05-23,5.333384
2000-05-24,5.3146260000000005
2000-05-25,5.3146260000000005
2000-05-26,5.327131
2000-05-30,5.327131
2000-05-31,5.527211
2000-06-01,5.514705999999999
2000-06-02,5.677271
2000-06-05,5.752301
2000-06-06,5.952381
2000-06-07,5.977391000000001
2000-06-08,5.977391000000001
2000-06-09,6.039916000000001
2000-06-12,6.027411
2000-06-13,6.027411
2000-06-14,5.952381
2000-06-15,6.127451000000001
2000-06-16,6.002401
2000-06-19,5.977391000000001
2000-06-20,6.002401
2000-06-21,6.052421
2000-06-22,6.602641
2000-06-23,6.214986
2000-06-26,6.152461
2000-06-27,6.152461
2000-06-28,6.640156
2000-06-29,7.127851
2000-06-30,7.2278910000000005
2000-07-03,7.415466
2000-07-05,7.252901
2000-07-06,7.402961
2000-07-07,7.340436
2000-07-10,7.3154259999999995
2000-07-11,7.3779509999999995
2000-07-12,7.402961
2000-07-13,6.965286
