Date,NBR
1973-02-21,65.625
1973-02-22,65.625
1973-02-23,65.625
1973-02-26,62.5
1973-02-27,62.5
1973-02-28,62.5
1973-03-01,62.5
1973-03-02,62.5
1973-03-05,62.5
1973-03-06,59.375
1973-03-07,59.375
1973-03-08,59.375
1973-03-09,56.25
1973-03-12,56.25
1973-03-13,56.25
1973-03-14,53.125
1973-03-15,53.125
1973-03-16,56.25
1973-03-19,53.125
1973-03-20,53.125
1973-03-21,53.125
1973-03-22,50.0
1973-03-23,53.125
1973-03-26,56.25
1973-03-27,53.125
1973-03-28,53.125
1973-03-29,50.0
1973-03-30,50.0
1973-04-02,50.0
1973-04-03,53.125
1973-04-04,50.0
1973-04-05,50.0
1973-04-06,50.0
1973-04-09,53.125
1973-04-10,53.125
1973-04-11,53.125
1973-04-12,50.0
1973-04-13,50.0
1973-04-16,53.125
1973-04-17,53.125
1973-04-18,53.125
1973-04-19,56.25
1973-04-23,56.25
1973-04-24,53.125
1973-04-25,50.0
1973-04-26,53.125
1973-04-27,50.0
1973-04-30,53.125
1973-05-01,50.0
1973-05-02,50.0
1973-05-03,50.0
1973-05-04,53.125
1973-05-07,50.0
1973-05-08,50.0
1973-05-09,50.0
1973-05-10,46.875
1973-05-11,46.875
1973-05-14,50.0
1973-05-15,50.0
1973-05-16,46.875
1973-05-17,46.875
1973-05-18,46.875
1973-05-21,46.875
1973-05-22,46.875
1973-05-23,50.0
1973-05-24,46.875
1973-05-25,46.875
1973-05-29,46.875
1973-05-30,50.0
1973-05-31,46.875
1973-06-01,46.875
1973-06-04,46.875
1973-06-05,40.625
1973-06-06,43.75
1973-06-07,46.875
1973-06-08,43.75
1973-06-11,43.75
1973-06-12,43.75
1973-06-13,46.875
1973-06-14,43.75
1973-06-15,40.625
1973-06-18,40.625
1973-06-19,43.75
1973-06-20,43.75
1973-06-21,40.625
1973-06-22,46.875
1973-06-25,46.875
1973-06-26,50.0
1973-06-27,50.0
1973-06-28,46.875
1973-06-29,46.875
1973-07-02,46.875
