Date,TX
2006-02-01,23.370001000000002
2006-02-02,23.290001
2006-02-03,23.75
2006-02-06,23.870001000000002
2006-02-07,22.73
2006-02-08,22.190001000000002
2006-02-09,22.1
2006-02-10,22.450001
2006-02-13,21.790001
2006-02-14,21.690001000000002
2006-02-15,21.85
2006-02-16,22.5
2006-02-17,22.92
2006-02-21,22.85
2006-02-22,23.129998999999998
2006-02-23,23.379998999999998
2006-02-24,23.629998999999998
2006-02-27,23.379998999999998
2006-02-28,23.549999
2006-03-01,23.85
2006-03-02,23.77
2006-03-03,23.950001
2006-03-06,24.059998999999998
2006-03-07,22.950001
2006-03-08,23.040001
2006-03-09,23.360001
2006-03-10,24.209999
2006-03-13,24.969998999999998
2006-03-14,24.940001000000002
2006-03-15,25.48
2006-03-16,26.9
2006-03-17,26.93
2006-03-20,26.700001
2006-03-21,26.059998999999998
2006-03-22,25.6
2006-03-23,25.91
2006-03-24,26.6
2006-03-27,26.65
2006-03-28,26.950001
2006-03-29,28.459999
2006-03-30,28.0
2006-03-31,28.35
2006-04-03,27.9
2006-04-04,28.02
2006-04-05,28.0
2006-04-06,28.49
2006-04-07,27.889999
2006-04-10,28.030001000000002
2006-04-11,27.98
2006-04-12,28.0
2006-04-13,28.040001
2006-04-17,28.0
2006-04-18,27.969998999999998
2006-04-19,27.6
2006-04-20,26.75
2006-04-21,27.049999
2006-04-24,27.959999
2006-04-25,27.950001
2006-04-26,27.950001
2006-04-27,26.9
2006-04-28,26.719998999999998
2006-05-01,26.940001000000002
2006-05-02,26.57
2006-05-03,26.6
2006-05-04,25.76
2006-05-05,26.450001
2006-05-08,26.040001
2006-05-09,25.85
2006-05-10,25.75
2006-05-11,25.49
2006-05-12,24.799999
2006-05-15,23.4
2006-05-16,23.030001000000002
2006-05-17,21.6
2006-05-18,22.209999
2006-05-19,23.01
2006-05-22,21.549999
2006-05-23,22.91
2006-05-24,22.42
2006-05-25,23.549999
2006-05-26,23.940001000000002
2006-05-30,23.200001
2006-05-31,23.4
2006-06-01,24.16
2006-06-02,24.200001
2006-06-05,23.99
2006-06-06,23.1
2006-06-07,22.75
2006-06-08,22.299999
2006-06-09,21.610001
2006-06-12,21.07
2006-06-13,20.15
2006-06-14,20.43
2006-06-15,22.27
2006-06-16,22.110001
2006-06-19,21.530001000000002
2006-06-20,21.549999
2006-06-21,22.459999
2006-06-22,22.35
2006-06-23,22.469998999999998
2006-06-26,22.870001000000002
2006-06-27,22.889999
2006-06-28,23.200001
2006-06-29,24.0
2006-06-30,24.17
2006-07-03,25.01
2006-07-05,25.0
2006-07-06,24.299999
2006-07-07,23.9
2006-07-10,23.5
2006-07-11,23.6
2006-07-12,23.700001
2006-07-13,22.559998999999998
2006-07-14,22.82
2006-07-17,22.07
2006-07-18,22.200001
2006-07-19,22.950001
2006-07-20,22.9
2006-07-21,22.5
2006-07-24,22.299999
2006-07-25,23.1
2006-07-26,24.200001
2006-07-27,24.35
2006-07-28,24.75
2006-07-31,24.6
2006-08-01,23.940001000000002
2006-08-02,25.049999
2006-08-03,25.190001000000002
2006-08-04,24.9
2006-08-07,25.139999
2006-08-08,25.15
2006-08-09,24.9
2006-08-10,24.68
2006-08-11,24.5
2006-08-14,24.25
2006-08-15,24.709999
2006-08-16,24.82
2006-08-17,24.610001
2006-08-18,24.77
2006-08-21,25.02
2006-08-22,25.15
2006-08-23,24.969998999999998
2006-08-24,25.08
2006-08-25,25.16
2006-08-28,25.23
2006-08-29,25.4
2006-08-30,25.280001000000002
2006-08-31,25.209999
2006-09-01,25.129998999999998
2006-09-05,24.85
2006-09-06,24.299999
2006-09-07,24.32
2006-09-08,24.1
2006-09-11,23.18
2006-09-12,23.07
2006-09-13,23.59
2006-09-14,23.379998999999998
2006-09-15,23.27
2006-09-18,22.92
2006-09-19,22.9
2006-09-20,23.0
2006-09-21,22.780001000000002
2006-09-22,22.610001
2006-09-25,21.959999
2006-09-26,22.35
2006-09-27,22.75
2006-09-28,23.049999
2006-09-29,23.16
2006-10-02,23.440001000000002
2006-10-03,22.41
2006-10-04,21.82
2006-10-05,22.18
2006-10-06,22.030001000000002
2006-10-09,22.049999
2006-10-10,22.129998999999998
2006-10-11,22.0
2006-10-12,22.09
2006-10-13,22.9
2006-10-16,23.209999
2006-10-17,22.75
2006-10-18,22.9
2006-10-19,23.700001
2006-10-20,23.4
2006-10-23,23.879998999999998
2006-10-24,24.74
2006-10-25,24.700001
2006-10-26,25.0
2006-10-27,24.98
2006-10-30,24.48
2006-10-31,24.4
2006-11-01,24.01
2006-11-02,24.190001000000002
2006-11-03,24.549999
2006-11-06,24.870001000000002
2006-11-07,24.82
2006-11-08,24.5
2006-11-09,24.549999
2006-11-10,24.450001
2006-11-13,24.299999
2006-11-14,24.65
2006-11-15,25.01
2006-11-16,24.190001000000002
2006-11-17,23.610001
2006-11-20,23.5
2006-11-21,23.719998999999998
2006-11-22,23.73
2006-11-24,23.780001000000002
2006-11-27,23.4
2006-11-28,23.35
2006-11-29,23.76
2006-11-30,23.809998999999998
2006-12-01,23.07
2006-12-04,23.290001
2006-12-05,23.860001
2006-12-06,24.950001
2006-12-07,25.379998999999998
2006-12-08,24.99
2006-12-11,26.459999
2006-12-12,25.41
2006-12-13,26.889999
2006-12-14,26.309998999999998
2006-12-15,26.950001
2006-12-18,26.32
2006-12-19,26.379998999999998
2006-12-20,26.1
2006-12-21,29.5
2006-12-22,28.559998999999998
2006-12-26,28.200001
2006-12-27,30.0
2006-12-28,29.41
2006-12-29,29.540001
2007-01-03,28.610001
2007-01-04,28.25
2007-01-05,28.040001
2007-01-08,27.450001
