Date,CRI
2003-10-28,14.15
2003-10-29,13.905
2003-10-30,13.625
2003-10-31,14.0
2003-11-03,14.19
2003-11-04,14.295
2003-11-05,14.345
2003-11-06,14.35
2003-11-07,14.33
2003-11-10,14.275
2003-11-11,14.2
2003-11-12,14.45
2003-11-13,14.375
2003-11-14,14.2
2003-11-17,13.9
2003-11-18,13.2
2003-11-19,12.55
2003-11-20,12.37
2003-11-21,12.82
2003-11-24,13.96
2003-11-25,13.7
2003-11-26,13.535
2003-11-28,13.59
2003-12-01,13.875
2003-12-02,13.95
2003-12-03,13.2
2003-12-04,13.0
2003-12-05,12.775
2003-12-08,12.2
2003-12-09,12.3
2003-12-10,12.62
2003-12-11,12.645
2003-12-12,12.4
2003-12-15,12.4
2003-12-16,12.495
2003-12-17,12.55
2003-12-18,12.675
2003-12-19,12.675
2003-12-22,12.625
2003-12-23,12.7
2003-12-24,12.72
2003-12-26,12.95
2003-12-29,12.965
2003-12-30,12.95
2003-12-31,12.725
2004-01-02,12.57
2004-01-05,12.67
2004-01-06,12.775
2004-01-07,13.1
2004-01-08,13.125
2004-01-09,12.675
2004-01-12,12.5
2004-01-13,12.65
2004-01-14,12.525
2004-01-15,12.995
2004-01-16,13.55
2004-01-20,13.45
2004-01-21,13.525
2004-01-22,13.575
2004-01-23,13.825
2004-01-26,14.025
2004-01-27,13.905
2004-01-28,14.13
2004-01-29,14.075
2004-01-30,14.0
2004-02-02,13.95
2004-02-03,13.725
2004-02-04,13.53
2004-02-05,13.625
2004-02-06,13.83
2004-02-09,14.25
2004-02-10,14.315
2004-02-11,14.5
2004-02-12,14.43
2004-02-13,14.33
2004-02-17,14.3
2004-02-18,14.32
2004-02-19,14.2
2004-02-20,14.205
2004-02-23,14.05
2004-02-24,14.115
2004-02-25,14.35
2004-02-26,14.945
2004-02-27,15.0
2004-03-01,15.3
2004-03-02,15.2
2004-03-03,14.7
2004-03-04,14.875
2004-03-05,14.995
2004-03-08,15.0
2004-03-09,14.8
2004-03-10,14.8
2004-03-11,14.975
2004-03-12,14.965
2004-03-15,15.025
2004-03-16,15.195
2004-03-17,15.15
2004-03-18,15.125
2004-03-19,15.125
2004-03-22,14.805
2004-03-23,14.625
2004-03-24,14.57
2004-03-25,14.175
2004-03-26,14.085
2004-03-29,14.05
2004-03-30,14.05
2004-03-31,14.295
2004-04-01,14.31
2004-04-02,14.375
2004-04-05,14.345
2004-04-06,14.49
2004-04-07,14.5
2004-04-08,14.345
2004-04-12,14.325
2004-04-13,14.235
2004-04-14,14.08
2004-04-15,14.025
2004-04-16,14.33
2004-04-19,14.35
2004-04-20,14.575
2004-04-21,14.275
2004-04-22,14.5
2004-04-23,14.5
2004-04-26,14.5
2004-04-27,14.5
2004-04-28,14.725
2004-04-29,14.825
2004-04-30,15.075
2004-05-03,15.05
2004-05-04,15.04
2004-05-05,15.05
2004-05-06,14.97
2004-05-07,15.045
2004-05-10,14.945
2004-05-11,15.01
2004-05-12,15.025
2004-05-13,14.995
2004-05-14,15.0
2004-05-17,15.265
2004-05-18,15.415
2004-05-19,15.5
2004-05-20,15.6
2004-05-21,15.59
2004-05-24,15.675
2004-05-25,15.685
2004-05-26,15.605
2004-05-27,15.615
2004-05-28,15.62
2004-06-01,15.5
2004-06-02,15.015
2004-06-03,14.7
2004-06-04,14.55
2004-06-07,14.6
2004-06-08,14.485
2004-06-09,14.24
2004-06-10,14.24
2004-06-14,14.025
2004-06-15,14.05
2004-06-16,14.09
2004-06-17,14.45
2004-06-18,14.725
2004-06-21,14.745
2004-06-22,14.8
2004-06-23,14.92
2004-06-24,14.94
2004-06-25,14.605
2004-06-28,14.625
2004-06-29,14.545
2004-06-30,14.555
2004-07-01,14.61
2004-07-02,14.585
2004-07-06,14.6
2004-07-07,14.65
2004-07-08,14.655
2004-07-09,14.63
2004-07-12,14.375
2004-07-13,14.425
2004-07-14,14.375
2004-07-15,14.325
2004-07-16,14.235
2004-07-19,14.315
2004-07-20,14.105
2004-07-21,13.65
2004-07-22,12.975
2004-07-23,13.15
2004-07-26,12.85
2004-07-27,12.97
2004-07-28,13.295
2004-07-29,13.625
2004-07-30,13.645
2004-08-02,13.7
2004-08-03,13.65
2004-08-04,13.7
2004-08-05,13.745
2004-08-06,13.505
2004-08-09,13.055
2004-08-10,12.95
2004-08-11,13.57
2004-08-12,13.68
2004-08-13,13.81
2004-08-16,14.205
2004-08-17,14.38
2004-08-18,13.65
2004-08-19,13.875
2004-08-20,14.0
2004-08-23,13.65
2004-08-24,13.8
2004-08-25,13.75
2004-08-26,13.655
2004-08-27,14.13
2004-08-30,14.125
2004-08-31,13.98
2004-09-01,13.8
2004-09-02,13.63
2004-09-03,13.54
2004-09-07,13.295
2004-09-08,13.245
2004-09-09,13.3
2004-09-10,13.25
2004-09-13,13.255
2004-09-14,13.165
2004-09-15,13.175
2004-09-16,13.22
2004-09-17,12.775
2004-09-20,12.56
2004-09-21,12.53
2004-09-22,12.555
2004-09-23,13.15
2004-09-24,13.625
2004-09-27,13.51
2004-09-28,13.62
2004-09-29,13.62
2004-09-30,13.845
2004-10-01,14.05
2004-10-04,14.1
2004-10-05,14.315
2004-10-06,14.47
2004-10-07,14.48
2004-10-08,14.185
2004-10-11,14.17
2004-10-12,14.115
2004-10-13,14.26
2004-10-14,14.385
2004-10-15,14.65
2004-10-18,14.4
2004-10-19,14.44
2004-10-20,14.6
2004-10-21,14.575
2004-10-22,14.55
2004-10-25,14.72
2004-10-26,15.225
2004-10-27,16.0
2004-10-28,16.34
2004-10-29,15.73
2004-11-01,15.7
2004-11-02,15.945
2004-11-03,15.97
2004-11-04,16.475
2004-11-05,16.455
2004-11-08,16.299999
2004-11-09,16.245001000000002
2004-11-10,16.25
2004-11-11,16.485001
2004-11-12,16.950001
2004-11-15,16.99
2004-11-16,17.030001000000002
2004-11-17,17.049999
2004-11-18,16.879998999999998
2004-11-19,16.385
2004-11-22,16.334999
2004-11-23,15.86
2004-11-24,15.795
2004-11-26,15.725
2004-11-29,17.030001000000002
2004-11-30,17.549999
2004-12-01,17.395
2004-12-02,17.23
2004-12-03,17.225
2004-12-06,17.02
2004-12-07,16.504998999999998
2004-12-08,16.325001
2004-12-09,16.325001
2004-12-10,16.25
2004-12-13,15.95
2004-12-14,15.825
2004-12-15,15.775
2004-12-16,15.86
2004-12-17,16.174999
2004-12-20,16.174999
2004-12-21,16.514999
2004-12-22,16.355
2004-12-23,16.5
2004-12-27,16.58
2004-12-28,16.6
2004-12-29,16.575001
2004-12-30,16.575001
2004-12-31,16.995001000000002
2005-01-03,16.549999
2005-01-04,16.535
2005-01-05,16.355
2005-01-06,16.575001
2005-01-07,16.575001
2005-01-10,16.705
2005-01-11,16.975
2005-01-12,16.9
2005-01-13,16.549999
2005-01-14,16.915001
2005-01-18,17.365
2005-01-19,17.15
2005-01-20,17.084999
2005-01-21,17.040001
2005-01-24,16.955
2005-01-25,16.969998999999998
2005-01-26,17.35
2005-01-27,18.129998999999998
2005-01-28,17.885
2005-01-31,18.280001000000002
2005-02-01,18.135
2005-02-02,18.125
2005-02-03,18.110001
2005-02-04,18.215
2005-02-07,18.889999
2005-02-08,19.025
2005-02-09,19.4
2005-02-10,19.115
2005-02-11,19.190001000000002
2005-02-14,19.049999
2005-02-15,18.865
2005-02-16,18.77
2005-02-17,18.475
2005-02-18,18.305
2005-02-22,18.375
2005-02-23,19.700001
2005-02-24,19.790001
2005-02-25,19.725
2005-02-28,19.9
2005-03-01,19.625
2005-03-02,19.49
2005-03-03,19.495001000000002
2005-03-04,20.15
2005-03-07,20.23
2005-03-08,20.0
2005-03-09,19.85
2005-03-10,19.77
2005-03-11,20.0
2005-03-14,19.934998999999998
2005-03-15,20.344998999999998
2005-03-16,20.395
2005-03-17,20.48
2005-03-18,20.5
2005-03-21,20.42
2005-03-22,20.264999
2005-03-23,19.775
2005-03-24,19.92
2005-03-28,19.594998999999998
2005-03-29,19.125
2005-03-30,19.370001000000002
2005-03-31,19.875
2005-04-01,19.860001
2005-04-04,19.575001
2005-04-05,19.35
2005-04-06,19.295
2005-04-07,19.049999
2005-04-08,19.485001
2005-04-11,19.405001000000002
2005-04-12,20.545
2005-04-13,21.0
2005-04-14,20.875
2005-04-15,20.639999
2005-04-18,20.684998999999998
2005-04-19,20.924999
2005-04-20,21.004998999999998
2005-04-21,20.98
2005-04-22,20.85
2005-04-25,20.75
2005-04-26,20.549999
2005-04-27,19.75
2005-04-28,19.385
2005-04-29,18.860001
2005-05-02,19.205
2005-05-03,19.924999
2005-05-04,19.99
2005-05-05,20.389999
2005-05-06,21.135
2005-05-09,21.0
2005-05-10,20.475
2005-05-11,22.875
2005-05-12,22.625
2005-05-13,22.004998999999998
2005-05-16,22.674999
2005-05-17,22.82
2005-05-18,23.48
2005-05-19,23.855
2005-05-20,22.610001
2005-05-23,23.325001
2005-05-24,23.174999
2005-05-25,22.969998999999998
2005-05-26,22.9
2005-05-27,23.049999
2005-05-31,23.325001
2005-06-01,23.879998999999998
2005-06-02,23.885
2005-06-03,23.975
2005-06-06,25.129998999999998
2005-06-07,25.184998999999998
2005-06-08,24.66
2005-06-09,25.0
2005-06-10,25.049999
2005-06-13,25.735001
2005-06-14,26.299999
2005-06-15,26.26
2005-06-16,26.235001
2005-06-17,26.975
2005-06-20,26.965
2005-06-21,27.139999
2005-06-22,28.639999
2005-06-23,29.174999
2005-06-24,28.690001000000002
2005-06-27,28.575001
2005-06-28,29.74
2005-06-29,29.549999
2005-06-30,29.190001000000002
2005-07-01,29.184998999999998
2005-07-05,29.700001
2005-07-06,29.195
2005-07-07,28.549999
2005-07-08,28.924999
2005-07-11,29.424999
2005-07-12,29.495001000000002
2005-07-13,28.0
2005-07-14,27.530001000000002
2005-07-15,27.549999
2005-07-18,27.709999
2005-07-19,28.76
2005-07-20,29.245001000000002
2005-07-21,28.73
2005-07-22,28.844998999999998
2005-07-25,28.58
2005-07-26,28.549999
2005-07-27,30.32
2005-07-28,30.5
2005-07-29,30.424999
2005-08-01,31.209999
2005-08-02,31.145
2005-08-03,32.294998
2005-08-04,31.360001
2005-08-05,31.35
2005-08-08,31.375
2005-08-09,31.424999
2005-08-10,30.75
2005-08-11,30.764999
2005-08-12,30.764999
2005-08-15,31.09
2005-08-16,30.15
2005-08-17,30.235001
2005-08-18,29.695
2005-08-19,29.530001000000002
2005-08-22,28.469998999999998
2005-08-23,28.844998999999998
2005-08-24,28.6
2005-08-25,27.995001000000002
2005-08-26,27.385
2005-08-29,27.610001
2005-08-30,27.25
2005-08-31,27.205
2005-09-01,27.305
2005-09-02,26.959999
2005-09-06,28.344998999999998
2005-09-07,28.75
2005-09-08,28.700001
2005-09-09,29.41
2005-09-12,29.945
2005-09-13,29.690001000000002
2005-09-14,29.485001
2005-09-15,29.924999
2005-09-16,30.0
2005-09-19,29.1
2005-09-20,27.674999
2005-09-21,27.030001000000002
2005-09-22,27.405001000000002
2005-09-23,28.0
2005-09-26,28.504998999999998
2005-09-27,28.74
2005-09-28,28.27
2005-09-29,28.82
2005-09-30,28.4
2005-10-03,28.950001
2005-10-04,28.764999
2005-10-05,27.915001
2005-10-06,27.725
2005-10-07,28.15
2005-10-10,28.174999
2005-10-11,27.790001
2005-10-12,26.975
2005-10-13,27.0
2005-10-14,26.5
2005-10-17,26.4
2005-10-18,26.23
2005-10-19,26.450001
2005-10-20,26.51
2005-10-21,26.924999
2005-10-24,27.58
2005-10-25,28.235001
2005-10-26,29.5
2005-10-27,29.315001000000002
2005-10-28,30.65
2005-10-31,31.575001
2005-11-01,31.025
2005-11-02,31.32
2005-11-03,32.049999
2005-11-04,31.299999
2005-11-07,32.099998
2005-11-08,31.82
2005-11-09,31.84
2005-11-10,31.174999
2005-11-11,31.25
2005-11-14,30.76
2005-11-15,30.07
2005-11-16,29.924999
2005-11-17,30.0
2005-11-18,30.0
2005-11-21,29.99
2005-11-22,30.174999
2005-11-23,29.950001
2005-11-25,29.99
2005-11-28,29.844998999999998
2005-11-29,30.155001000000002
2005-11-30,30.575001
2005-12-01,30.969998999999998
2005-12-02,31.415001
2005-12-05,31.040001
2005-12-06,31.365
2005-12-07,30.98
2005-12-08,31.51
2005-12-09,30.625
2005-12-12,30.674999
2005-12-13,30.795
2005-12-14,31.110001
2005-12-15,30.17
2005-12-16,29.955
2005-12-19,28.65
2005-12-20,28.700001
2005-12-21,28.969998999999998
2005-12-22,29.135
2005-12-23,29.535
2005-12-27,29.299999
2005-12-28,29.93
2005-12-29,29.709999
2005-12-30,29.424999
2006-01-03,30.02
2006-01-04,30.129998999999998
2006-01-05,30.075001
2006-01-06,30.355
2006-01-09,31.405001000000002
2006-01-10,31.1
2006-01-11,30.700001
2006-01-12,30.540001
2006-01-13,30.905001000000002
2006-01-17,30.17
2006-01-18,29.764999
2006-01-19,29.775
2006-01-20,31.120001000000002
2006-01-23,33.849998
2006-01-24,33.105
2006-01-25,33.310001
2006-01-26,34.779999
2006-01-27,34.0
2006-01-30,34.029999
2006-01-31,33.994999
2006-02-01,33.259997999999996
2006-02-02,33.099998
2006-02-03,33.049999
2006-02-06,33.099998
2006-02-07,32.630001
2006-02-08,32.900002
2006-02-09,33.105
2006-02-10,32.575001
2006-02-13,32.445
2006-02-14,34.125
2006-02-15,34.509997999999996
2006-02-16,34.314999
2006-02-17,33.900002
2006-02-21,33.200001
2006-02-22,31.825001
2006-02-23,31.200001
2006-02-24,31.459999
2006-02-27,31.85
2006-02-28,31.995001000000002
2006-03-01,33.075001
2006-03-02,33.005001
2006-03-03,32.959998999999996
2006-03-06,32.860001000000004
2006-03-07,32.75
2006-03-08,32.775002
2006-03-09,33.049999
2006-03-10,33.474998
2006-03-13,33.549999
2006-03-14,34.0
2006-03-15,34.52
2006-03-16,35.110001000000004
2006-03-17,34.41
2006-03-20,34.744999
2006-03-21,34.044998
2006-03-22,34.305
2006-03-23,34.200001
2006-03-24,33.919998
2006-03-27,34.674999
2006-03-28,34.98
2006-03-29,33.98
2006-03-30,33.700001
2006-03-31,33.744999
2006-04-03,33.924999
2006-04-04,33.715
2006-04-05,33.485001000000004
2006-04-06,33.639998999999996
2006-04-07,33.119999
2006-04-10,33.095001
2006-04-11,32.959998999999996
2006-04-12,32.895
2006-04-13,32.825001
2006-04-17,33.099998
2006-04-18,33.084998999999996
2006-04-19,32.535
2006-04-20,33.915001000000004
2006-04-21,34.349998
2006-04-24,34.224998
2006-04-25,34.0
2006-04-26,33.939999
2006-04-27,34.205002
2006-04-28,33.68
2006-05-01,33.119999
2006-05-02,33.305
2006-05-03,33.259997999999996
2006-05-04,32.439999
2006-05-05,32.830002
2006-05-08,32.5
2006-05-09,32.16
2006-05-10,32.060001
2006-05-11,31.445
2006-05-12,30.674999
2006-05-15,30.190001000000002
2006-05-16,29.905001000000002
2006-05-17,29.65
2006-05-18,29.375
2006-05-19,29.385
2006-05-22,29.355
2006-05-23,29.115
2006-05-24,28.799999
2006-05-25,29.209999
2006-05-26,29.725
2006-05-30,29.395
2006-05-31,29.219998999999998
2006-06-01,29.985001
2006-06-02,30.115
2006-06-05,27.91
2006-06-06,27.049999
2006-06-07,26.34
2006-06-08,25.780001000000002
2006-06-09,25.75
2006-06-12,24.92
2006-06-13,24.74
2006-06-14,25.15
2006-06-15,26.26
2006-06-16,25.65
2006-06-19,25.16
2006-06-20,25.25
2006-06-21,25.27
2006-06-22,25.379998999999998
2006-06-23,25.530001000000002
2006-06-26,25.5
2006-06-27,25.129998999999998
2006-06-28,24.889999
2006-06-29,26.129998999999998
2006-06-30,26.43
2006-07-03,26.23
2006-07-05,26.110001
2006-07-06,27.0
2006-07-07,26.610001
2006-07-10,26.57
2006-07-11,26.51
2006-07-12,25.51
2006-07-13,25.24
2006-07-14,25.25
2006-07-17,25.52
2006-07-18,25.33
2006-07-19,27.0
2006-07-20,26.549999
2006-07-21,25.65
2006-07-24,26.200001
2006-07-25,26.58
2006-07-26,23.4
2006-07-27,21.959999
2006-07-28,21.870001000000002
2006-07-31,21.809998999999998
2006-08-01,21.33
2006-08-02,21.73
2006-08-03,22.209999
2006-08-04,22.370001000000002
2006-08-07,22.17
2006-08-08,21.690001000000002
2006-08-09,21.360001
2006-08-10,22.299999
2006-08-11,22.15
2006-08-14,21.809998999999998
2006-08-15,22.129998999999998
2006-08-16,22.6
2006-08-17,23.360001
2006-08-18,23.25
2006-08-21,22.74
2006-08-22,22.809998999999998
2006-08-23,22.59
2006-08-24,21.959999
2006-08-25,22.15
2006-08-28,22.65
2006-08-29,23.110001
2006-08-30,23.129998999999998
2006-08-31,23.1
