Date,KGC
1981-03-17,5.4375
1981-03-18,5.625
1981-03-19,5.625
1981-03-20,6.1875
1981-03-23,5.8125
1981-03-24,5.625
1981-03-25,5.625
1981-03-26,5.625
1981-03-27,5.625
1981-03-30,5.625
1981-03-31,5.625
1981-04-01,5.625
1981-04-02,5.625
1981-04-03,5.625
1981-04-06,5.25
1981-04-07,5.25
1981-04-08,5.25
1981-04-09,5.25
1981-04-10,5.25
1981-04-13,5.25
1981-04-14,5.25
1981-04-15,5.25
1981-04-16,5.25
1981-04-20,5.25
1981-04-21,5.25
1981-04-22,5.25
1981-04-23,5.25
1981-04-24,5.25
1981-04-27,5.25
1981-04-28,5.25
1981-04-29,4.5
1981-04-30,4.5
1981-05-01,4.5
1981-05-04,4.5
1981-05-05,4.125
1981-05-06,4.5
1981-05-07,4.5
1981-05-08,4.875
1981-05-11,4.875
1981-05-12,4.875
1981-05-13,6.375
1981-05-14,7.5
1981-05-15,7.5
1981-05-18,7.5
1981-05-19,7.125
1981-05-20,7.125
1981-05-21,6.75
1981-05-22,6.75
1981-05-26,6.375
1981-05-27,6.0
1981-05-28,6.75
1981-05-29,6.75
1981-06-01,6.75
1981-06-02,6.375
1981-06-03,6.375
1981-06-04,6.375
1981-06-05,6.375
1981-06-08,6.375
1981-06-09,5.625
1981-06-10,5.625
1981-06-11,5.625
1981-06-12,5.625
1981-06-15,5.625
1981-06-16,5.25
1981-06-17,5.25
1981-06-18,5.25
1981-06-19,5.25
1981-06-22,5.25
1981-06-23,4.5
1981-06-24,4.5
1981-06-25,4.5
1981-06-26,4.125
1981-06-29,4.125
1981-06-30,3.75
1981-07-01,3.75
1981-07-02,3.75
1981-07-06,3.375
1981-07-07,3.375
1981-07-08,3.375
1981-07-09,3.75
1981-07-10,3.75
1981-07-13,3.75
1981-07-14,3.75
1981-07-15,3.75
1981-07-16,3.75
1981-07-17,3.75
1981-07-20,3.75
1981-07-21,3.75
1981-07-22,3.0
1981-07-23,3.0
1981-07-24,3.375
1981-07-27,3.0
1981-07-28,3.375
1981-07-29,3.0
1981-07-30,2.625
1981-07-31,2.625
1981-08-03,2.4375
1981-08-04,2.4375
1981-08-05,2.4375
1981-08-06,2.625
1981-08-07,2.625
1981-08-10,2.625
1981-08-11,2.625
1981-08-12,2.625
1981-08-13,2.625
1981-08-14,3.0
1981-08-17,3.0
1981-08-18,3.1875
1981-08-19,3.1875
1981-08-20,3.1875
1981-08-21,3.375
1981-08-24,3.375
1981-08-25,3.375
1981-08-26,3.375
1981-08-27,2.8125
1981-08-28,2.8125
1981-08-31,2.8125
1981-09-01,2.8125
1981-09-02,2.625
1981-09-03,2.625
1981-09-04,2.625
1981-09-08,2.625
1981-09-09,2.625
1981-09-10,2.625
1981-09-11,2.625
1981-09-14,2.625
1981-09-15,2.25
1981-09-16,1.875
1981-09-17,2.0625
1981-09-18,1.875
1981-09-21,1.875
1981-09-22,1.5
1981-09-23,1.5
1981-09-24,1.5
1981-09-25,1.5
1981-09-28,1.5
1981-09-29,1.5
1981-09-30,1.5
1981-10-01,1.3125
1981-10-02,1.5
1981-10-05,1.5
1981-10-06,1.6875
1981-10-07,2.25
1981-10-08,2.8125
1981-10-09,2.625
1981-10-12,3.0
1981-10-13,3.0
1981-10-14,3.0
1981-10-15,3.0
1981-10-16,2.8125
1981-10-19,2.8125
1981-10-20,2.8125
1981-10-21,2.4375
1981-10-22,1.875
1981-10-23,2.25
1981-10-26,2.25
1981-10-27,2.25
1981-10-28,2.25
1981-10-29,2.25
1981-10-30,2.0625
1981-11-02,2.0625
1981-11-03,2.25
1981-11-04,2.25
1981-11-05,2.25
1981-11-06,2.4375
1981-11-09,2.4375
1981-11-10,2.4375
1981-11-11,2.4375
1981-11-12,2.625
1981-11-13,2.625
1981-11-16,2.4375
1981-11-17,2.4375
1981-11-18,2.4375
1981-11-19,2.4375
