Date,TBBK
2004-02-03,16.0
2004-02-04,15.8
2004-02-05,15.75
2004-02-06,15.72
2004-02-09,15.85
2004-02-10,15.86
2004-02-11,15.84
2004-02-12,15.75
2004-02-13,15.8
2004-02-17,15.65
2004-02-18,15.7
2004-02-19,15.75
2004-02-20,15.8
2004-02-23,15.75
2004-02-24,15.5
2004-02-25,15.63
2004-02-26,15.63
2004-02-27,15.8
2004-03-01,15.56
2004-03-02,15.67
2004-03-03,15.7
2004-03-04,15.7
2004-03-05,15.81
2004-03-08,15.85
2004-03-09,16.1
2004-03-10,16.0
2004-03-11,16.299999
2004-03-12,16.200001
2004-03-15,16.200001
2004-03-16,16.700001
2004-03-17,16.9
2004-03-18,17.4
2004-03-19,17.65
2004-03-22,17.530001000000002
2004-03-23,17.16
2004-03-24,17.33
2004-03-25,17.15
2004-03-26,17.6
2004-03-29,17.08
2004-03-30,17.07
2004-03-31,18.0
2004-04-01,17.66
2004-04-02,17.41
2004-04-05,17.450001
2004-04-06,17.379998999999998
2004-04-07,17.690001000000002
2004-04-08,17.98
2004-04-12,17.360001
2004-04-13,17.639999
2004-04-14,17.85
2004-04-15,17.950001
2004-04-16,18.5
2004-04-19,19.4
2004-04-20,19.139999
2004-04-21,20.0
2004-04-22,20.0
2004-04-23,20.25
2004-04-26,19.9
2004-04-27,20.049999
2004-04-28,20.049999
2004-04-29,20.0
2004-04-30,18.889999
2004-05-03,17.950001
2004-05-04,18.0
2004-05-05,18.01
2004-05-06,18.1
2004-05-07,17.85
2004-05-10,17.120001000000002
2004-05-11,17.219998999999998
2004-05-12,17.43
2004-05-13,17.42
2004-05-14,17.049999
2004-05-17,17.32
2004-05-18,17.209999
2004-05-19,17.549999
2004-05-20,18.379998999999998
2004-05-21,17.6
2004-05-24,17.99
2004-05-25,17.950001
2004-05-26,17.969998999999998
2004-05-27,18.1
2004-05-28,18.48
2004-06-01,18.4
2004-06-02,18.690001000000002
2004-06-03,18.5
2004-06-04,18.25
2004-06-07,18.65
2004-06-08,18.530001000000002
2004-06-09,18.65
2004-06-10,18.690001000000002
2004-06-14,18.67
2004-06-15,18.889999
2004-06-16,19.4
2004-06-17,19.139999
2004-06-18,19.1
2004-06-21,18.82
2004-06-22,18.98
2004-06-23,18.940001000000002
2004-06-24,18.65
2004-06-25,18.25
2004-06-28,17.700001
2004-06-29,17.85
2004-06-30,17.709999
2004-07-01,17.4
2004-07-02,17.690001000000002
2004-07-06,19.01
2004-07-07,18.6
2004-07-08,18.360001
