Date,DSWL
1995-07-19,4.8333330000000005
1995-07-20,4.611111
1995-07-21,4.555555
1995-07-24,4.611111
1995-07-25,4.777778
1995-07-26,4.611111
1995-07-27,4.777778
1995-07-28,4.6666669999999995
1995-07-31,4.444445
1995-08-01,4.444445
1995-08-02,4.444445
1995-08-03,4.444445
1995-08-04,4.3333330000000005
1995-08-07,4.3333330000000005
1995-08-08,4.3333330000000005
1995-08-09,4.611111
1995-08-10,4.611111
1995-08-11,4.777778
1995-08-14,4.777778
1995-08-15,5.0
1995-08-16,5.3333330000000005
1995-08-17,5.0
1995-08-18,5.0
1995-08-21,5.277778
1995-08-22,5.0
1995-08-23,5.0
1995-08-24,5.055555
1995-08-25,4.6666669999999995
1995-08-28,4.6666669999999995
1995-08-29,4.888889
1995-08-30,4.6666669999999995
1995-08-31,4.6666669999999995
1995-09-01,4.75
1995-09-05,4.6666669999999995
1995-09-06,4.555555
1995-09-07,4.444445
1995-09-08,4.555555
1995-09-11,4.444445
1995-09-12,4.444445
1995-09-13,4.444445
1995-09-14,4.444445
1995-09-15,4.444445
1995-09-18,4.444445
1995-09-19,4.444445
1995-09-20,4.444445
1995-09-21,4.444445
1995-09-22,4.444445
1995-09-25,4.555555
1995-09-26,4.555555
1995-09-27,4.555555
1995-09-28,4.555555
1995-09-29,4.555555
1995-10-02,4.555555
1995-10-03,4.555555
1995-10-04,4.6666669999999995
1995-10-05,4.444445
1995-10-06,4.444445
1995-10-09,4.444445
1995-10-10,4.555555
1995-10-11,4.444445
1995-10-12,4.555555
1995-10-13,4.444445
1995-10-16,4.444445
1995-10-17,4.555555
1995-10-18,4.444445
1995-10-19,4.444445
1995-10-20,4.4166669999999995
1995-10-23,4.444445
1995-10-24,4.555555
1995-10-25,4.444445
1995-10-26,4.444445
1995-10-27,4.277778
1995-10-30,4.277778
1995-10-31,4.222222
1995-11-01,4.222222
1995-11-02,4.222222
1995-11-03,4.111111
1995-11-06,4.3333330000000005
1995-11-07,4.111111
1995-11-08,4.3333330000000005
1995-11-09,4.111111
1995-11-10,4.111111
1995-11-13,4.111111
1995-11-14,4.222222
1995-11-15,4.111111
1995-11-16,4.111111
1995-11-17,4.111111
1995-11-20,4.111111
1995-11-21,4.111111
1995-11-22,4.111111
1995-11-24,4.111111
1995-11-27,4.111111
1995-11-28,4.111111
1995-11-29,4.222222
1995-11-30,4.0
1995-12-01,4.111111
1995-12-04,4.111111
1995-12-05,4.0
1995-12-06,4.055555
1995-12-07,4.111111
1995-12-08,4.111111
1995-12-11,4.111111
1995-12-12,4.111111
1995-12-13,4.111111
1995-12-14,4.111111
1995-12-15,4.111111
1995-12-18,4.0
1995-12-19,4.0
1995-12-20,4.0
1995-12-21,4.0
1995-12-22,4.277778
1995-12-26,4.111111
1995-12-27,4.111111
1995-12-28,4.0
1995-12-29,4.1666669999999995
1996-01-02,4.0
1996-01-03,4.0
1996-01-04,4.0
1996-01-05,4.0
1996-01-08,4.055555
1996-01-09,4.055555
1996-01-10,4.25
1996-01-11,4.055555
1996-01-12,4.25
1996-01-15,4.222222
1996-01-16,4.138889
1996-01-17,4.1666669999999995
1996-01-18,4.1666669999999995
1996-01-19,4.055555
1996-01-22,3.9444440000000003
1996-01-23,3.888889
1996-01-24,3.9444440000000003
1996-01-25,3.888889
1996-01-26,3.888889
1996-01-29,3.888889
1996-01-30,3.888889
1996-01-31,3.888889
1996-02-01,3.888889
1996-02-02,3.888889
1996-02-05,4.055555
1996-02-06,4.222222
1996-02-07,4.222222
1996-02-08,4.055555
1996-02-09,4.111111
1996-02-12,4.222222
1996-02-13,4.111111
1996-02-14,4.0
1996-02-15,4.0
1996-02-16,4.0
1996-02-20,4.0
1996-02-21,3.9444440000000003
1996-02-22,3.9444440000000003
1996-02-23,3.9444440000000003
1996-02-26,3.9444440000000003
1996-02-27,3.888889
1996-02-28,3.833333
1996-02-29,3.833333
1996-03-01,3.833333
1996-03-04,3.833333
1996-03-05,3.833333
1996-03-06,4.0208330000000005
1996-03-07,4.0208330000000005
1996-03-08,3.833333
1996-03-11,4.0
1996-03-12,3.722222
1996-03-13,3.722222
1996-03-14,3.722222
1996-03-15,3.722222
1996-03-18,3.722222
1996-03-19,3.722222
1996-03-20,3.611111
1996-03-21,3.611111
1996-03-22,3.611111
1996-03-25,4.0
