Date,BC
1981-12-31,2.328125
1982-01-04,2.28125
1982-01-05,2.25
1982-01-06,2.234375
1982-01-07,2.25
1982-01-08,2.234375
1982-01-11,2.21875
1982-01-12,2.234375
1982-01-13,2.21875
1982-01-14,2.25
1982-01-15,2.21875
1982-01-18,2.25
1982-01-19,2.15625
1982-01-20,2.171875
1982-01-21,2.171875
1982-01-22,2.390625
1982-01-25,3.03125
1982-01-26,3.359375
1982-01-27,3.40625
1982-01-28,3.4375
1982-01-29,3.375
1982-02-01,3.34375
1982-02-02,3.3125
1982-02-03,3.34375
1982-02-04,3.28125
1982-02-05,3.234375
1982-02-08,3.125
1982-02-09,3.28125
1982-02-10,3.09375
1982-02-11,3.09375
1982-02-12,3.28125
1982-02-16,3.140625
1982-02-17,3.125
1982-02-18,3.09375
1982-02-19,3.0625
1982-02-22,3.015625
1982-02-23,3.0625
1982-02-24,3.046875
1982-02-25,3.0625
1982-02-26,2.65625
1982-03-01,2.84375
1982-03-02,2.65625
1982-03-03,2.59375
1982-03-04,2.578125
1982-03-05,2.375
1982-03-08,1.921875
1982-03-09,1.984375
1982-03-10,1.9375
1982-03-11,1.984375
1982-03-12,1.90625
1982-03-15,1.875
1982-03-16,1.890625
1982-03-17,1.875
1982-03-18,1.9375
1982-03-19,1.96875
1982-03-22,2.0625
1982-03-23,2.109375
1982-03-24,2.015625
1982-03-25,2.0625
1982-03-26,2.03125
1982-03-29,2.078125
1982-03-30,2.0625
1982-03-31,2.046875
1982-04-01,2.0625
1982-04-02,2.171875
1982-04-05,2.125
1982-04-06,2.1875
1982-04-07,2.15625
1982-04-08,2.171875
1982-04-12,2.171875
1982-04-13,2.171875
1982-04-14,2.171875
1982-04-15,2.234375
1982-04-16,2.265625
1982-04-19,2.1875
1982-04-20,2.140625
1982-04-21,2.15625
1982-04-22,2.171875
1982-04-23,2.21875
1982-04-26,2.21875
1982-04-27,2.1875
1982-04-28,2.21875
1982-04-29,2.203125
1982-04-30,2.1875
1982-05-03,2.171875
1982-05-04,2.171875
1982-05-05,2.1875
1982-05-06,2.15625
1982-05-07,2.171875
1982-05-10,2.171875
1982-05-11,2.203125
1982-05-12,2.21875
1982-05-13,2.203125
1982-05-14,2.234375
1982-05-17,2.25
1982-05-18,2.265625
1982-05-19,2.234375
1982-05-20,2.25
1982-05-21,2.25
1982-05-24,2.25
1982-05-25,2.265625
1982-05-26,2.234375
1982-05-27,2.25
1982-05-28,2.234375
1982-06-01,2.265625
1982-06-02,2.265625
1982-06-03,2.265625
1982-06-04,2.265625
1982-06-07,2.296875
1982-06-08,2.3125
1982-06-09,2.328125
1982-06-10,2.328125
1982-06-11,2.4375
1982-06-14,2.421875
1982-06-15,2.4375
1982-06-16,2.59375
1982-06-17,2.53125
1982-06-18,2.515625
1982-06-21,2.53125
1982-06-22,2.59375
1982-06-23,2.59375
1982-06-24,2.578125
1982-06-25,2.578125
1982-06-28,2.640625
1982-06-29,2.625
1982-06-30,2.59375
1982-07-01,2.5625
1982-07-02,2.546875
1982-07-06,2.5625
1982-07-07,2.5625
1982-07-08,2.5625
1982-07-09,2.5625
1982-07-12,2.53125
1982-07-13,2.546875
1982-07-14,2.53125
1982-07-15,2.515625
1982-07-16,2.5625
1982-07-19,2.515625
1982-07-20,2.5625
1982-07-21,2.53125
1982-07-22,2.515625
1982-07-23,2.484375
1982-07-26,2.5
1982-07-27,2.53125
1982-07-28,2.53125
1982-07-29,2.515625
1982-07-30,2.5
1982-08-02,2.5
1982-08-03,2.5
1982-08-04,2.46875
1982-08-05,2.46875
1982-08-06,2.46875
1982-08-09,2.40625
1982-08-10,2.421875
1982-08-11,2.453125
1982-08-12,2.453125
1982-08-13,2.5
1982-08-16,2.53125
1982-08-17,2.625
1982-08-18,2.65625
1982-08-19,2.671875
1982-08-20,2.671875
1982-08-23,2.828125
1982-08-24,2.921875
1982-08-25,2.921875
1982-08-26,2.875
1982-08-27,2.921875
1982-08-30,2.984375
1982-08-31,3.03125
1982-09-01,3.0
1982-09-02,2.984375
1982-09-03,3.015625
1982-09-07,2.953125
1982-09-08,3.0
1982-09-09,3.03125
1982-09-10,3.015625
1982-09-13,3.015625
1982-09-14,3.109375
1982-09-15,3.140625
1982-09-16,3.15625
1982-09-17,3.21875
1982-09-20,3.203125
1982-09-21,3.25
1982-09-22,3.171875
1982-09-23,3.203125
1982-09-24,3.15625
1982-09-27,3.15625
1982-09-28,3.015625
1982-09-29,2.96875
1982-09-30,2.90625
1982-10-01,2.953125
1982-10-04,2.9375
1982-10-05,2.96875
1982-10-06,3.03125
1982-10-07,3.125
1982-10-08,3.28125
1982-10-11,3.40625
1982-10-12,3.296875
1982-10-13,3.21875
1982-10-14,3.125
1982-10-15,3.125
1982-10-18,3.140625
1982-10-19,3.125
1982-10-20,3.15625
