Date,PROSF
2019-09-26,74.5
2019-09-27,73.099998
2019-09-30,73.099998
2019-10-01,73.099998
2019-10-02,73.099998
2019-10-03,73.099998
2019-10-04,73.099998
2019-10-07,71.099998
2019-10-08,70.5
2019-10-09,70.110001
2019-10-10,71.0
2019-10-11,71.0
2019-10-14,71.0
2019-10-15,71.0
2019-10-16,71.0
2019-10-17,74.0
2019-10-18,74.400002
2019-10-21,73.650002
2019-10-22,73.650002
2019-10-23,70.542999
2019-10-24,70.542999
2019-10-25,69.529999
2019-10-28,70.91999799999999
2019-10-29,70.91999799999999
2019-10-30,69.449997
2019-10-31,69.449997
2019-11-01,69.220001
2019-11-04,69.220001
2019-11-05,69.220001
2019-11-06,69.220001
2019-11-07,70.139999
2019-11-08,70.139999
2019-11-11,70.139999
2019-11-12,68.599998
2019-11-13,66.724998
2019-11-14,66.724998
2019-11-15,67.25
2019-11-18,67.25
2019-11-19,67.25
2019-11-20,68.986
2019-11-21,69.125
2019-11-22,69.125
2019-11-25,69.125
2019-11-26,69.125
2019-11-27,69.125
2019-11-29,69.125
2019-12-02,69.125
2019-12-03,66.349998
2019-12-04,66.945
2019-12-05,65.900002
2019-12-06,66.014
2019-12-09,66.014
2019-12-10,66.014
2019-12-11,66.129997
2019-12-12,66.129997
2019-12-13,66.129997
2019-12-16,66.129997
2019-12-17,66.129997
2019-12-18,66.129997
2019-12-19,66.129997
2019-12-20,74.138
2019-12-23,74.138
2019-12-24,74.138
2019-12-26,74.138
2019-12-27,74.966003
2019-12-30,74.966003
2019-12-31,74.966003
2020-01-02,76.0
2020-01-03,76.0
2020-01-06,76.0
2020-01-07,75.875
2020-01-08,75.300003
2020-01-09,77.439003
2020-01-10,77.439003
2020-01-13,77.439003
2020-01-14,79.388
2020-01-15,79.400002
2020-01-16,79.400002
2020-01-17,79.400002
2020-01-21,78.75
2020-01-22,78.75
2020-01-23,78.75
2020-01-24,78.75
2020-01-27,78.75
2020-01-28,72.5
2020-01-29,75.0
2020-01-30,75.0
2020-01-31,75.0
2020-02-03,73.75
2020-02-04,73.75
2020-02-05,73.75
2020-02-06,73.75
2020-02-07,73.75
2020-02-10,73.75
2020-02-11,77.739998
2020-02-12,77.739998
2020-02-13,78.099998
2020-02-14,78.099998
2020-02-18,77.650002
2020-02-19,77.650002
2020-02-20,76.5
2020-02-21,76.5
2020-02-24,73.25
2020-02-25,73.25
2020-02-26,73.25
2020-02-27,71.775002
2020-02-28,67.434998
2020-03-02,67.434998
2020-03-03,67.434998
2020-03-04,73.820999
2020-03-05,75.141998
2020-03-06,75.141998
2020-03-09,68.5
2020-03-10,66.886002
2020-03-11,66.886002
2020-03-12,66.886002
2020-03-13,59.25
2020-03-16,59.25
2020-03-17,57.808997999999995
2020-03-18,57.808997999999995
2020-03-19,55.75
2020-03-20,55.75
2020-03-23,55.75
2020-03-24,65.43
2020-03-25,68.0
2020-03-26,68.0
2020-03-27,69.650002
2020-03-30,68.134003
2020-03-31,69.309998
2020-04-01,66.0
2020-04-02,67.321999
2020-04-03,65.400002
2020-04-06,65.400002
2020-04-07,68.900002
2020-04-08,68.900002
2020-04-09,68.900002
2020-04-13,68.900002
2020-04-14,68.900002
2020-04-15,68.900002
2020-04-16,68.900002
2020-04-17,71.303001
2020-04-20,71.303001
2020-04-21,70.614998
2020-04-22,70.614998
2020-04-23,70.614998
2020-04-24,73.013
2020-04-27,73.013
2020-04-28,73.013
2020-04-29,73.013
2020-04-30,74.0
2020-05-01,74.0
2020-05-04,74.0
2020-05-05,74.0
2020-05-06,74.0
2020-05-07,74.0
2020-05-08,78.900002
