Date,DDAIF
1998-10-26,78.75
1998-10-27,77.5
1998-10-28,75.625
1998-10-29,75.875
1998-10-30,78.0
1998-11-02,79.1875
1998-11-03,78.5625
1998-11-04,80.0
1998-11-05,82.8125
1998-11-06,81.375
1998-11-09,77.125
1998-11-10,75.6875
1998-11-11,75.875
1998-11-12,77.75
1998-11-13,79.5
1998-11-16,84.3125
1998-11-17,83.875
1998-11-18,85.0
1998-11-19,88.125
1998-11-20,91.625
1998-11-23,93.375
1998-11-24,89.3125
1998-11-25,90.1875
1998-11-27,93.4375
1998-11-30,91.5
1998-12-01,91.375
1998-12-02,88.25
1998-12-03,86.0625
1998-12-04,88.3125
1998-12-07,88.5
1998-12-08,89.5
1998-12-09,91.125
1998-12-10,90.1875
1998-12-11,89.5
1998-12-14,88.375
1998-12-15,91.25
1998-12-16,90.25
1998-12-17,91.0625
1998-12-18,91.3125
1998-12-21,92.0
1998-12-22,92.5
1998-12-23,94.0
1998-12-24,94.1875
1998-12-28,98.25
1998-12-29,98.5625
1998-12-30,96.75
1998-12-31,96.0625
1999-01-04,101.6875
1999-01-05,106.125
1999-01-06,108.0
1999-01-07,107.75
1999-01-08,107.125
1999-01-11,105.625
1999-01-12,103.875
1999-01-13,101.8125
1999-01-14,101.5
1999-01-15,105.25
1999-01-19,105.375
1999-01-20,106.75
1999-01-21,105.625
1999-01-22,103.9375
1999-01-25,102.875
1999-01-26,104.75
1999-01-27,101.75
1999-01-28,103.8125
1999-01-29,103.625
1999-02-01,103.9375
1999-02-02,102.875
1999-02-03,103.0625
1999-02-04,98.9375
1999-02-05,98.6875
1999-02-08,98.5
1999-02-09,92.5625
1999-02-10,94.4375
1999-02-11,95.375
1999-02-12,93.9375
1999-02-16,94.5625
1999-02-17,94.375
1999-02-18,96.5
1999-02-19,93.9375
1999-02-22,95.875
1999-02-23,96.75
1999-02-24,100.9375
1999-02-25,95.8125
1999-02-26,93.9375
1999-03-01,91.0625
1999-03-02,90.9375
1999-03-03,87.9375
1999-03-04,89.1875
1999-03-05,91.0
1999-03-08,89.5625
1999-03-09,88.3125
1999-03-10,88.0
1999-03-11,94.4375
1999-03-12,92.375
1999-03-15,92.3125
1999-03-16,93.375
1999-03-17,92.0625
1999-03-18,93.3125
1999-03-19,92.125
1999-03-22,91.5625
1999-03-23,86.0
1999-03-24,84.875
