Date,HMC
1980-03-17,0.89375
1980-03-18,0.909375
1980-03-19,0.9
1980-03-20,0.9
1980-03-21,0.9
1980-03-24,0.903125
1980-03-25,0.925
1980-03-26,0.903125
1980-03-27,0.8875
1980-03-28,0.8875
1980-03-31,0.940625
1980-04-01,0.9
1980-04-02,0.8875
1980-04-03,0.878125
1980-04-07,0.909375
1980-04-08,0.9125
1980-04-09,0.909375
1980-04-10,0.934375
1980-04-11,0.94375
1980-04-14,0.95
1980-04-15,0.95
1980-04-16,0.95
1980-04-17,0.94375
1980-04-18,0.95625
1980-04-21,0.95625
1980-04-22,0.965625
1980-04-23,0.9625
1980-04-24,1.003125
1980-04-25,1.003125
1980-04-28,1.028125
1980-04-29,1.0375
1980-04-30,1.03125
1980-05-01,1.03125
1980-05-02,1.03125
1980-05-05,1.03125
1980-05-06,1.03125
1980-05-07,1.0375
1980-05-08,1.04375
1980-05-09,1.03125
1980-05-12,1.03125
1980-05-13,1.0375
1980-05-14,1.04375
1980-05-15,1.04375
1980-05-16,1.021875
1980-05-19,1.021875
1980-05-20,1.021875
1980-05-21,1.028125
1980-05-22,1.028125
1980-05-23,1.075
1980-05-27,1.084375
1980-05-28,1.06875
1980-05-29,1.059375
1980-05-30,1.084375
1980-06-02,1.09375
1980-06-03,1.075
1980-06-04,1.059375
1980-06-05,1.059375
1980-06-06,1.059375
1980-06-09,1.06875
1980-06-10,1.053125
1980-06-11,1.075
1980-06-12,1.075
1980-06-13,1.075
1980-06-16,1.075
1980-06-17,1.075
1980-06-18,1.075
1980-06-19,1.10625
1980-06-20,1.084375
1980-06-23,1.09375
1980-06-24,1.075
1980-06-25,1.053125
1980-06-26,1.053125
1980-06-27,1.053125
1980-06-30,1.059375
1980-07-01,1.04375
1980-07-02,1.04375
1980-07-03,1.05
1980-07-07,1.05
1980-07-08,1.04375
1980-07-09,1.0375
1980-07-10,1.053125
1980-07-11,1.04375
1980-07-14,1.0375
1980-07-15,1.05
1980-07-16,1.053125
1980-07-17,1.053125
1980-07-18,1.05
1980-07-21,1.04375
1980-07-22,1.0375
1980-07-23,1.0125
1980-07-24,1.028125
1980-07-25,1.03125
1980-07-28,1.01875
1980-07-29,1.0125
1980-07-30,1.01875
1980-07-31,1.03125
1980-08-01,1.021875
1980-08-04,1.0375
1980-08-05,1.0375
1980-08-06,1.03125
1980-08-07,1.03125
1980-08-08,1.05
1980-08-11,1.06875
1980-08-12,1.090625
1980-08-13,1.09375
