Date,BHE
1990-06-27,1.9444439999999998
1990-06-28,1.916667
1990-06-29,1.833333
1990-07-02,1.833333
1990-07-03,1.833333
1990-07-05,1.8055560000000002
1990-07-06,1.833333
1990-07-09,1.7777779999999999
1990-07-10,1.8055560000000002
1990-07-11,1.8055560000000002
1990-07-12,1.861111
1990-07-13,1.833333
1990-07-16,1.888889
1990-07-17,1.861111
1990-07-18,1.833333
1990-07-19,1.833333
1990-07-20,1.861111
1990-07-23,1.8055560000000002
1990-07-24,1.8055560000000002
1990-07-25,1.7777779999999999
1990-07-26,1.8055560000000002
1990-07-27,1.6944439999999998
1990-07-30,1.6944439999999998
1990-07-31,1.6944439999999998
1990-08-01,1.666667
1990-08-02,1.611111
1990-08-03,1.583333
1990-08-06,1.611111
1990-08-07,1.638889
1990-08-08,1.638889
1990-08-09,1.638889
1990-08-10,1.611111
1990-08-13,1.611111
1990-08-14,1.611111
1990-08-15,1.611111
1990-08-16,1.527778
1990-08-17,1.444444
1990-08-20,1.388889
1990-08-21,1.25
1990-08-22,1.222222
1990-08-23,1.222222
1990-08-24,1.166667
1990-08-27,1.333333
1990-08-28,1.388889
1990-08-29,1.444444
1990-08-30,1.416667
1990-08-31,1.416667
1990-09-04,1.416667
1990-09-05,1.416667
1990-09-06,1.416667
1990-09-07,1.416667
1990-09-10,1.416667
1990-09-11,1.361111
1990-09-12,1.361111
1990-09-13,1.333333
1990-09-14,1.333333
1990-09-17,1.333333
1990-09-18,1.25
1990-09-19,1.25
1990-09-20,1.222222
1990-09-21,1.166667
1990-09-24,1.111111
1990-09-25,1.111111
1990-09-26,1.111111
1990-09-27,1.111111
1990-09-28,1.111111
1990-10-01,1.111111
1990-10-02,1.138889
1990-10-03,1.083333
1990-10-04,1.055556
1990-10-05,1.083333
1990-10-08,1.0
1990-10-09,0.9722219999999999
1990-10-10,1.0
1990-10-11,0.9722219999999999
1990-10-12,0.9722219999999999
1990-10-15,0.9722219999999999
1990-10-16,0.9444440000000001
1990-10-17,0.9444440000000001
1990-10-18,0.9444440000000001
1990-10-19,0.8888889999999999
1990-10-22,0.9444440000000001
1990-10-23,0.916667
1990-10-24,0.833333
1990-10-25,0.8888889999999999
1990-10-26,0.8888889999999999
1990-10-29,0.916667
1990-10-30,0.916667
1990-10-31,0.9444440000000001
1990-11-01,0.9444440000000001
1990-11-02,1.166667
1990-11-05,1.166667
1990-11-06,1.138889
1990-11-07,1.138889
1990-11-08,1.111111
1990-11-09,1.111111
1990-11-12,1.055556
1990-11-13,1.083333
1990-11-14,1.083333
1990-11-15,1.027778
1990-11-16,0.9722219999999999
1990-11-19,0.916667
1990-11-20,0.916667
1990-11-21,1.027778
1990-11-23,0.9722219999999999
1990-11-26,1.0
1990-11-27,1.055556
1990-11-28,1.0
1990-11-29,0.9722219999999999
1990-11-30,1.055556
1990-12-03,1.055556
1990-12-04,1.055556
1990-12-05,1.055556
1990-12-06,1.111111
1990-12-07,1.083333
1990-12-10,1.055556
1990-12-11,1.083333
