Date,FST
2016-06-13,
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,
2016-06-20,
2016-06-21,
2016-06-22,
2016-06-23,
2016-06-24,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,
2016-07-18,
2016-07-19,
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,
2016-08-01,
2016-08-02,
2016-08-03,50.16
2016-08-04,
2016-08-05,
2016-08-08,
2016-08-09,
2016-08-10,
2016-08-11,
2016-08-12,
2016-08-15,
2016-08-16,
2016-08-17,
2016-08-18,
2016-08-19,
2016-08-22,
2016-08-23,
2016-08-24,
2016-08-25,
2016-08-26,
2016-08-29,
2016-08-30,
2016-08-31,
2016-09-01,
2016-09-02,
2016-09-06,
2016-09-07,
2016-09-08,47.200001
2016-09-09,47.200001
2016-09-12,46.099998
2016-09-13,47.540001000000004
2016-09-14,47.25
2016-09-15,47.25
2016-09-16,47.150002
2016-09-19,47.150002
2016-09-20,47.150002
2016-09-21,47.150002
2016-09-22,47.150002
2016-09-23,47.150002
2016-09-26,47.150002
2016-09-27,47.150002
2016-09-28,47.150002
2016-09-29,47.150002
2016-09-30,47.5
2016-10-03,47.009997999999996
2016-10-04,47.549999
2016-10-05,47.549999
2016-10-06,47.549999
2016-10-07,47.549999
2016-10-10,47.549999
2016-10-11,45.34
2016-10-12,45.529999
2016-10-13,43.490002000000004
2016-10-14,43.990002000000004
2016-10-17,43.990002000000004
2016-10-18,43.990002000000004
2016-10-19,43.990002000000004
2016-10-20,
2016-10-21,
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-21,
2016-11-22,
2016-11-23,
2016-11-25,
2016-11-28,
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-12,
2016-12-13,
2016-12-14,
2016-12-15,
2016-12-16,
2016-12-19,
2016-12-20,
2016-12-21,
2016-12-22,
2016-12-23,
2016-12-27,
2016-12-28,
2016-12-29,
2016-12-30,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-30,
2017-10-31,
2017-11-01,
2017-11-02,
2017-11-03,
2017-11-06,
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-24,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,69.099998
2018-03-15,69.099998
2018-03-16,69.099998
2018-03-19,69.099998
2018-03-20,69.099998
2018-03-21,69.099998
2018-03-22,69.099998
2018-03-23,69.099998
2018-03-26,69.300003
2018-03-27,66.690002
2018-03-28,66.690002
2018-03-29,66.900002
2018-04-02,66.900002
2018-04-03,66.309998
2018-04-04,65.690002
2018-04-05,67.489998
2018-04-06,65.730003
2018-04-09,65.220001
2018-04-10,66.480003
2018-04-11,66.480003
2018-04-12,66.949997
2018-04-13,65.860001
2018-04-16,67.0
2018-04-17,67.0
2018-04-18,67.0
2018-04-19,68.529999
2018-04-20,68.529999
2018-04-23,68.529999
2018-04-24,65.519997
2018-04-25,65.519997
2018-04-26,65.730003
2018-04-27,65.730003
2018-04-30,65.730003
2018-05-01,65.730003
2018-05-02,65.730003
2018-05-03,65.730003
2018-05-04,65.0
2018-05-07,65.720001
2018-05-08,65.0
2018-05-09,64.959999
2018-05-10,64.959999
2018-05-11,64.959999
2018-05-14,66.0
2018-05-15,63.0
2018-05-16,63.0
2018-05-17,63.0
2018-05-18,61.0
2018-05-21,60.32
2018-05-22,60.32
2018-05-23,60.32
2018-05-24,60.32
2018-05-25,60.32
2018-05-29,61.299999
2018-05-30,61.299999
2018-05-31,60.0
2018-06-01,61.25
2018-06-04,63.349998
2018-06-05,61.599998
2018-06-06,61.43
2018-06-07,61.549999
2018-06-08,61.549999
2018-06-11,60.98
2018-06-12,60.98
2018-06-13,60.98
2018-06-14,63.220001
2018-06-15,60.5
2018-06-18,58.93
2018-06-19,56.880001
2018-06-20,59.0
2018-06-21,59.849998
2018-06-22,61.400002
2018-06-25,60.549999
2018-06-26,60.889998999999996
2018-06-27,58.799999
2018-06-28,58.799999
2018-06-29,63.889998999999996
2018-07-02,63.889998999999996
2018-07-03,65.68
2018-07-05,65.589996
2018-07-06,64.220001
2018-07-09,64.220001
2018-07-10,65.629997
2018-07-11,65.120003
2018-07-12,65.120003
2018-07-13,65.120003
2018-07-16,63.139998999999996
2018-07-17,63.139998999999996
2018-07-18,65.139999
2018-07-19,64.720001
2018-07-20,66.0
2018-07-23,66.0
2018-07-24,66.0
2018-07-25,65.800003
2018-07-26,66.309998
2018-07-27,67.0
2018-07-30,67.900002
2018-07-31,69.269997
2018-08-01,68.769997
2018-08-02,67.339996
2018-08-03,68.769997
2018-08-06,67.0
2018-08-07,67.699997
2018-08-08,67.699997
2018-08-09,67.699997
2018-08-10,65.349998
2018-08-13,63.049999
2018-08-14,65.300003
2018-08-15,62.200001
2018-08-16,62.200001
2018-08-17,62.970001
2018-08-20,63.849998
2018-08-21,63.849998
2018-08-22,66.550003
2018-08-23,66.699997
2018-08-24,67.800003
2018-08-27,69.870003
2018-08-28,70.779999
2018-08-29,70.190002
2018-08-30,70.190002
2018-08-31,70.699997
2018-09-04,67.050003
2018-09-05,64.82
2018-09-06,67.349998
2018-09-07,68.910004
2018-09-10,68.620003
2018-09-11,68.779999
2018-09-12,66.400002
2018-09-13,67.08000200000001
2018-09-14,67.08000200000001
2018-09-17,66.0
2018-09-18,66.839996
2018-09-19,67.889999
2018-09-20,67.889999
2018-09-21,71.230003
2018-09-24,71.230003
2018-09-25,69.639999
2018-09-26,69.639999
2018-09-27,69.639999
2018-09-28,67.870003
2018-10-01,66.5
2018-10-02,65.199997
2018-10-03,62.450001
2018-10-04,62.639998999999996
2018-10-05,61.700001
2018-10-08,60.900002
2018-10-09,62.09
2018-10-10,62.09
2018-10-11,60.049999
2018-10-12,60.049999
2018-10-15,60.82
2018-10-16,63.700001
2018-10-17,61.580002
2018-10-18,60.830002
2018-10-19,61.029999
2018-10-22,61.130001
2018-10-23,59.830002
2018-10-24,60.849998
2018-10-25,63.84
2018-10-26,63.84
2018-10-29,64.599998
2018-10-30,64.57
2018-10-31,64.309998
2018-11-01,65.379997
2018-11-02,68.510002
2018-11-05,69.400002
2018-11-06,69.150002
2018-11-07,71.0
2018-11-08,69.519997
2018-11-09,69.349998
2018-11-12,67.139999
2018-11-13,67.139999
2018-11-14,68.709999
2018-11-15,68.709999
2018-11-16,68.519997
2018-11-19,68.519997
2018-11-20,67.5
2018-11-21,67.41999799999999
2018-11-23,66.870003
2018-11-26,69.949997
2018-11-27,69.949997
2018-11-28,69.190002
2018-11-29,70.07
2018-11-30,66.800003
2018-12-03,68.709999
2018-12-04,68.370003
2018-12-06,67.269997
2018-12-07,65.400002
2018-12-10,64.0
2018-12-11,64.599998
2018-12-12,65.809998
2018-12-13,65.699997
2018-12-14,64.5
2018-12-17,64.5
2018-12-18,62.939999
2018-12-19,63.75
2018-12-20,64.040001
2018-12-21,64.040001
2018-12-24,64.040001
2018-12-26,64.040001
2018-12-27,64.040001
2018-12-28,64.040001
2018-12-31,64.040001
2019-01-02,63.360001000000004
2019-01-03,63.360001000000004
2019-01-04,63.360001000000004
2019-01-07,64.879997
2019-01-08,64.879997
2019-01-09,64.879997
2019-01-10,67.989998
2019-01-11,68.25
2019-01-14,68.5
2019-01-15,68.5
2019-01-16,68.5
2019-01-17,68.5
2019-01-18,68.260002
2019-01-22,67.769997
2019-01-23,68.739998
2019-01-24,69.519997
2019-01-25,69.519997
2019-01-28,68.769997
2019-01-29,69.66999799999999
2019-01-30,68.75
2019-01-31,68.75
2019-02-01,68.5
2019-02-04,66.660004
2019-02-05,66.660004
2019-02-06,67.760002
2019-02-07,67.0
2019-02-08,66.0
2019-02-11,65.059998
2019-02-12,65.470001
2019-02-13,64.949997
2019-02-14,64.949997
2019-02-15,62.75
2019-02-19,64.08000200000001
2019-02-20,64.269997
2019-02-21,65.18
2019-02-22,64.779999
2019-02-25,64.16999799999999
2019-02-26,64.889999
2019-02-27,64.889999
2019-02-28,64.300003
2019-03-01,64.300003
2019-03-04,64.300003
2019-03-05,62.790001000000004
2019-03-06,62.75
2019-03-07,62.32
2019-03-08,62.919998
2019-03-11,62.119999
2019-03-12,63.389998999999996
2019-03-13,63.0
2019-03-14,63.0
2019-03-15,63.0
2019-03-18,63.0
2019-03-19,62.130001
2019-03-20,61.169998
2019-03-21,61.169998
2019-03-22,61.0
2019-03-25,60.639998999999996
2019-03-26,60.639998999999996
2019-03-27,62.07
2019-03-28,62.060001
2019-03-29,62.959998999999996
2019-04-01,64.800003
2019-04-02,64.639999
2019-04-03,64.550003
2019-04-04,64.849998
2019-04-05,65.139999
2019-04-08,64.769997
2019-04-09,64.339996
2019-04-10,64.339996
2019-04-11,66.610001
2019-04-12,65.870003
2019-04-15,67.209999
2019-04-16,66.800003
2019-04-17,66.800003
2019-04-18,68.260002
2019-04-22,68.260002
2019-04-23,67.150002
2019-04-24,65.699997
2019-04-25,65.699997
2019-04-26,65.699997
2019-04-29,65.699997
2019-04-30,65.699997
2019-05-01,65.699997
2019-05-02,68.5
2019-05-03,69.370003
2019-05-06,69.0
2019-05-07,68.779999
2019-05-08,
2019-05-09,67.010002
2019-05-10,67.010002
2019-05-13,68.5
2019-05-14,68.5
2019-05-15,67.93
2019-05-16,67.970001
2019-05-17,67.970001
2019-05-20,65.43
2019-05-21,65.43
2019-05-22,65.43
2019-05-23,65.43
2019-05-24,65.43
2019-05-28,61.790001000000004
2019-05-29,64.0
2019-05-30,66.25
2019-05-31,66.900002
2019-06-03,68.019997
2019-06-04,65.440002
2019-06-05,65.900002
2019-06-06,65.5
2019-06-07,66.800003
2019-06-10,
2019-06-11,
2019-06-12,67.540001
2019-06-13,
2019-06-14,67.18
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,70.480003
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,68.709999
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,64.699997
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,65.989998
2019-07-17,
2019-07-18,64.599998
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,63.310001
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,61.75
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,57.0
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,55.040001000000004
2019-08-15,
2019-08-16,
2019-08-19,58.0
2019-08-20,58.299999
2019-08-21,59.610001000000004
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,61.0
2019-09-09,
2019-09-10,
2019-09-11,61.619999
2019-09-12,63.57
2019-09-13,
2019-09-16,
2019-09-17,63.57
2019-09-18,
2019-09-19,65.760002
2019-09-20,
2019-09-23,
2019-09-24,64.139999
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,61.09
2019-10-04,63.169998
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,65.989998
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,68.879997
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,68.550003
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,62.630001
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,62.099998
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,61.169998
2019-12-12,61.169998
2019-12-13,
2019-12-16,61.169998
2019-12-17,
2019-12-18,
2019-12-19,65.480003
2019-12-20,65.480003
2019-12-23,63.610001000000004
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,60.400002
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,60.580002
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,60.389998999999996
2020-01-24,60.389998999999996
2020-01-27,60.389998999999996
2020-01-28,59.200001
2020-01-29,59.200001
2020-01-30,59.529999
2020-01-31,59.529999
2020-02-03,57.630001
2020-02-04,58.630001
2020-02-05,58.630001
2020-02-06,60.75
2020-02-07,59.200001
2020-02-10,59.040001000000004
2020-02-11,59.48
2020-02-12,59.48
2020-02-13,60.689999
2020-02-14,61.299999
2020-02-18,61.75
2020-02-19,62.200001
2020-02-20,61.049999
2020-02-21,61.049999
2020-02-24,61.049999
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,38.639998999999996
2020-03-31,38.639998999999996
2020-04-01,39.330002
2020-04-02,39.040001000000004
2020-04-03,37.349998
2020-04-06,38.700001
2020-04-07,39.630001
2020-04-08,37.700001
2020-04-09,40.48
2020-04-13,40.48
2020-04-14,41.23
2020-04-15,37.240002000000004
2020-04-16,36.950001
2020-04-17,36.950001
2020-04-20,36.759997999999996
2020-04-21,36.799999
2020-04-22,37.220001
2020-04-23,38.419998
2020-04-24,39.43
2020-04-27,39.43
2020-04-28,39.869999
2020-04-29,40.330002
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
