Date,CLB
1995-09-21,3.0
1995-09-22,2.9375
1995-09-25,2.9375
1995-09-26,2.9375
1995-09-27,2.9375
1995-09-28,2.9375
1995-09-29,3.0
1995-10-02,3.0
1995-10-03,3.0
1995-10-04,3.0
1995-10-05,3.0
1995-10-06,3.0
1995-10-09,3.0
1995-10-10,3.0
1995-10-11,3.03125
1995-10-12,3.015625
1995-10-13,3.0
1995-10-16,3.0
1995-10-17,3.0
1995-10-18,3.0
1995-10-19,2.75
1995-10-20,2.75
1995-10-23,2.75
1995-10-24,2.75
1995-10-25,2.875
1995-10-26,2.75
1995-10-27,2.625
1995-10-30,2.5625
1995-10-31,2.5625
1995-11-01,2.5
1995-11-02,2.625
1995-11-03,2.375
1995-11-06,2.5
1995-11-07,2.40625
1995-11-08,2.375
1995-11-09,2.375
1995-11-10,2.53125
1995-11-13,2.375
1995-11-14,2.4375
1995-11-15,2.53125
1995-11-16,2.53125
1995-11-17,2.4375
1995-11-20,2.5
1995-11-21,2.5625
1995-11-22,2.53125
1995-11-24,2.53125
1995-11-27,2.53125
1995-11-28,2.5
1995-11-29,2.4375
1995-11-30,2.5625
1995-12-01,2.5
1995-12-04,2.53125
1995-12-05,2.65625
1995-12-06,2.5
1995-12-07,2.65625
1995-12-08,2.5625
1995-12-11,2.71875
1995-12-12,2.8125
1995-12-13,2.8125
1995-12-14,2.8125
1995-12-15,2.84375
1995-12-18,2.8125
1995-12-19,2.75
1995-12-20,2.75
1995-12-21,2.75
1995-12-22,2.75
1995-12-26,2.9375
1995-12-27,2.8125
1995-12-28,3.1875
1995-12-29,3.0
1996-01-02,3.125
1996-01-03,3.1875
1996-01-04,3.1875
1996-01-05,3.1875
1996-01-08,3.0625
1996-01-09,3.0625
1996-01-10,3.0625
1996-01-11,3.0625
1996-01-12,3.0625
1996-01-15,3.0625
1996-01-16,3.0625
1996-01-17,3.0625
1996-01-18,3.0625
1996-01-19,3.1875
1996-01-22,3.0625
1996-01-23,2.75
1996-01-24,2.9375
1996-01-25,2.75
1996-01-26,2.75
1996-01-29,2.75
1996-01-30,2.75
1996-01-31,2.75
1996-02-01,2.75
1996-02-02,2.75
1996-02-05,2.9375
1996-02-06,2.75
1996-02-07,2.78125
1996-02-08,2.9375
1996-02-09,2.75
1996-02-12,2.875
1996-02-13,2.5
1996-02-14,2.75
1996-02-15,2.75
1996-02-16,2.6875
1996-02-20,2.625
1996-02-21,2.65625
1996-02-22,2.53125
1996-02-23,2.59375
1996-02-26,2.5
1996-02-27,2.59375
1996-02-28,2.515625
1996-02-29,2.515625
1996-03-01,2.5
1996-03-04,2.53125
1996-03-05,2.53125
1996-03-06,2.5625
1996-03-07,2.6875
1996-03-08,2.6875
1996-03-11,2.75
1996-03-12,2.75
1996-03-13,2.8125
1996-03-14,2.8125
1996-03-15,2.9375
1996-03-18,2.8125
1996-03-19,2.90625
1996-03-20,2.90625
1996-03-21,2.90625
1996-03-22,2.90625
1996-03-25,2.8125
1996-03-26,2.8125
1996-03-27,2.8125
1996-03-28,3.0
1996-03-29,3.0625
1996-04-01,3.0
1996-04-02,3.0
1996-04-03,3.0
1996-04-04,3.0625
1996-04-08,3.0625
1996-04-09,3.0625
1996-04-10,3.1875
1996-04-11,3.0625
1996-04-12,3.0625
1996-04-15,3.0625
1996-04-16,3.125
1996-04-17,3.1875
1996-04-18,3.0625
1996-04-19,3.0625
1996-04-22,3.0625
1996-04-23,3.0625
1996-04-24,3.1875
1996-04-25,3.125
1996-04-26,3.3125
1996-04-29,3.125
1996-04-30,3.21875
1996-05-01,3.375
1996-05-02,3.4375
1996-05-03,3.25
1996-05-06,3.3125
1996-05-07,3.34375
1996-05-08,3.3125
1996-05-09,3.25
1996-05-10,3.25
1996-05-13,3.25
1996-05-14,3.25
1996-05-15,3.3125
1996-05-16,3.4375
1996-05-17,3.53125
1996-05-20,3.8125
1996-05-21,3.90625
1996-05-22,3.8125
1996-05-23,3.8125
1996-05-24,4.0
1996-05-28,3.8125
1996-05-29,3.8125
1996-05-30,3.8125
1996-05-31,3.8125
1996-06-03,4.0
1996-06-04,3.8125
1996-06-05,4.0
1996-06-06,3.8125
1996-06-07,3.75
1996-06-10,3.9375
1996-06-11,3.75
1996-06-12,3.75
1996-06-13,3.9375
1996-06-14,3.75
1996-06-17,3.71875
1996-06-18,3.625
1996-06-19,3.625
1996-06-20,3.5625
1996-06-21,3.4375
1996-06-24,3.4375
1996-06-25,3.4375
1996-06-26,3.4375
1996-06-27,3.625
1996-06-28,3.625
1996-07-01,3.5
1996-07-02,3.4375
1996-07-03,3.625
1996-07-05,3.625
1996-07-08,3.5
1996-07-09,3.53125
1996-07-10,3.46875
1996-07-11,3.46875
1996-07-12,3.4375
1996-07-15,3.4375
1996-07-16,3.4375
1996-07-17,3.4375
1996-07-18,3.53125
1996-07-19,3.4375
1996-07-22,3.4375
1996-07-23,3.4375
1996-07-24,3.625
1996-07-25,3.4375
1996-07-26,3.5
1996-07-29,3.5
1996-07-30,3.46875
1996-07-31,3.53125
1996-08-01,3.4375
1996-08-02,3.4375
1996-08-05,3.46875
1996-08-06,3.4375
1996-08-07,3.4375
1996-08-08,3.4375
1996-08-09,3.4375
1996-08-12,3.4375
1996-08-13,3.4375
1996-08-14,3.4375
1996-08-15,3.625
1996-08-16,3.4375
1996-08-19,3.4375
1996-08-20,3.4375
1996-08-21,3.53125
1996-08-22,3.625
1996-08-23,3.4375
1996-08-26,3.625
1996-08-27,3.625
1996-08-28,3.625
1996-08-29,3.5
1996-08-30,3.5
1996-09-03,3.625
1996-09-04,3.625
1996-09-05,3.53125
1996-09-06,3.5
1996-09-09,3.625
1996-09-10,3.5625
1996-09-11,3.5625
1996-09-12,3.875
1996-09-13,3.875
1996-09-16,4.0
1996-09-17,4.0
1996-09-18,4.03125
1996-09-19,3.9375
1996-09-20,4.0625
1996-09-23,4.0
1996-09-24,4.0625
1996-09-25,3.9375
1996-09-26,3.9375
1996-09-27,4.0
1996-09-30,3.9375
1996-10-01,4.125
1996-10-02,3.9375
1996-10-03,3.9375
1996-10-04,4.0
1996-10-07,3.9375
1996-10-08,3.9375
1996-10-09,3.9375
1996-10-10,4.125
1996-10-11,4.0625
1996-10-14,3.875
1996-10-15,3.875
1996-10-16,3.875
1996-10-17,4.0
1996-10-18,3.8125
1996-10-21,3.921875
1996-10-22,4.0
1996-10-23,4.0
1996-10-24,3.9375
1996-10-25,4.0
1996-10-28,3.8125
1996-10-29,3.8125
1996-10-30,3.90625
1996-10-31,3.8125
1996-11-01,3.8125
1996-11-04,3.8125
1996-11-05,3.8125
1996-11-06,3.9375
1996-11-07,4.0
1996-11-08,4.0
1996-11-11,4.0
1996-11-12,3.8125
1996-11-13,4.0
1996-11-14,3.84375
1996-11-15,3.875
1996-11-18,4.0
1996-11-19,4.0
1996-11-20,3.875
1996-11-21,4.0625
1996-11-22,4.0625
1996-11-25,4.0625
1996-11-26,4.0625
1996-11-27,3.875
1996-11-29,3.875
1996-12-02,4.0625
1996-12-03,4.0
1996-12-04,3.875
1996-12-05,3.875
1996-12-06,3.9375
1996-12-09,3.9375
1996-12-10,4.0625
1996-12-11,3.9375
1996-12-12,3.9375
1996-12-13,4.0625
1996-12-16,4.0
1996-12-17,3.9375
1996-12-18,3.9375
1996-12-19,4.125
1996-12-20,4.25
1996-12-23,4.0625
1996-12-24,4.25
1996-12-26,4.3125
1996-12-27,4.3125
1996-12-30,4.3125
1996-12-31,4.1875
1997-01-02,4.1875
1997-01-03,4.1875
1997-01-06,4.375
1997-01-07,4.375
1997-01-08,4.4375
1997-01-09,4.5625
1997-01-10,4.6875
1997-01-13,4.625
1997-01-14,4.875
1997-01-15,5.0
1997-01-16,5.125
1997-01-17,5.0625
1997-01-20,5.1875
1997-01-21,5.375
1997-01-22,5.4375
1997-01-23,5.5
1997-01-24,5.3125
1997-01-27,5.4375
1997-01-28,5.3125
1997-01-29,5.4375
1997-01-30,5.203125
1997-01-31,5.1875
1997-02-03,5.25
1997-02-04,5.0625
1997-02-05,5.0625
1997-02-06,5.0625
1997-02-07,5.125
1997-02-10,4.75
1997-02-11,4.8125
1997-02-12,4.75
1997-02-13,4.75
1997-02-14,4.75
1997-02-18,4.75
1997-02-19,4.75
1997-02-20,4.75
1997-02-21,5.0
1997-02-24,4.875
1997-02-25,4.75
1997-02-26,4.8125
1997-02-27,4.5625
1997-02-28,4.1875
1997-03-03,4.375
1997-03-04,4.625
1997-03-05,4.625
1997-03-06,4.75
1997-03-07,4.625
1997-03-10,4.65625
1997-03-11,4.65625
1997-03-12,4.71875
1997-03-13,4.625
1997-03-14,4.625
1997-03-17,4.625
1997-03-18,4.5
1997-03-19,4.6875
1997-03-20,4.5
1997-03-21,4.5
1997-03-24,4.5
1997-03-25,4.5
1997-03-26,4.625
1997-03-27,4.4375
1997-03-31,4.4375
1997-04-01,4.59375
1997-04-02,4.5625
1997-04-03,4.4375
1997-04-04,4.4375
1997-04-07,4.46875
1997-04-08,4.5
1997-04-09,4.4375
1997-04-10,4.59375
1997-04-11,4.4375
1997-04-14,4.4375
1997-04-15,4.5
1997-04-16,4.375
1997-04-17,4.5
1997-04-18,4.40625
1997-04-21,4.5
1997-04-22,4.46875
1997-04-23,4.46875
1997-04-24,4.53125
1997-04-25,4.53125
1997-04-28,4.5
1997-04-29,4.125
1997-04-30,4.3125
1997-05-01,4.1875
1997-05-02,4.15625
1997-05-05,4.3125
1997-05-06,4.21875
1997-05-07,4.40625
1997-05-08,5.046875
1997-05-09,5.0625
1997-05-12,4.9375
1997-05-13,5.0625
1997-05-14,4.9375
1997-05-15,4.9375
1997-05-16,5.0625
1997-05-19,5.0625
1997-05-20,5.0
1997-05-21,5.125
1997-05-22,5.25
1997-05-23,5.1875
1997-05-27,5.625
1997-05-28,5.71875
1997-05-29,6.0625
1997-05-30,5.8125
1997-06-02,5.8125
1997-06-03,5.84375
1997-06-04,5.96875
1997-06-05,5.875
1997-06-06,6.15625
1997-06-09,5.625
1997-06-10,5.625
1997-06-11,5.6875
1997-06-12,5.59375
1997-06-13,5.625
1997-06-16,5.78125
1997-06-17,5.78125
1997-06-18,6.0625
1997-06-19,6.25
1997-06-20,6.203125
1997-06-23,6.25
1997-06-24,6.21875
1997-06-25,6.3125
1997-06-26,6.3125
1997-06-27,6.4375
1997-06-30,6.5
1997-07-01,6.4375
1997-07-02,6.4375
1997-07-03,6.3125
1997-07-07,6.3125
1997-07-08,6.375
1997-07-09,6.3125
1997-07-10,6.3125
1997-07-11,6.40625
1997-07-14,6.1875
1997-07-15,6.21875
1997-07-16,6.28125
1997-07-17,6.25
1997-07-18,6.15625
1997-07-21,6.125
1997-07-22,6.125
1997-07-23,6.1875
1997-07-24,6.09375
1997-07-25,6.1875
1997-07-28,6.25
1997-07-29,6.15625
1997-07-30,6.1875
1997-07-31,6.3125
1997-08-01,6.3125
1997-08-04,6.375
1997-08-05,6.375
1997-08-06,6.25
1997-08-07,6.296875
1997-08-08,6.28125
1997-08-11,6.34375
1997-08-12,6.375
1997-08-13,6.59375
1997-08-14,7.1875
1997-08-15,7.09375
1997-08-18,7.0
1997-08-19,7.125
1997-08-20,7.25
1997-08-21,7.25
1997-08-22,7.25
1997-08-25,7.375
1997-08-26,7.125
1997-08-27,7.1875
1997-08-28,7.375
1997-08-29,7.625
1997-09-02,7.6875
1997-09-03,7.9375
1997-09-04,8.03125
1997-09-05,8.15625
1997-09-08,8.375
1997-09-09,8.78125
1997-09-10,8.9375
1997-09-11,8.40625
1997-09-12,8.71875
1997-09-15,8.75
1997-09-16,9.125
1997-09-17,8.875
1997-09-18,9.0
1997-09-19,9.03125
1997-09-22,8.9375
1997-09-23,8.75
1997-09-24,8.75
1997-09-25,8.96875
1997-09-26,8.96875
1997-09-29,8.875
1997-09-30,8.75
1997-10-01,8.75
1997-10-02,9.0625
1997-10-03,9.65625
1997-10-06,9.8125
1997-10-07,10.0
1997-10-08,9.71875
1997-10-09,9.6875
1997-10-10,9.75
1997-10-13,9.625
1997-10-14,9.625
1997-10-15,9.625
1997-10-16,9.75
1997-10-17,9.4375
1997-10-20,9.625
1997-10-21,10.0
1997-10-22,10.3125
1997-10-23,10.46875
1997-10-24,11.0
1997-10-27,10.0
1997-10-28,10.28125
1997-10-29,10.25
1997-10-30,9.9375
1997-10-31,10.0
1997-11-03,10.25
1997-11-04,10.0625
1997-11-05,10.3125
1997-11-06,10.53125
1997-11-07,10.3125
1997-11-10,10.6875
1997-11-11,11.15625
1997-11-12,10.375
1997-11-13,10.25
1997-11-14,9.78125
1997-11-17,10.125
1997-11-18,9.125
1997-11-19,9.28125
1997-11-20,9.34375
1997-11-21,9.0625
1997-11-24,9.0
1997-11-25,9.0
1997-11-26,9.0
1997-11-28,9.0625
1997-12-01,8.9375
1997-12-02,8.875
1997-12-03,8.75
1997-12-04,8.96875
1997-12-05,9.03125
1997-12-08,9.03125
1997-12-09,9.0
1997-12-10,9.0625
