Date,DDS
1980-03-17,0.583333
1980-03-18,0.583333
1980-03-19,0.583333
1980-03-20,0.604167
1980-03-21,0.604167
1980-03-24,0.604167
1980-03-25,0.604167
1980-03-26,0.578125
1980-03-27,0.567708
1980-03-28,0.567708
1980-03-31,0.552083
1980-04-01,0.53125
1980-04-02,0.510417
1980-04-03,0.515625
1980-04-07,0.515625
1980-04-08,0.520833
1980-04-09,0.520833
1980-04-10,0.510417
1980-04-11,0.510417
1980-04-14,0.5
1980-04-15,0.5
1980-04-16,0.510417
1980-04-17,0.520833
1980-04-18,0.520833
1980-04-21,0.520833
1980-04-22,0.520833
1980-04-23,0.520833
1980-04-24,0.520833
1980-04-25,0.520833
1980-04-28,0.520833
1980-04-29,0.53125
1980-04-30,0.53125
1980-05-01,0.53125
1980-05-02,0.53125
1980-05-05,0.53125
1980-05-06,0.53125
1980-05-07,0.53125
1980-05-08,0.53125
1980-05-09,0.53125
1980-05-12,0.552083
1980-05-13,0.541667
1980-05-14,0.541667
1980-05-15,0.5625
1980-05-16,0.59375
1980-05-19,0.59375
1980-05-20,0.588542
1980-05-21,0.609375
1980-05-22,0.625
1980-05-23,0.625
1980-05-27,0.630208
1980-05-28,0.625
1980-05-29,0.625
1980-05-30,0.625
1980-06-02,0.625
1980-06-03,0.625
1980-06-04,0.609375
1980-06-05,0.625
1980-06-06,0.625
1980-06-09,0.619792
1980-06-10,0.625
1980-06-11,0.625
1980-06-12,0.614583
1980-06-13,0.625
1980-06-16,0.625
1980-06-17,0.625
1980-06-18,0.625
1980-06-19,0.625
1980-06-20,0.625
1980-06-23,0.630208
1980-06-24,0.625
1980-06-25,0.625
1980-06-26,0.625
1980-06-27,0.625
1980-06-30,0.625
1980-07-01,0.625
1980-07-02,0.614583
1980-07-03,0.609375
1980-07-07,0.609375
1980-07-08,0.609375
1980-07-09,0.609375
1980-07-10,0.609375
1980-07-11,0.619792
1980-07-14,0.625
1980-07-15,0.609375
1980-07-16,0.609375
1980-07-17,0.609375
1980-07-18,0.609375
1980-07-21,0.609375
1980-07-22,0.614583
1980-07-23,0.614583
1980-07-24,0.614583
1980-07-25,0.614583
1980-07-28,0.614583
1980-07-29,0.625
1980-07-30,0.635417
1980-07-31,0.635417
1980-08-01,0.635417
1980-08-04,0.635417
1980-08-05,0.619792
