Date,RSH
2009-02-20,
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,
2009-06-01,
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,
2009-06-29,
2009-06-30,
2009-07-01,
2009-07-02,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,
2009-08-03,
2009-08-04,
2009-08-05,
2009-08-06,
2009-08-07,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,
2009-08-14,
2009-08-17,
2009-08-18,
2009-08-19,
2009-08-20,
2009-08-21,
2009-08-24,
2009-08-25,
2009-08-26,
2009-08-27,
2009-08-28,
2009-08-31,
2009-09-01,
2009-09-02,
2009-09-03,
2009-09-04,
2009-09-08,
2009-09-09,
2009-09-10,
2009-09-11,
2009-09-14,
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,
2009-09-25,
2009-09-28,
2009-09-29,
2009-09-30,
